flags	fieldMajor	fieldMinor	major	minor	areaNo	envID	partMin	partMax	partSelTable	enemyMin	enemyMax	strongEnemyProbability	strongEnemyMax	rareEnemyProbability	rareEnemyMax	repopNormalNormal	repopNormalStrong	repopNormalRare	repopStrongNormal	repopStrongStrong	repopStrongRare	repopRareNormal	repopRareStrong	repopRareRare	reaper	encountPack	strongEncountPack	pinchEncountPack	pinchStrongEncountPack	rareEncountPack	continousEncount1	continousEncount2	doorGroup	doorProbability	returnDevProbability	tboxMin	tboxMax	tboxType	moneyProbability	moneyMin	moneyMax	tboxPack	rareTboxPack	jewelryTboxPack	primFieldTboxPack	medal1TboxPack	medal2TboxPack	medal3TboxPack	medal4TboxPack	medal5TboxPack	medal6TboxPack	doorTboxPack	doorRareTboxPack	doorJewelryTboxPack	doorPrimFieldTboxPack	doorMedal1TboxPack	doorMedal2TboxPack	doorMedal3TboxPack	doorMedal4TboxPack	doorMedal5TboxPack	doorMedal6TboxPack	missingPersonID	missingBuildID	scrFileNo
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	10	20	1	5	10	0	0	0	0	85	10	0	90	0	0	80	20	0	0	0	0	0	0	0	0	0	1	100	0	16	16	16	25	800	1300	1	2	19	4	735	735	605	0	0	0	26	27	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	0	0	100	0	0	100	0	0	100	0	0	0	1	1	1	1	0	1	1	1	0	0	1	2	16	25	500	900	30	400	800	900	735	735	605	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	0	0	100	0	0	100	0	0	100	0	0	0	2	0	2	0	0	1	1	1	0	0	1	2	16	25	500	900	30	400	800	900	735	735	605	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	6	7	10	3	3	0	0	0	0	100	0	0	100	0	0	100	0	0	0	3	0	3	0	0	2	2	1	0	0	2	3	1	25	500	900	30	400	800	900	735	735	605	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
137	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	30	800	1300	30	400	800	900	0	0	0	0	0	0	0	0	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	6	7	10	3	3	0	0	0	0	100	0	0	100	0	0	100	0	0	0	4	0	4	0	61	3	3	1	0	0	2	3	17	25	900	1200	31	400	800	900	735	735	602	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	0	0	100	0	0	100	0	0	100	0	0	0	5	0	5	0	61	4	4	1	0	0	1	2	17	25	900	1200	31	400	800	900	735	735	602	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	8	10	12	5	6	0	0	0	0	100	0	0	100	0	0	100	0	0	0	6	0	6	0	61	5	5	1	0	0	3	4	2	25	900	1200	31	400	800	900	735	735	602	0	0	0	0	0	800	900	0	0	0	0	0	0	0	31204	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	0	0	100	0	0	100	0	0	100	0	0	0	7	0	7	0	61	6	6	1	0	0	1	2	17	25	900	1200	31	400	800	900	735	735	602	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
