pacID	tboxID	probability
0	501	1
1	3	100
2	1	100
3	520	100
4	520	100
5	28	100
6	29	100
7	30	100
8	512	100
9	2	100
10	619	100
11	573	100
12	28	100
13	1	100
14	1	100
15	1	100
16	1	100
17	1	100
18	1	100
19	1	100
20	1	100
21	1	100
22	1	100
23	1	100
24	1	100
25	1	100
26	1	100
27	1	100
28	1	100
29	1	100
30	501	20
30	502	5
30	503	10
30	529	15
30	1005	15
30	1006	10
30	1007	10
30	1017	15
31	501	10
31	530	10
31	502	5
31	503	10
31	529	40
31	564	10
31	1003	10
31	1004	5
32	530	10
32	502	5
32	503	10
32	529	15
32	569	20
32	1003	8
32	1004	8
32	1005	8
32	1006	8
32	1007	8
33	6	100
34	7	100
35	8	100
36	9	100
37	1	80
38	1	10
39	1	15
40	1	5
41	503	7
41	561	7
41	602	11
41	603	11
41	604	11
41	605	11
41	606	11
41	607	11
41	1023	5
41	1024	5
41	1025	5
41	1026	5
42	503	10
42	564	7
42	561	7
42	569	9
42	616	10
42	617	10
42	606	13
42	607	10
42	1035	8
42	1036	8
42	1037	8
43	503	6
43	608	8
43	609	8
43	610	8
43	611	8
43	612	14
43	613	14
43	1038	6
43	1039	6
43	616	12
43	617	10
44	20	100
45	21	100
46	23	100
47	24	100
49	1	18
50	1	18
51	1	12
52	1	12
53	1	40
54	503	10
54	566	20
54	563	15
54	608	5
54	609	5
54	610	5
54	611	5
54	612	10
54	613	10
54	1052	5
54	1053	5
54	1054	5
55	503	10
55	566	10
55	563	25
55	567	3
55	612	12
55	606	7
55	613	12
55	607	7
55	1050	7
55	1051	7
56	503	14
56	566	20
56	563	20
56	567	11
56	608	4
56	609	4
56	610	4
56	611	4
56	612	6
56	613	6
56	1197	7
57	544	100
58	41	100
59	42	100
60	43	100
61	2	1
62	2	1
63	2	1
64	2	1
65	2	1
66	503	15
66	521	20
66	526	13
66	532	5
66	567	16
66	569	16
66	568	5
66	570	5
66	1067	5
67	532	5
67	526	5
67	503	8
67	608	8
67	609	8
67	610	8
67	611	8
67	612	8
67	613	8
67	602	5
67	603	5
67	604	5
67	605	5
67	606	5
67	607	5
67	614	4
68	521	10
68	532	5
68	526	12
68	503	13
68	567	14
68	569	14
68	568	6
68	570	6
68	614	15
68	1067	5
69	60	100
70	61	100
71	62	100
72	63	100
73	64	100
74	2	100
75	2	100
76	2	100
77	2	100
78	2	100
79	532	10
79	527	4
79	503	5
79	567	12
79	569	12
79	568	5
79	570	9
79	571	3
79	1094	8
79	1095	8
79	1096	8
79	1097	8
79	1098	8
80	532	10
80	527	5
80	503	13
80	635	15
80	634	15
80	618	5
80	621	5
80	624	5
80	1085	7
80	1086	7
80	1087	7
80	1093	6
81	532	8
81	527	6
81	503	10
81	635	12
81	634	12
81	571	7
81	618	8
81	621	8
81	624	8
81	1090	9
81	1091	9
81	1084	3
82	80	100
83	81	100
84	82	100
85	83	100
86	2	100
87	2	100
88	2	100
89	2	100
90	2	100
91	532	10
91	503	10
91	540	3
91	627	13
91	628	13
91	629	13
91	630	13
91	568	10
91	634	10
91	1109	5
92	532	10
92	527	5
92	503	10
92	540	3
92	631	15
92	632	15
92	1112	10
92	568	15
92	634	10
92	1108	7
93	532	13
93	503	12
93	560	2
93	540	5
93	1108	7
93	1109	7
93	666	12
93	634	12
93	667	10
93	668	10
93	669	10
94	100	100
95	101	100
96	102	100
97	103	100
98	104	100
99	105	100
100	2	100
101	2	100
102	2	100
103	2	100
104	2	100
105	2	100
106	532	14
106	503	10
106	560	5
106	540	5
106	567	12
106	569	12
106	568	6
106	570	6
106	618	8
106	621	8
106	624	8
106	600	3
106	601	3
107	532	14
107	503	10
107	560	5
107	540	5
107	567	12
107	569	12
107	568	6
107	570	6
107	667	8
107	668	8
107	669	8
107	600	3
107	601	3
108	120	100
109	121	100
110	122	100
111	123	100
112	124	100
113	125	100
114	2	100
115	2	100
116	2	100
117	2	100
118	2	100
119	2	100
120	532	15
120	503	8
120	560	5
120	524	2
120	540	5
120	568	10
120	570	10
120	571	5
120	600	8
120	601	8
120	634	12
120	635	12
121	532	10
121	503	5
121	560	5
121	524	2
121	540	4
121	618	11
121	621	11
121	624	11
121	667	11
121	668	11
121	669	11
121	664	4
121	665	4
122	140	100
123	141	100
124	142	100
125	143	100
126	144	100
127	2	100
128	2	100
129	2	100
130	2	100
131	2	100
132	532	10
132	503	5
132	560	5
132	524	2
132	540	5
132	568	10
132	570	10
132	571	8
132	615	12
132	1166	11
132	1167	11
132	1168	11
133	532	10
133	503	5
133	560	2
133	524	5
133	540	5
133	533	5
133	600	3
133	601	3
133	615	8
133	1169	9
133	1170	9
133	1171	9
133	1172	9
133	1173	9
133	1174	9
134	160	100
135	161	100
136	162	100
137	163	100
138	164	100
139	2	100
140	2	100
141	2	100
142	2	100
143	2	100
144	524	5
144	540	5
144	560	5
144	568	12
144	570	12
144	571	10
144	615	10
144	618	12
144	621	12
144	624	12
144	664	5
145	524	5
145	540	5
145	560	5
145	568	12
145	570	12
145	571	10
145	615	10
145	667	12
145	668	12
145	669	12
145	665	5
146	524	5
146	540	7
146	560	5
146	568	12
146	570	12
146	571	10
146	615	10
146	664	9
146	665	9
146	635	10
146	634	10
147	524	8
147	540	8
147	560	8
147	533	10
147	568	9
147	570	9
147	571	5
147	572	2
147	615	5
147	664	8
147	665	8
147	635	10
147	634	10
148	180	100
149	181	100
150	182	100
151	183	100
152	184	100
153	185	100
154	186	100
155	187	100
156	2	100
157	190	100
158	191	100
159	2	100
160	2	100
161	2	100
162	2	100
163	2	100
164	2	100
165	2	100
166	2	100
167	2	100
168	2	100
169	280	100
170	281	100
171	282	100
172	283	100
173	284	100
174	285	100
175	2	100
176	2	100
177	220	100
178	230	100
179	221	100
180	231	100
181	222	100
182	232	100
183	223	100
184	233	100
185	224	100
186	234	100
187	225	100
188	235	100
189	237	100
190	227	100
191	240	100
192	2	100
193	241	100
194	260	100
195	242	100
196	262	100
197	243	100
198	263	100
199	244	100
200	264	100
201	245	100
202	265	100
203	246	100
204	266	100
205	226	100
206	236	100
207	267	100
208	268	100
209	1	100
210	502	16
210	503	20
210	569	14
210	1003	10
210	1004	10
210	1005	10
210	1006	10
210	1007	10
211	503	10
211	616	20
211	617	20
211	602	5
211	603	5
211	604	5
211	605	5
211	606	15
211	607	15
212	567	11
212	566	16
212	563	16
212	606	13
212	607	13
212	612	3
212	613	3
212	1050	5
212	1051	5
212	1052	5
212	1053	5
212	1054	5
213	532	20
213	567	20
213	569	20
213	568	10
213	570	10
213	614	15
213	1067	5
214	567	15
214	569	15
214	568	6
214	570	6
214	571	10
214	634	12
214	635	12
214	618	5
214	621	5
214	624	5
214	1084	9
215	532	18
215	540	10
215	568	12
215	666	5
215	634	8
215	1109	10
215	1108	10
215	667	9
215	668	9
215	669	9
216	532	14
216	540	6
216	568	12
216	570	12
216	600	7
216	601	7
216	618	8
216	621	8
216	624	8
216	667	6
216	668	6
216	669	6
217	524	12
217	540	8
217	568	12
217	570	12
217	571	14
217	664	8
217	665	8
217	600	6
217	601	6
217	634	7
217	635	7
218	524	10
218	533	8
218	540	10
218	568	12
218	570	12
218	571	14
218	615	10
218	600	12
218	601	12
219	524	20
219	533	17
219	540	12
219	560	15
219	572	18
219	664	9
219	665	9
220	2	0
220	2	0
220	2	0
220	2	0
220	2	0
220	2	0
220	2	0
400	521	30
