BuyMonth	BuyDay	ReceiveMonth	ReceiveDay	ItemA_ID	ItemA_Num	OneWordMsgID	ItemB_ID	ItemB_Num	Price	ProcID
5	3	5	5	16499	1	51	16421	2	2980	1
5	10	5	12	16418	2	52	16409	5	3980	1
5	17	5	23	16633	3	53	16634	3	2980	1
5	24	5	26	4115	1	54	16392	2	5980	1
5	31	6	2	8238	1	55	16404	4	3980	1
6	7	6	10	16503	1	56	16407	2	3980	1
6	14	6	16	16505	1	57	16408	2	3980	1
6	21	6	23	4109	1	58	16405	3	9800	1
6	28	6	30	16659	2	59	16658	3	2980	1
7	5	7	6	16698	3	60	16697	3	3980	1
7	12	7	13	8213	1	61	16443	2	9800	1
7	19	7	23	16635	3	62	16636	3	14800	1
7	26	7	28	16504	1	63	16503	1	6980	1
8	9	8	15	16444	10	64	16428	20	3980	1
8	17	8	18	16564	3	65	16637	2	3980	1
8	23	8	25	16660	2	66	16658	3	2980	1
8	30	9	1	16565	3	67	16630	3	9800	1
9	6	9	8	16506	1	68	16504	1	9800	1
9	13	9	15	4120	1	69	16415	5	24800	1
9	27	9	30	8224	1	71	16524	1	19800	1
10	11	10	17	224	1	70	16703	2	19800	1
10	18	10	20	16443	5	72	16411	10	4980	1
10	25	10	28	12339	1	73	16704	50	24800	1
11	1	11	2	291	1	74	4212	1	39800	1
11	8	11	10	16508	3	75	16551	2	9800	1
11	15	11	16	4130	1	76	16408	8	39800	1
11	22	11	27	24642	3	77	24641	2	49800	1
11	29	12	1	8228	1	78	12392	1	39800	1
12	6	12	8	16705	3	79	16473	2	14800	1
12	13	12	19	12393	1	80	16410	10	29800	1
12	20	12	22	4213	1	81	16445	3	49800	1
12	27	12	29	24648	2	82	24641	5	99000	1
