id	en
ItemAddEffectMSG_000	ブランク
ItemAddEffectMSG_001	+10 HP
ItemAddEffectMSG_002	+20 HP
ItemAddEffectMSG_003	+30 HP
ItemAddEffectMSG_004	+40 HP
ItemAddEffectMSG_005	+50 HP
ItemAddEffectMSG_006	+100 HP
ItemAddEffectMSG_007	+10 SP
ItemAddEffectMSG_008	+20 SP
ItemAddEffectMSG_009	+30 SP
ItemAddEffectMSG_010	+40 SP
ItemAddEffectMSG_011	+50 SP
ItemAddEffectMSG_012	+100 SP
ItemAddEffectMSG_013	+Freeze (low)
ItemAddEffectMSG_014	+Freeze (med)
ItemAddEffectMSG_015	+Freeze (high)
ItemAddEffectMSG_016	+Shock (low)
ItemAddEffectMSG_017	+Shock (med)
ItemAddEffectMSG_018	+Shock (high)
ItemAddEffectMSG_019	+Confuse (low)
ItemAddEffectMSG_020	+Confuse (med)
ItemAddEffectMSG_021	+Confuse (high)
ItemAddEffectMSG_022	+Fear (low)
ItemAddEffectMSG_023	+Fear (med)
ItemAddEffectMSG_024	+Fear (high)
ItemAddEffectMSG_025	+Distress (low)
ItemAddEffectMSG_026	+Distress (med)
ItemAddEffectMSG_027	+Distress (high)
ItemAddEffectMSG_028	+Charm (low)
ItemAddEffectMSG_029	+Charm (med)
ItemAddEffectMSG_030	+Charm (high)
ItemAddEffectMSG_031	+Rage (low)
ItemAddEffectMSG_032	+Rage (med)
ItemAddEffectMSG_033	+Rage (high)
ItemAddEffectMSG_034	+Poison (low)
ItemAddEffectMSG_035	+Poison (med)
ItemAddEffectMSG_036	+Poison (high)
ItemAddEffectMSG_037	+Random ailment (low)
ItemAddEffectMSG_038	+Random ailment (med)
ItemAddEffectMSG_039	+Random ailment (high)
ItemAddEffectMSG_040	+Critical rate up (low)
ItemAddEffectMSG_041	+Critical rate up (med)
ItemAddEffectMSG_042	+Critical rate up (high)
ItemAddEffectMSG_043	+Slash Boost
ItemAddEffectMSG_044	+Strike Boost
ItemAddEffectMSG_045	+Pierce Boost
ItemAddEffectMSG_046	+Fire Boost
ItemAddEffectMSG_047	+Ice Boost
ItemAddEffectMSG_048	+Elec Boost
ItemAddEffectMSG_049	+Wind Boost
ItemAddEffectMSG_050	+Light Boost
ItemAddEffectMSG_051	+Dark Boost
ItemAddEffectMSG_052	+Counter
ItemAddEffectMSG_053	+Counterstrike
ItemAddEffectMSG_054	+High Counter
ItemAddEffectMSG_055	+Resist Freeze
ItemAddEffectMSG_056	+Resist Shock
ItemAddEffectMSG_057	+Resist Confuse
ItemAddEffectMSG_058	+Resist Fear
ItemAddEffectMSG_059	+Resist Distress
ItemAddEffectMSG_060	+Resist Charm
ItemAddEffectMSG_061	+Resist Rage
ItemAddEffectMSG_062	+Resist Poison
ItemAddEffectMSG_063	+Resist Dizzy
ItemAddEffectMSG_064	+Null Freeze
ItemAddEffectMSG_065	+Null Shock
ItemAddEffectMSG_066	+Null Confuse
ItemAddEffectMSG_067	+Null Fear
ItemAddEffectMSG_068	+Null Distress
ItemAddEffectMSG_069	+Null Charm
ItemAddEffectMSG_070	+Null Rage
ItemAddEffectMSG_071	+Null Poison
ItemAddEffectMSG_072	+Null Dizzy
ItemAddEffectMSG_073	+Auto Tarukaja
ItemAddEffectMSG_074	+Auto Rakukaja
ItemAddEffectMSG_075	+Auto Sukukaja
ItemAddEffectMSG_076	+Reduce Slash dmg (low)
ItemAddEffectMSG_077	+Reduce Slash dmg (med)
ItemAddEffectMSG_078	+Reduce Slash dmg (high)
ItemAddEffectMSG_079	+Reduce Strike dmg (low)
ItemAddEffectMSG_080	+Reduce Strike dmg (med)
ItemAddEffectMSG_081	+Reduce Strike dmg (high)
ItemAddEffectMSG_082	+Reduce Pierce dmg (low)
ItemAddEffectMSG_083	+Reduce Pierce dmg (med)
ItemAddEffectMSG_084	+Reduce Pierce dmg (high)
ItemAddEffectMSG_085	+Reduce phys dmg (low)
ItemAddEffectMSG_086	+Reduce phys dmg (med)
ItemAddEffectMSG_087	+Reduce phys dmg (high)
ItemAddEffectMSG_088	+Reduce Fire dmg (low)
ItemAddEffectMSG_089	+Reduce Fire dmg (med)
ItemAddEffectMSG_090	+Reduce Fire dmg (high)
ItemAddEffectMSG_091	+Reduce Ice dmg (low)
ItemAddEffectMSG_092	+Reduce Ice dmg (med)
ItemAddEffectMSG_093	+Reduce Ice dmg (high)
ItemAddEffectMSG_094	+Reduce Elec dmg (low)
ItemAddEffectMSG_095	+Reduce Elec dmg (med)
ItemAddEffectMSG_096	+Reduce Elec dmg (high)
ItemAddEffectMSG_097	+Reduce Wind dmg (low)
ItemAddEffectMSG_098	+Reduce Wind dmg (med)
ItemAddEffectMSG_099	+Reduce Wind dmg (high)
ItemAddEffectMSG_100	+Reduce Light dmg (low)
ItemAddEffectMSG_101	+Reduce Light dmg (med)
ItemAddEffectMSG_102	+Reduce Light dmg (high)
ItemAddEffectMSG_103	+Reduce Dark dmg (low)
ItemAddEffectMSG_104	+Reduce Dark dmg (med)
ItemAddEffectMSG_105	+Reduce Dark dmg (high)
ItemAddEffectMSG_106	+Reduce magic dmg (low)
ItemAddEffectMSG_107	+Reduce magic dmg (med)
ItemAddEffectMSG_108	+Reduce magic dmg (high)
ItemAddEffectMSG_109	+Slash evasion (low)
ItemAddEffectMSG_110	+Slash evasion (med)
ItemAddEffectMSG_111	+Slash evasion (high)
ItemAddEffectMSG_112	+Strike evasion (low)
ItemAddEffectMSG_113	+Strike evasion (med)
ItemAddEffectMSG_114	+Strike evasion (high)
ItemAddEffectMSG_115	+Pierce evasion (low)
