id	en
Item_000	未使用
Item_001	Restores 50 HP to 1 ally.
Item_002	Restores 100 HP to 1 ally.
Item_003	Fully restores HP to 1 ally.
Item_004	Fully restores party's HP.
Item_005	In battle, restores 150 HP to 1 ally. Low chance of a side effect.
Item_006	In battle, restores 150 HP to 1 ally. Low chance of a side effect.
Item_007	In battle, restores 150 HP to 1 ally. Low chance of a side effect.
Item_008	Restores 100 HP to all party members.
Item_009	Not octopus. Restores 100 HP to 1 ally. Low chance of a side effect.
Item_00A	Deep-fried bread with a classic Showa era flavor. Restores 20 HP to 1 ally.
Item_00B	Shaped like a crab, but doesn't taste like one. Restores 20 HP to 1 ally.
Item_00C	A roll with white, black, and red cream. Restores 20 HP to one ally.
Item_00D	Bread with a hint of melon fragrance. Restores 20 HP to 1 ally.
Item_00E	A hot ticket item on campus. Restores 20 HP to 1 ally.
Item_00F	A filling sandwich. Perfect for lunch! Restores 75 HP to 1 ally.
Item_010	A Japanese treat with red bean paste and cinnamon. Restores 50 HP to 1 ally.
Item_011	A thinly sliced turnip that's been pickled. Restores 50 HP to 1 ally.
Item_012	Spiky candies. Restores 50 HP to 1 ally.
Item_013	A rice cracker associated with Shinsen-gumi. Restores 50 HP to 1 ally.
Item_014	Smells so bad, your appetite disappears. Restores 50 HP to 1 ally.
Item_015	Tastes so good, you may overindulge. Restores 50 HP to 1 ally.
Item_016	100% veggies. Restores 50 HP to 1 ally.
Item_017	Keeps your skin young, but may cause acne. Restores 50 HP to 1 ally.
Item_018	Packs a punch, delivered straight to the muscles. Restores 50 HP to 1 ally.
Item_019	Insect food made edible for humans. Restores 50 HP to 1 ally.
Item_01A	Clears your mind and enhances your memory. Restores 50 HP to 1 ally.
Item_01B	Expensive, but tastes just like Hagakure's. Restores 100 HP to 1 ally.
Item_01C	Restores 30% of maximum HP to 1 ally.
Item_01D	未使用
Item_01E	Restores 50 HP to all party members.
Item_01F	Restores 100 HP to all party members.
Item_020	Restores 50 HP to all party members.
Item_021	Restores 200 HP to all party members.
Item_022	Restores 200 HP to 1 ally.
Item_023	Restores 200 HP to 1 ally.
Item_024	Restores 200 HP to all party members.
Item_025	A high-end chocolate that's not overly sweet. Restores 30 SP to 1 ally.
Item_026	Restores 50 SP to 1 ally.
Item_027	Restores 100 SP to 1 ally.
Item_028	Fully restores SP of 1 ally.
Item_029	Fully restores party's HP and SP.
Item_02A	Beverage imported from Jamaica. Restores 10 HP to 1 ally.
Item_02B	Popular tea often auctioned online. Restores 10 HP to 1 ally.
Item_02C	A mildly bitter beverage with flavorful kick. Restores 5 SP to 1 ally.
Item_02D	Famous coffee, mixed with cough syrup. Restores 10 HP to 1 ally.
Item_02E	Comes in 12 different varieties. Restores 10 HP to 1 ally.
Item_02F	Extensively purified tap water. Restores 10 HP to 1 ally.
Item_030	Salty soda. Popular, but an acquired taste. Restores 10 HP to 1 ally.
Item_031	Soda with the slogan, ''Kist my full moon!'' Restores 10 HP to 1 ally.
Item_032	A disturbingly yellow soft drink. Restores 5 SP to 1 ally.
Item_033	Tea that tastes great, despite its name. Restores 10 HP to 1 ally.
Item_034	Keeps you going for 24 hours straight. Restores 10 HP to 1 ally.
Item_035	Soft drink coveted by old-\nschool gamers. Restores 10 HP to 1 ally.
Item_036	Soda that simply reeks. Restores 10 HP to 1 ally.
Item_037	Blended fruit juice. It's huge! Restores 10 HP to 1 ally.
Item_038	Vegetable juice that will rev your engine. Restores 10 HP to 1 ally.
Item_039	Sports drink with tons of supplements added. Restores 10 HP to 1 ally.
Item_03A	Restores 10 SP to 1 ally.
Item_03B	An elegant curry with rich flavor. Restores 50 SP to 1 ally.
Item_03C	A sports drink filled with chemicals. Restores 10 SP to 1 ally.
Item_03D	An oh-so-sweet can of red bean soup. Fully restores the SP of 1 ally.
Item_03E	未使用
Item_03F	Cures Poison for 1 ally.
Item_040	Cures Rage for 1 ally.
Item_041	Cures Charm for 1 ally.
Item_042	Cures Distress/Confuse/Charm/\nRage/Fear for 1 ally.
Item_043	Cures Distress/Confuse/Charm/\nRage/Fear for all allies.
Item_044	Fully cures all ailments except KO for all allies.
Item_045	Revives 1 fallen ally with 50% HP.
Item_046	Revives 1 fallen ally with full HP.
Item_047	Cures Freeze/Shock/Poison/\nDown/Dizzy for 1 ally.
Item_048	未使用
Item_049	Cures Distress for 1 ally.
Item_04A	Cures Confuse for 1 ally.
Item_04B	Cures Fear for 1 ally.
Item_04C	Cures Distress/Confuse/Charm/\nRage/Fear for 1 ally.
Item_04D	Cures Freeze/Shock/Poison/\nDown/Dizzy for 1 ally.
Item_04E	Cures Freeze/Shock/Poison/\nDown/Dizzy for all allies.
Item_04F	Cures all ailments besides KO for 1 ally.
Item_050	Revives 1 fallen ally with 50% HP.
Item_051	Cures Freeze for 1 ally.
Item_052	Cures Shock for 1 ally.
Item_053	Cures Down or Dizzy for 1 ally.
Item_054	未使用
Item_055	Hoity-toity cat food for fine felines.
Item_056	Drink at your own risk!
Item_057	Revives 1 fallen ally with full HP.
Item_058	Fully restores HP and cures all ailments besides KO for all allies.
Item_059	Cures all ailments besides KO for all allies.
Item_05A	Cures Distress/Confuse/Charm/\nRage/Fear for all allies.
Item_05B	Cures Freeze/Shock/Poison/\nDown/Dizzy for all allies.
Item_05C	未使用
Item_05D	未使用
Item_05E	A cookie Fuuka made. Supposedly edible. Fully restores HP for 1 ally.
Item_05F	This cake is chock-full of chocolate. Fully restores SP for 1 ally.
Item_060	Fragrant and sparkling. Fully restores HP and SP for all allies.
Item_061	Yuko's special compress. Revives 1 fallen ally with full HP.
Item_062	未使用
Item_063	Raises a Persona's Strength by 1. Can be used on an ally's Persona.
Item_064	Raises a Persona's Strength by 2. Can be used on an ally's Persona.
Item_065	Raises a Persona's Strength by 3. Can be used on an ally's Persona.
Item_066	Raises a Persona's Luck by 1. Can be used on an ally's Persona.
Item_067	Raises a Persona's Endurance by 1. Can be used on an ally's Persona.
Item_068	Raises a Persona's Endurance by 2. Can be used on an ally's Persona.
Item_069	Raises a Persona's Endurance by 3. Can be used on an ally's Persona.
Item_06A	Raises a Persona's Luck by 2. Can be used on an ally's Persona.
Item_06B	Raises a Persona's Magic by 1. Can be used on an ally's Persona.
Item_06C	Raises a Persona's Magic by 2. Can be used on an ally's Persona.
Item_06D	Raises a Persona's Magic by 3. Can be used on an ally's Persona.
Item_06E	Raises a Persona's Luck by 3. Can be used on an ally's Persona.
Item_06F	Raises a Persona's Agility by 1. Can be used on an ally's Persona.
Item_070	Raises a Persona's Agility by 2. Can be used on an ally's Persona.
Item_071	Raises a Persona's Agility by 3. Can be used on an ally's Persona.
Item_072	Raises all of a Persona's stats by 1. Can be used on an ally's Persona.
Item_073	A bundle of beautiful roses. Might please someone.
Item_074	A graceful potted tree. Might please someone.
Item_075	Easy to take care of. Might please someone.
Item_076	An elegant flower vase. Might please someone.
Item_077	Expensive, luxury brand perfume. Might please someone.
Item_078	A high-end designer wallet. Might please someone.
Item_079	A high-end designer watch. Might please someone.
Item_07A	A high-end designer handbag. Might please someone.
Item_07B	A cute stuffed animal. Might please someone.
Item_07C	Her hair really grows! Might please someone.
Item_07D	Look inside and see a colorful world! Might please someone.
Item_07E	A doll that looks eerily alive. Might please someone.
Item_07F	A piggy bank shaped like a deity. Might please someone.
Item_080	A doll in the likeness of an adorable mascot. Might please someone.
Item_081	A fancy leather sheath. Might please someone.
Item_082	Came with your paper fortune. Might please someone.
Item_083	未使用
Item_084	未使用
Item_085	未使用
Item_086	未使用
Item_087	未使用
Item_088	未使用
Item_089	未使用
Item_08A	未使用
