id	en
Item_000	未使用
Item_001	The attire Makoto wears when infiltrating Tartarus.
Item_002	The attire Yukari wears when infiltrating Tartarus.
Item_003	The attire Junpei wears when infiltrating Tartarus.
Item_004	The attire Sanada wears when infiltrating Tartarus.
Item_005	The attire Mitsuru wears when infiltrating Tartarus.
Item_006	The attire Fuuka wears when infiltrating Tartarus.
Item_007	The attire Aigis wears when infiltrating Tartarus.
Item_008	The attire Amada wears when infiltrating Tartarus.
Item_009	The attire Koromaru wears when infiltrating Tartarus.
Item_00A	The attire Aragaki wears when infiltrating Tartarus.
Item_00B	Makoto's combat attire made for operation activities.
Item_00C	Yukari's combat attire made for operation activities.
Item_00D	Junpei's combat attire made for operation activities.
Item_00E	Sanada's combat attire made for operation activities.
Item_00F	Mitsuru's combat attire made for operation activities.
Item_010	Fuuka's combat attire made for operation activities.
Item_011	Aigis's combat attire made for operation activities.
Item_012	Amada's combat attire made for operation activities.
Item_013	Koromaru's combat attire made for operation activities.
Item_014	Aragaki's combat attire made for operation activities.
Item_015	A butler suit for Makoto. Very professional-looking.
Item_016	Makoto's swimsuit. Makes even Tartarus feel like summer.
Item_017	Makoto's summer casual wear.
Item_018	Makoto's winter casual wear.
Item_019	Makoto's school uniform for summer.
Item_01A	Dangerously revealing armor. It might fit Yukari...
Item_01B	Yukari's swimsuit. Makes even Tartarus feel like summer.
Item_01C	未使用
Item_01D	A maid outfit for Yukari. A magnificent piece that even the pros use.
Item_01E	Yukari's summer casual wear.
Item_01F	Yukari's winter casual wear.
Item_020	Yukari's school uniform for summer.
Item_021	Junpei's swimsuit. Makes even Tartarus feel like summer.
Item_022	未使用
Item_023	A butler suit for Junpei. Very professional-looking.
Item_024	Junpei's summer casual wear.
Item_025	Junpei's winter casual wear.
Item_026	Junpei's school uniform for summer.
Item_027	未使用
Item_028	A butler suit for Sanada. Very professional-looking.
Item_029	Sanada's swimsuit. Makes even Tartarus feel like summer.
Item_02A	Sanada's summer casual wear.
Item_02B	Sanada's winter casual wear.
Item_02C	Sanada's school uniform for summer.
Item_02D	Armor that captivates men. It might fit Mitsuru...
Item_02E	Mitsuru's swimsuit. Makes even Tartarus feel like summer.
Item_02F	未使用
Item_030	A maid outfit for Mitsuru. A magnificent piece that even the pros use.
Item_031	Mitsuru's summer casual wear.
Item_032	Mitsuru's winter casual wear.
Item_033	Mitsuru's school uniform for summer.
