id	en
Item_000	未使用
Item_001	未使用
Item_002	未使用
Item_003	未使用
Item_004	未使用
Item_005	未使用
Item_006	未使用
Item_007	未使用
Item_008	未使用
Item_009	未使用
Item_00A	未使用
Item_00B	未使用
Item_00C	未使用
Item_00D	未使用
Item_00E	未使用
Item_00F	未使用
Item_010	未使用
Item_011	A lead medal dropped by a rare enemy.
Item_012	A steel medal dropped by a rare enemy.
Item_013	A bronze medal dropped by a rare enemy.
Item_014	A silver medal dropped by a rare enemy.
Item_015	A gold medal dropped by a rare enemy.
Item_016	A platinum medal dropped by a rare enemy.
Item_017	An old button obtained from The Reaper.
Item_018	未使用
Item_019	未使用
Item_01A	未使用
Item_01B	未使用
Item_01C	未使用
Item_01D	未使用
Item_01E	未使用
Item_01F	未使用
Item_020	未使用
Item_021	Fragment of a leg that can run very fast. Sells for a moderate price.
Item_022	未使用
Item_023	未使用
Item_024	未使用
Item_025	未使用
Item_026	未使用
Item_027	未使用
Item_028	未使用
Item_029	未使用
Item_02A	A rusty, old coin. Sells for a moderate price.
Item_02B	A rusty, old coin. Sells for a moderate price.
Item_02C	A rusty, old coin. Sells for a high price.
Item_02D	A rusty, old coin. Sells for a very high price.
Item_02E	A rusty, old coin. Sells for a very high price.
Item_02F	A rusty, old coin. Sells for a very high price.
Item_030	未使用
Item_031	未使用
Item_032	未使用
Item_033	未使用
Item_034	未使用
Item_035	未使用
Item_036	未使用
Item_037	未使用
Item_038	未使用
Item_039	未使用
Item_03A	未使用
Item_03B	未使用
Item_03C	未使用
Item_03D	A quartz with a beautiful purple color.
Item_03E	未使用
Item_03F	A beryl enveloped in a green sheen.
Item_040	A black natural rock with a name that means ''claw'' in Greek.
Item_041	A multi-colored gemstone believed to attract good luck.
Item_042	A crimson gemstone that is said to bring victory.
Item_043	未使用
Item_044	A clear, colorless gemstone with an incredibly beautiful sheen.
Item_045	A blue-green gemstone beloved by numerous civilizations.
Item_046	A light brown gemstone with a Japanese name meaning ''yellow stone.''
Item_047	未使用
Item_048	A beautiful, red natural stone sometimes known as ''the queen of gems.''
Item_049	A deep green stone with beautiful stripes that is said to bring harmony.
Item_04A	未使用
Item_04B	A beautiful, black crystal that houses a mysterious power.
Item_04C	A beautiful, silver crystal that houses a mysterious power.
Item_04D	A beautiful, gold crystal that houses a mysterious power.
Item_04E	未使用
Item_04F	未使用
Item_050	未使用
Item_051	A base model for a fusion weapon. Cannot be equipped.
Item_052	A base model for a fusion weapon. Cannot be equipped.
Item_053	A base model for a fusion weapon. Cannot be equipped.
Item_054	A base model for fusion armor. Cannot be equipped.
Item_055	A base model for fusion armor. Cannot be equipped.
Item_056	A base model for fusion armor. Cannot be equipped.
Item_057	A base model for a fusion accessory. Cannot be equipped.
Item_058	A base model for a fusion accessory. Cannot be equipped.
Item_059	A base model for a fusion accessory. Cannot be equipped.
Item_05A	A base model for various fusion equipment. Cannot be equipped.
Item_05B	A base model for various fusion equipment. Cannot be equipped.
Item_05C	A base model with a very high value. Cannot be equipped.
Item_05D	A base model with a very high value. Cannot be equipped.
Item_05E	A base model for a fusion weapon. Cannot be equipped.
Item_05F	A base model for various fusion equipment. Cannot be equipped.
Item_060	A base model for various fusion equipment. Cannot be equipped.
Item_061	A base model with a very high value. Cannot be equipped.
Item_062	未使用
Item_063	未使用
Item_064	未使用
Item_065	A stone that houses the power of a Persona with the name ''Jack.''
Item_066	未使用
Item_067	未使用
Item_068	未使用
Item_069	未使用
Item_06A	未使用
Item_06B	未使用
Item_06C	未使用
Item_06D	未使用
Item_06E	未使用
Item_06F	未使用
Item_070	未使用
Item_071	未使用
Item_072	未使用
Item_073	未使用
Item_074	未使用
Item_075	A shining, black stone that houses the power of Black Frost.
Item_076	未使用
Item_077	An exquisite comb that houses the power of Cu Chulainn.
Item_078	未使用
Item_079	未使用
Item_07A	未使用
Item_07B	未使用
Item_07C	A wooden doll that houses the power of Nebiros.
Item_07D	未使用
Item_07E	未使用
Item_07F	未使用
Item_080	未使用
Item_081	A scorching hot rock that houses the power of Surt.
Item_082	未使用
Item_083	A mask worn by cowards. Could sell for a low price.
Item_084	A mask meant to hide one's cruel side. Could sell for a low price.
Item_085	A mask made to play up appearances. Could sell for a low price.
Item_086	A mask that increases one's pridefulness. Could sell for a low price.
Item_087	A mask meant to hide one's lackadaisical nature. Could sell for a low price.
Item_088	A mask meant to hide traitorous ambitions. Could sell for a low price.
Item_089	A mask meant to cover up failure. Could sell for a low price.
Item_08A	A mask stained with prejudice. Could sell for a moderate price.
Item_08B	A mask meant to hide one's greed. Could for a moderate price.
Item_08C	A mask meant to hide one's faults. Could sell for a moderate price.
Item_08D	A mask meant to hide one's true nature. Could sell for a low price.
Item_08E	A mask made to hide one's sacrifices. Could sell for a moderate price.
Item_08F	A small, red bowtie. Could sell for a low price.
Item_090	A fancy necklace adorned with jewels. Could sell for a low price.
Item_091	A black choker with pointed spikes. Could sell for a low price.
Item_092	An extravagant collar accessory with frills. Could sell for a low price.
Item_093	A plain, iron eating utensil. Could sell for a low price.
Item_094	A reddish bronze eating utensil. Could sell for a low price.
Item_095	A clean, silver eating utensil. Could sell for a moderate price.
Item_096	A refined, platinum eating utensil. Could sell for a moderate price.
Item_097	A hat with a unique design. Could sell for a low price.
Item_098	A hat with a striking pattern. Could sell for a moderate price.
Item_099	A hat that gives off an air of intellect. Could sell for a moderate price.
Item_09A	A hat that exhibits distinctiveness. Could sell for a moderate price.
Item_09B	A tiara that makes its wearer well-behaved. Could sell for a low price.
Item_09C	A tiara that makes its wearer feel melancholic. Could sell for a low price.
Item_09D	A tiara that makes its wearer scream. Could sell for a low price.
Item_09E	A tiara that makes its wearer reticent. Could sell for a low price.
Item_09F	A book filled with falsehoods. Could sell for a low price.
Item_0A0	A book overflowing with crazed ravings. Could sell for a low price.
Item_0A1	A book with all of its contents smeared over. Could sell for a low price.
Item_0A2	A book full of angry rantings. Could sell for a moderate price.
Item_0A3	A throne with a calming effect. Could sell for a low price.
Item_0A4	A throne with a liberating effect. Could sell for a low price.
Item_0A5	A throne with a despairing effect. Could sell for a moderate price.
Item_0A6	A throne with a maddening effect. Could sell for a moderate price.
Item_0A7	A glittering feather. Could sell for a low price.
Item_0A8	A jet-black feather that doesn't reflect light. Could sell for a low price.
Item_0A9	A lightweight feather with excellent breathability. Could sell for a low price.
Item_0AA	A white, unperishing feather. Could sell for a moderate price.
Item_0AB	An orb that increases creative abilities. Could sell for a low price.
Item_0AC	An orb that grants consistency. Could sell for a low price.
Item_0AD	An orb that heightens aspiration. Could sell for a low price.
Item_0AE	An orb that brings about change. Could sell for a moderate price.
