id	en
Item_000	未使用
Item_001	Sturdy work boots, effective for various uses.
Item_002	Brown loafers with a simple design.
Item_003	Generic boots adorned with a horizontal stripe.
Item_004	Athletic shoes with a classic design.
Item_005	Long, black boots that have a glossy sheen.
Item_006	Black loafers with a simple design.
Item_007	Leg equipment for Aigis. Made with pure iron.
Item_008	Comfortable shoes made for indoor soccer.
Item_009	The paw pads are extremely soft.
Item_00A	Sturdy, low-heel boots. A little longer than average boots.
Item_00B	Textured sandals that are easy to walk in.
Item_00C	Casual boots with thick soles.
Item_00D	Retro high geta that somehow feel barbaric.
Item_00E	Leather boots made of sturdy material.
Item_00F	Shoes with a single row of wheels that allow for quick movement.
Item_010	Rugged boots used by the military.
Item_011	Mechanized geta made with advanced technology.
Item_012	Extremely fancy leopard-print tights.
Item_013	Tough greaves that are dyed dark red.
Item_014	Sandals with an eccentric design that strengthen magic power.
Item_015	Extremely durable shoes that can even withstand being run over by a tank.
Item_016	Greaves of a warrior dedicated to perfecting their swordplay.
Item_017	Advanced shoes made from harnessing the power of science.
Item_018	Black tabi used by ninjas that increase one's Agility.
Item_019	Grandiose tabi that increase one's Attack and critical rate.
Item_01A	Shoes with needles attached. Painful to be kicked by them.
Item_01B	Engine-equipped boots that surpass modern technology.
Item_01C	Zori that smell of straw. Allow for nimble movement.
Item_01D	Extremely light shoes that refrain from making any noise.
Item_01E	Extremely sturdy greaves that are very difficult to break.
Item_01F	Lightweight pumps that are comfortable to wear.
Item_020	Radio-controllable geta. Attack rises when on the receiving end of a Shift.
Item_021	Shoes equipped with sharp spikes. Handle with care.
Item_022	Old-fashioned sandals with lions stylishly drawn on them.
Item_023	Pleasantly airy sandals colored silver.
Item_024	Shoes frequently used by hitmen. Can also be worn for everyday use.
Item_025	Eccentric shoes thought to greatly increase one's attractiveness.
Item_026	Sandals so lightweight, they make the wearer feel like they could float.
Item_027	High-performance greaves in which the soul of a war god resides.
Item_028	Lavish boots adorned with elaborate goldwork.
Item_029	Shoes blessed by the power of an ancient king.
Item_02A	Tabi that raise the Agility of all allies at the start of battle.
Item_02B	Mysterious boots that raise Attack when on the receiving end of a Shift.
Item_02C	Mysterious shoes that restore SP when on the receiving end of a Shift.
Item_02D	Ornamented shoes which greatly decrease the hit rate of incoming attacks.
Item_02E	Stimulates pressure points. Can be painful if the wearer is unhealthy.
Item_02F	Heels that don't slip even on ice. Feel a bit cold when worn.
Item_030	Sneakers that provide the courage needed to take the next step.
Item_031	Shoes that enable anyone to become light and nimble.
Item_032	Lightweight sandals that make the wearer feel weightless.
Item_033	Shoes that let the wearer move nimbly in combat. Perfect for Sanada.
Item_034	Women's tights that are resistant to electricity.
Item_035	Traditional zori adorned with a thunderbolt pattern.
Item_036	Shoes that are said to have been worn by the ruler of the world.
Item_037	Mysterious boots that bring good fortune to the wearer.
Item_038	Shoes that enable survival of a single Dark instakill attack with 1 HP.
Item_039	Light and sturdy protector that guards the legs.
Item_03A	Heels that imbue the wearer with a sudden passion for dancing.
Item_03B	Leg armor resembling a tortoise shell. Low chance to Repel physical attacks.
Item_03C	Futuristic shoes that bring out one's inner child.
Item_03D	Shoes with a devil icon. SP is restored when on the receiving end of a Shift.
Item_03E	Lightweight boots that restore SP to the ally being Shifted to.
Item_03F	Geta with unknown origin. The wearer's abilities are heightened.
Item_040	Heels once worn by a former angel.
Item_041	Shoes that increase Agility to the point that afterimages are produced.
Item_042	Shoes furnished with a perfect beauty that emits divinity.
Item_043	Sandals popular among young boys. Great for Amada.
Item_044	未使用
Item_045	未使用
Item_046	未使用
Item_047	未使用
Item_048	Leg equipment for Aigis. Made of carbon materials.
Item_049	Leg equipment for Aigis. Easy to use in everyday life.
Item_04A	Leg equipment for Aigis. Excels in durability and heat resistance.
Item_04B	Leg equipment for Aigis. Contain strong electromagnetic power.
Item_04C	Leg equipment for Aigis. Resistant to corrosion.
Item_04D	Leg equipment for Aigis. Woven with special fibers.
Item_04E	Leg equipment for Aigis. Strong and lightweight.
Item_04F	Leg equipment for Aigis. Made of a sleek, black alloy.
Item_050	Leg equipment for Aigis. Highly resistant to abrasion.
Item_051	Leg equipment for Aigis. Extremely resistant to corrosion.
Item_052	Leg equipment for Aigis. Designed in the image of a beast god.
Item_053	Leg equipment for Aigis. Experimental model used on a trial basis.
Item_054	Leg equipment for Aigis. Manufactured with special techniques.
Item_055	Leg equipment for Aigis. Insulates electricity.
Item_056	Leg equipment for Aigis. Slightly restores HP during battle.
Item_057	Leg equipment for Aigis. Equipped with an exhaust heat recovery system.
Item_058	Leg equipment for Aigis. Radiates angelic divinity.
Item_059	Leg equipment for Aigis. All performance capabilities enhanced.
Item_05A	Leg equipment for Aigis. Practical application has been deemed forbidden.
Item_05B	未使用
Item_05C	未使用
Item_05D	未使用
Item_05E	未使用
Item_05F	未使用
Item_060	未使用
Item_061	未使用
Item_062	未使用
Item_063	未使用
Item_064	未使用
Item_065	未使用
Item_066	未使用
Item_067	未使用
Item_068	未使用
Item_069	未使用
Item_06A	未使用
Item_06B	未使用
Item_06C	未使用
Item_06D	未使用
Item_06E	未使用
Item_06F	未使用
Item_070	未使用
Item_071	未使用
Item_072	未使用
Item_073	未使用
Item_074	未使用
Item_075	未使用
Item_076	未使用
Item_077	未使用
Item_078	未使用
Item_079	未使用
Item_07A	未使用
Item_07B	未使用
Item_07C	未使用
Item_07D	未使用
Item_07E	未使用
Item_07F	未使用
Item_080	未使用
Item_081	未使用
Item_082	未使用
Item_083	未使用
Item_084	未使用
Item_085	未使用
Item_086	未使用
Item_087	未使用
Item_088	未使用
Item_089	未使用
Item_08A	未使用
Item_08B	未使用
Item_08C	未使用
Item_08D	未使用
Item_08E	未使用
Item_08F	未使用
Item_090	未使用
Item_091	未使用
Item_092	未使用
Item_093	未使用
Item_094	未使用
Item_095	未使用
Item_096	未使用
Item_097	未使用
Item_098	未使用
Item_099	未使用
Item_09A	未使用
Item_09B	未使用
Item_09C	未使用
Item_09D	未使用
Item_09E	未使用
Item_09F	未使用
Item_0A0	未使用
Item_0A1	未使用
Item_0A2	未使用
Item_0A3	未使用
Item_0A4	未使用
Item_0A5	未使用
Item_0A6	未使用
Item_0A7	未使用
Item_0A8	未使用
Item_0A9	未使用
Item_0AA	未使用
Item_0AB	未使用
Item_0AC	未使用
Item_0AD	未使用
Item_0AE	未使用
Item_0AF	未使用
Item_0B0	未使用
Item_0B1	未使用
Item_0B2	未使用
Item_0B3	未使用
Item_0B4	未使用
Item_0B5	未使用
Item_0B6	未使用
Item_0B7	未使用
Item_0B8	未使用
Item_0B9	未使用
Item_0BA	未使用
Item_0BB	未使用
Item_0BC	未使用
Item_0BD	未使用
Item_0BE	未使用
Item_0BF	未使用
Item_0C0	未使用
Item_0C1	未使用
Item_0C2	未使用
Item_0C3	未使用
Item_0C4	未使用
Item_0C5	未使用
Item_0C6	未使用
Item_0C7	未使用
Item_0C8	未使用
Item_0C9	未使用
Item_0CA	未使用
Item_0CB	未使用
Item_0CC	未使用
Item_0CD	未使用
Item_0CE	未使用
Item_0CF	未使用
Item_0D0	未使用
Item_0D1	未使用
Item_0D2	未使用
Item_0D3	未使用
Item_0D4	未使用
