id	en
Item_000	未使用
Item_001	Skill Card that bestows Agi: Fire damage to 1 foe.
Item_002	Skill Card that bestows Agilao: Fire damage to 1 foe.
Item_003	Skill Card that bestows Agidyne: Fire damage to 1 foe.
Item_004	Skill Card that bestows Maragi: Fire damage to all foes.
Item_005	Skill Card that bestows Maragion: Fire damage to all foes.
Item_006	Skill Card that bestows Maragidyne: Fire damage to all foes.
Item_007	未使用
Item_008	Skill Card that bestows Garu: Wind damage to 1 foe.
Item_009	Skill Card that bestows Garula: Wind damage to 1 foe.
Item_00A	Skill Card that bestows Garudyne: Wind damage to 1 foe.
Item_00B	Skill Card that bestows Magaru: Wind damage to all foes.
Item_00C	Skill Card that bestows Magarula: Wind damage to all foes.
Item_00D	Skill Card that bestows Magarudyne: Wind damage to all foes.
Item_00E	Skill Card that bestows Bufu: Ice damage to 1 foe.
Item_00F	Skill Card that bestows Bufula: Ice damage to 1 foe.
Item_010	Skill Card that bestows Bufudyne: Ice damage to 1 foe.
Item_011	Skill Card that bestows Mabufu: Ice damage to all foes.
Item_012	Skill Card that bestows Mabufula: Ice damage to all foes.
Item_013	Skill Card that bestows Mabufudyne: Ice damage to all foes.
Item_014	Skill Card that bestows Zio: Electric damage to 1 foe.
Item_015	Skill Card that bestows Zionga: Electric damage to 1 foe.
Item_016	Skill Card that bestows Ziodyne: Electric damage to 1 foe.
Item_017	Skill Card that bestows Mazio: Electric damage to all foes.
Item_018	Skill Card that bestows Mazionga: Electric damage to all foes.
Item_019	Skill Card that bestows Maziodyne: Electric damage to all foes.
Item_01A	Skill Card that bestows Megido: Almighty damage to all foes.
Item_01B	Skill Card that bestows Megidola: Almighty damage to all foes.
Item_01C	Skill Card that bestows Megidolaon: Almighty damage to all foes.
Item_01D	Skill Card that bestows Kouha: Light damage to 1 foe.
Item_01E	Skill Card that bestows Kouga: Light damage to 1 foe.
Item_01F	Skill Card that bestows Kougaon: Light damage to 1 foe.
Item_020	Skill Card that bestows Makouha: Light damage to all foes.
Item_021	Skill Card that bestows Makouga: Light damage to all foes.
Item_022	Skill Card that bestows Makougaon: Light damage to all foes.
Item_023	Skill Card that bestows Divine Judgment: Halves HP of 1 foe.
Item_024	Skill Card that bestows Hama: Light instakill to 1 foe.
Item_025	Skill Card that bestows Mahama: Light instakill to all foes.
Item_026	Skill Card that bestows Hamaon: Light instakill to 1 foe.
Item_027	Skill Card that bestows Mahamaon: Light instakill to all foes.
Item_028	Skill Card that bestows Eiha: Dark damage to 1 foe.
Item_029	Skill Card that bestows Eiga: Dark damage to 1 foe.
Item_02A	Skill Card that bestows Eigaon: Dark damage to 1 foe.
Item_02B	Skill Card that bestows Maeiha: Dark damage to all foes.
Item_02C	Skill Card that bestows Maeiga: Dark damage to all foes.
Item_02D	Skill Card that bestows Maeigaon: Dark damage to all foes.
Item_02E	Skill Card that bestows Demonic Decree: Halves HP of 1 foe.
Item_02F	Skill Card that bestows Mudo: Dark instakill to 1 foe.
Item_030	Skill Card that bestows Mamudo: Dark instakill to all foes.
Item_031	Skill Card that bestows Mudoon: Dark instakill to 1 foe.
Item_032	Skill Card that bestows Mamudoon: Dark instakill to all foes.
Item_033	Skill Card that bestows Marin Karin: Inflict Charm on 1 foe.
Item_034	Skill Card that bestows Sexy Dance: Inflict Charm on all foes.
Item_035	Skill Card that bestows Bewilder: Inflict Distress on 1 foe.
Item_036	Skill Card that bestows Eerie Sound: Inflict Distress on all foes.
Item_037	Skill Card that bestows Pulinpa: Inflict Confuse on 1 foe.
Item_038	Skill Card that bestows Tentarafoo: Inflict Confuse on all foes.
Item_039	Skill Card that bestows Evil Touch: Inflict Fear on 1 foe.
Item_03A	Skill Card that bestows Evil Smile: Inflict Fear on all foes.
