id	en
Item_000	未使用
Item_001	A lightweight one-handed sword that's easy to handle.
Item_002	A traditional Japanese sword. For Makoto.
Item_003	A curved, easy-to-use sword. For Makoto.
Item_004	A short sword designed for thrusting. For Makoto.
Item_005	A long sword said to have slayed ancient demons. For Makoto.
Item_006	An artistic, masterfully crafted shortsword. For Makoto.
Item_007	A sturdy, curved sword that can cut through iron. For Makoto.
Item_008	未使用
Item_009	A Western sword with a silver blade. For Makoto.
Item_00A	A legendary knife known to few, but revered for its incredible cutting ability.
Item_00B	A well-worn water pipe with a bit of a musty smell.
Item_00C	A sturdy sword that emits spiritual energy. For Makoto.
Item_00D	A Western sword with a design inspired by a hero. For Makoto.
Item_00E	High likelihood to Repel physical attacks. For Makoto.
Item_00F	An elegant sword with moon-like decorations. For Makoto.
Item_010	A short sword made in the Heian period. For Makoto.
Item_011	A sharp sword with a reflective polish. For Makoto.
Item_012	A Japanese sword passed down by the Taira clan. For Makoto.
Item_013	A rugged sword blessed by the god of power. For Makoto.
Item_014	A ceremonial katana powered by the stars. For Makoto.
Item_015	A curved sword that seems to pulsate. For Makoto.
Item_016	A Western sword with a sharp tip. For Makoto.
Item_017	A holy sword favored by a knight-king of legend. For Makoto.
Item_018	A reddish-gold sword that cuts through resistances. For Makoto.
Item_019	A sword that strengthens magic attacks. For Makoto.
Item_01A	未使用
Item_01B	A fusion sword that is simple but well-forged. For Makoto.
Item_01C	未使用
Item_01D	A sword that changes attack affinity to Light. For Makoto.
Item_01E	未使用
Item_01F	A Western sword inhabited by spirits. For Makoto.
Item_020	A Western sword found inside a great tree. For Makoto.
Item_021	A long sword that is almost see-through. For Makoto.
Item_022	A short sword imbued with poisons. For Makoto.
Item_023	A short sword whose slash brings disaster. For Makoto.
Item_024	A longbow used for archery practice that is easy for beginners to use.
Item_025	A lightweight short bow that is easy to handle. For Yukari.
Item_026	A bow that emits an odd sound that confuses enemies. For Yukari.
Item_027	A longbow wrapped tightly with rattan. For Yukari.
Item_028	A fancy bow whose arrows leave a rainbow trail. For Yukari.
Item_029	A longbow adorned with metallic ornaments. For Yukari.
Item_02A	A short bow that is as light as a feather. For Yukari.
Item_02B	A refined Japanese bow that shoots arrows in a beautiful arc. For Yukari.
Item_02C	Shoots suction cup arrows. If it hits, it leaves a suction cup mark.
Item_02D	A sturdy bow suited for long-range shooting. For Yukari.
Item_02E	A hunting bow that shoots arrows covered in poison. For Yukari.
Item_02F	A large bow that shakes the air with the snap of its string. For Yukari.
Item_030	A Japanese bow that has been reinforced with bamboo. For Yukari.
Item_031	A lightweight longbow blessed by the god of wind. For Yukari.
Item_032	A short bow made of wood and animal hides. For Yukari.
Item_033	A mystical bow enhanced by magical spells. For Yukari.
Item_034	A large bow that produces powerful shots. For Yukari.
Item_035	A longbow that shoots off arrows as fast as lightning. For Yukari.
Item_036	A large, hefty bow that requires a lot of force to use. For Yukari.
Item_037	A Japanese bow whose comfortable grip calms the user. For Yukari.
Item_038	An exquisite bow that was used by a legendary archer. For Yukari.
Item_039	A strong bow said to have been used by the god of destruction. For Yukari.
Item_03A	A Japanese bow favored by a courageous leader. For Yukari.
Item_03B	A winged bow that changes attack affinity to Light. For Yukari.
Item_03C	A bow that strengthens the first magic attack of each battle. For Yukari.
Item_03D	A fusion bow that easily hits enemies' weak points. For Yukari.
Item_03E	未使用
Item_03F	未使用
Item_040	A massive bow that is hard to handle but powerful. For Yukari.
Item_041	A Japanese bow in which the rage of a demonic spirit resides. For Yukari.
Item_042	A magic bow that was favored by an ancient witch. For Yukari.
Item_043	A bow that temporarily boosts Accuracy/Evasion. For Yukari.
Item_044	A longbow that changes attack affinity to Wind. For Yukari.
Item_045	未使用
Item_046	A sinister bow that brings about disaster.\nFor Yukari.
Item_047	A replica sword that looks real.
Item_048	A two-handed sword that rouses the user's courage. For Junpei.
Item_049	A great sword with exceeding length, weight, and strength. For Junpei.
Item_04A	A heavy great sword used to crush opponents. For Junpei.
Item_04B	A sword that can be drawn as fast as lightning. For Junpei.
Item_04C	A long, two-handed sword. For Junpei.
Item_04D	A lightweight sword that can be used in a variety of ways. For Junpei.
Item_04E	未使用
Item_04F	A bat with nails driven into it. Release your inner bad boy.
Item_050	A sword with a blade\nlike a lump of iron. For Junpei.
Item_051	A two-handed sword that is lightweight but deadly. For Junpei.
Item_052	A sword with a thick, heavy blade. For Junpei.
Item_053	未使用
Item_054	An unusually long two-handed sword. For Junpei.
Item_055	A sword that temporarily boosts Defense. For Junpei.
Item_056	A deadly katana which a strangely ominous aura. For Junpei.
Item_057	A great sword that shines mystically. For Junpei.
Item_058	A great sword that bears the name ''Hard Lightning.'' For Junpei.
Item_059	A sword that symbolizes turmoil. For Junpei.
Item_05A	A sword that boasts strong cutting ability. For Junpei.
Item_05B	A great sword made from the Philosopher's Stone. For Junpei.
Item_05C	A sword made from the bones of poison snakes. For Junpei.
Item_05D	A supreme magical sword that cuts through resistances. For Junpei.
Item_05E	A massive sword that changes attack affinity to Fire. For Junpei.
Item_05F	A dark red sword that doubles the user's critical rate. For Junpei.
Item_060	未使用
Item_061	A two-handed sword that strikes enemies with a heavy blow. For Junpei.
Item_062	未使用
Item_063	A sword favored by a monk who saved the country. For Junpei.
Item_064	An especially sharp sword once used to decapitate a demon. For Junpei.
Item_065	A great sword bearing the name of a crazed warrior. For Junpei.
Item_066	A two-handed sword that reddens its victims. For Junpei.
Item_067	A heated sword that changes attack affinity to Fire. For Junpei.
