id	en
MSG_000	未使用
MSG_001	A priestess in service of the goddess Hera. When Zeus fell in love with her, he transformed her into a cow to hide her from Hera, but Hera saw through the ruse. She was rescued by Hermes, and escaped across the sea to safety.
MSG_002	Osiris's wife as well as his younger sister. Upon the death of her husband at the hands of Seth, she traveled all over Egypt to recover the pieces of his body, and revived him with her incredible magic power.
MSG_003	A messenger god who served Zeus. His winged sandals allow him to fly, and he was worshiped as a god of travel and commerce. He was also known as a trickster, being able to freely cross between the mortal and godly realms.
MSG_004	A Hellenistic figure who represents a blending of the Greek god Hermes and the Egyptian god Thoth. His full name, Hermes Trismegistus, means ''Hermes, thrice greatest,'' and he is thought to be the author of the Corpus Hermeticum.
MSG_005	A hero in Greek mythology. As the son of Zeus and the mortal Leda, he inherited his father's immortality. He and his half-brother Castor were famed fighters, and both became stars in the constellation Gemini.
MSG_006	A statesman, general, and author known for his rule over the Roman Republic. His full name was Gaius Julius Caesar. His many accomplishments led to his name being used as a title for later Roman emperors.
MSG_007	A queen of the Amazons in Greek mythology. She fought for the Trojans during the Trojan War, but was slain by Achilles. When Achilles took off her helmet and saw her beautiful face, he felt great remorse for killing her.
MSG_008	The heroic queen of Halicarnassus mentioned in Herodotus's The Histories. During the Persian Wars between the Greek states and Persia, she was the only woman to take command in the Persian fleet.
MSG_009	A saint who was martyred during the persecution of Christianity in the time of the Roman Empire. She was tortured and had her eyes gouged out, but a miracle restored her sight. She is revered as the patron saint of the blind.
MSG_010	The goddess of family and marriage, and wife to the Roman god Jupiter. She is often equated with the Greek goddess Hera. Though she is kind, she is also vengeful, seeking to punish women who have affairs with her husband.
MSG_011	A guardian statue in ancient Greece, stolen from Troy, that protected the city in which it was enshrined. It is said that Athena was so saddened by the death of her friend, Pallas, that she had the wooden statue made in her image.
MSG_012	Daughter of Zeus, and a goddess of great martial ability. She fights to protect her land or family, but never for sheer bloodlust. Her symbol is the olive tree.
MSG_013	A Greek goddess that was the personification of the gods' wrath, or ''divine retribution.'' While known to administer vengeance, she was also perceived as fair and balanced, punishing only those that deserved it.
MSG_014	A Hindu goddess whose name means ''edge of the wheel of time.'' The ''wheel'' refers to samsara, the cycle of death and rebirth, meaning she is a goddess who has transcended life itself.
MSG_015	A hero in Greek mythology. He is Polydeuces's half-brother, but doesn't share his brother's immortality. He was struck and killed by an arrow, after which he and his brother became stars in the constellation Gemini.
MSG_016	The giant hound that guards the great abyss, Tartarus. He answers to Hades, the lord of the underworld, and keeps watch for both intruders and escapees. He was born from Typhon and Echidna, and is the older brother of Orthrus.
MSG_017	未使用
MSG_018	Unused
MSG_019	Unused
MSG_020	Unused
MSG_021	Unused
MSG_022	Unused
MSG_023	Unused
MSG_024	Unused
MSG_025	Unused
MSG_026	Unused
MSG_027	Unused
MSG_028	Unused
MSG_029	Unused
MSG_030	Unused
MSG_031	Unused
MSG_032	Unused
MSG_033	Unused
MSG_034	Unused
MSG_035	Eighth of the nine orders of angels. Their duty is to minister to humans and deliver messages. They are warriors of Heaven and lead Heaven's forces during battle with the armies of evil.
MSG_036	The Hindu king of Asuras is named Maha Vairocana, or ''One Who Shines On All.'' In Buddhism, he is known as Dainichi Nyorai.
MSG_037	One of the eight Yashaou. His domain is war and protection. Once a child-eating demon, he became one of the greatest of the Wisdom Kings after the Buddha converted him to good.
