id	en
TheurgiaFlavorMSG_BLANK	UNUSED
TheurgiaFlavorMSG_HERO	After summoning a Persona, power within gradually enhances.
TheurgiaFlavorMSG_YUKARI	After healing someone, her desire to prevent death strengthens.
TheurgiaFlavorMSG_JUNPEI	After landing a critical hit, he becomes motivated by his own potential.
TheurgiaFlavorMSG_SANADA	After strengthening himself, his fighting spirit rises.
TheurgiaFlavorMSG_MITURU	After weakening enemies or inflicting an ailment, her will burns brighter.
TheurgiaFlavorMSG_FUKA	After analyzing an enemy, her yearning for her friends' trust grows.
TheurgiaFlavorMSG_AEGIS	After using physical skills, her drive to complete her mission intensifies.
TheurgiaFlavorMSG_AMADA	Once his SP is less than half, his competitiveness is incited.
TheurgiaFlavorMSG_KOROMA	After exploiting an enemy's weakness, his will to fight grows.
TheurgiaFlavorMSG_ARAGAK	Once his HP is less than half, his determination ignites.
