num	title	summary	description
0	未使用	未使用	未使用
2	Retrieve the first old document.	Bring the ''Old Document 01.''	Please bring me the ''Old Document 01'' from the top floor of Thebel, the first block in Tartarus. Unless... you already have it?
14	Retrieve the second old document.	Bring the ''Old Document 02.''	Please bring me the ''Old Document 02'' from the halfway point of Arqa, the second block in Tartarus. No need to rush-there is no deadline for this.
21	Retrieve the third old document.	Bring the ''Old Document 03.''	Please bring me the ''Old Document 03'' from the top floor of Arqa, the second block in Tartarus. Have you the chance to read the contents of these documents? They are truly intriguing...
30	Retrieve the fourth old document.	Bring the ''Old Document 04.''	Please bring me the ''Old Document 04'' from the halfway point of Yabbashah, the third block in Tartarus. As for why these documents can be found within that deformed tower... The answer may be on another floor higher up.
45	Retrieve the fifth old document.	Bring the ''Old Document 05.''	Please bring me the ''Old Document 05'' from the top floor of Yabbashah, the third block in Tartarus. I wonder who left behind these writings... Just what sort of person are they?
59	Retrieve the sixth old document.	Bring the ''Old Document 06.''	Please bring me the ''Old Document 06'' from the halfway point of Tziah, the fourth block in Tartarus. Has your perspective changed after discovering the truth, one unbeknownst to the ordinary person?
70	Retrieve the seventh old document.	Bring the ''Old Document 07.''	Please bring me the ''Old Document 07'' from the top floor of Tziah, the fourth block in Tartarus. This will be fairly high up in the tower. I wish you a safe journey there.
82	Retrieve the last old document.	Bring the ''Old Document 08.''	Please bring me the ''Old Document 08'' from the halfway point of Harabah, the fifth block in Tartarus. This will be my final request regarding the old documents. I look forward to your report of success.
83	Retrieve the progress report.	Bring the ''Progress Report.''	Please bring me the ''Progress Report'' from the top floor of Harabah, the fifth block in Tartarus. This document lies even higher up, waiting to be discovered... I'd love to see it for myself.
37	Traverse the Monad Passage.	Defeat all the Shadows lurking within the Monad Passage on the 91st floor in Yabbashah, the third block.	Please investigate a certain passage in Yabbashah, the third block, on the 91st floor. Though the entrance appears the same as the Monad door, the inside seems to differ.
99	Defeat the Shadow of the Void.	Defeat the ''Shadow of the Voice'' lurking within the Monad Passage on the 255th floor in Adamah, the sixth block.	I sense a presence of immense malevolence... Please defeat the ''Shadow of the Void'' lurking within the Monad Passage in the sixth block, Adamah.
1	Bring me a Muscle Drink.	Bring Elizabeth 1 Muscle Drink.	Have you ever tried something called a ''Muscle Drink''? I have long pondered its taste. Could you please bring me one to satiate my curiosity? I believe you may be able to purchase it somewhere.
66	Bring me a giant, creepy doll.	Bring a doll that is also used for teaching.	I heard there's a ''creepy-looking'' doll in your world that is also used for educational purposes. I would like to see it for myself.
