CategoryID	ItemID1	ItemID2	ItemID3	ItemID4	ItemID5	ItemID6	ItemID7	ItemID8	ItemID9	ItemID10	ItemNum1	ItemNum2	ItemNum3	ItemNum4	ItemNum5	ItemNum6	ItemNum7	ItemNum8	ItemNum9	ItemNum10	ActiveFlag	GetFlag	NewFlag
0	32858	32859	32860	32861	32862	32863	32864	32865	32867	32866	1	1	1	1	1	1	1	1	1	1	1342177409	1342177469	1342177439
0	32868	32869	32870	32871	32872	32873	32874	32875	32877	32876	1	1	1	1	1	1	1	1	1	1	1342177410	1342177470	1342177440
0	32878	32879	32880	32881	32882	32883	32884	32885	32887	32886	1	1	1	1	1	1	1	1	1	1	1342177411	1342177471	1342177441
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177412	1342177472	1342177442
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177413	1342177473	1342177443
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177414	1342177474	1342177444
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177415	1342177475	1342177445
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177416	1342177476	1342177446
3	16415	16422	16453	16388	16424	16454	0	0	0	0	5	5	5	3	3	3	0	0	0	0	1342177417	1342177477	1342177447
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177418	1342177478	1342177448
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177419	1342177479	1342177449
0	32969	32970	32971	32972	32973	32974	32975	32976	32978	32977	1	1	1	1	1	1	1	1	1	1	1342177420	1342177480	1342177450
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177421	1342177481	1342177451
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342177422	1342177482	1342177452
