PersonaID	OrFlag	AndFlag
0	0	0
115	0	268436288
115	0	1073741989
162	268436289	0
112	268436290	0
47	268436291	0
58	268436292	0
90	0	268436293
90	0	1073741989
77	268436294	0
135	268436295	0
185	268436296	0
44	268436297	0
196	268436298	0
37	268436299	0
38	268436300	0
128	0	268436301
128	0	1073741989
194	268436302	0
169	0	268436303
169	0	1073741989
110	268436304	0
205	268436305	0
99	268436306	0
36	0	268436307
36	0	1073741989
183	268436308	0
184	0	268436309
184	0	1073741989
65	0	1044
65	0	1073741989
70	1039	0
187	1033	0
79	1034	0
134	1040	0
145	1036	0
133	1035	0
202	1037	0
171	1042	0
176	0	1038
176	0	1073741989
204	0	1041
204	0	1073741989
117	1098	0
172	1099	0
159	1100	0
179	1101	0
168	1102	0
95	1103	0
177	1073741989	0
146	1073741989	0
46	1073741989	0
174	1073741989	0
300	1342177442	0
301	1342177442	0
302	1342177442	0
303	1342177442	0
304	1342177442	0
305	1342177442	0
306	1342177442	0
307	1342177442	0
308	1342177442	0
309	1342177443	0
310	1342177443	0
311	1342177443	0
312	1342177443	0
313	1342177443	0
314	1342177443	0
315	1342177443	0
316	1342177443	0
317	1342177443	0
318	1342177444	0
319	1342177444	0
320	1342177444	0
