Elem19	Elem18	Elem17	Elem16	Elem15	Elem14	Elem13	Elem12	Elem11	Elem10	Elem9	Elem8	Elem7	Elem6	Elem5	Elem4	Elem3	Elem2	Elem1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1
1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1
1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0
1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
