ResultID	SourceID1	SourceID2	SourceID3	SourceID4	SourceID5	SourceID6	Index
0	0	0	0	0	0	0	0
103	200	154	0	0	0	0	1
183	64	128	0	0	0	0	2
160	56	111	192	0	0	0	3
165	167	85	178	0	0	0	4
300	129	109	143	0	0	0	5
163	161	167	55	0	0	0	6
106	108	109	79	0	0	0	7
148	94	97	124	0	0	0	8
177	151	51	139	69	0	0	9
146	86	197	39	0	0	0	10
46	156	203	140	132	0	0	11
90	88	119	114	159	0	0	12
174	49	150	188	82	38	0	13
115	127	126	57	104	75	0	14
128	157	165	207	96	188	46	15
176	122	105	89	158	0	0	16
169	49	92	150	202	147	42	17
36	195	78	158	118	37	53	18
184	54	198	71	179	0	0	19
204	96	42	169	93	205	0	20
65	128	36	110	184	205	183	21
309	64	179	128	93	205	204	22
