ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Defence	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_ARM_BLANK	0	1024	1	0	0	0	0	0	0	0	0	0	0	0	0
IT_ARM_SYOKI_HER	24	1024	1306	1	1	24	0	0	0	0	0	0	2400	600	0
IT_ARM_SYOKI_YUK	25	1024	100	1	1	25	0	0	0	0	0	0	2400	600	0
IT_ARM_SYOKI_JUN	22	1024	1306	1	1	22	0	0	0	0	0	0	2400	600	0
IT_ARM_SYOKI_SAN	56	1024	1306	1	1	56	0	0	0	0	0	0	8000	2000	0
IT_ARM_SYOKI_MIT	71	1024	100	1	1	71	0	0	0	0	0	0	9800	2450	0
IT_ARM_SYOKI_FUK	60	1024	100	1	1	60	0	0	0	0	0	0	8600	2150	0
IT_ARM_SYOKI_AEG	89	1024	128	1	1	89	0	0	0	0	0	0	12000	3000	0
IT_ARM_SYOKI_AMA	123	1024	1306	1	1	122	0	0	0	0	0	0	16500	4130	0
IT_ARM_SYOKI_KOR	113	1024	512	1	1	113	0	0	0	0	0	0	15400	3850	0
IT_ARM_SYOKI_ARA	135	1024	1306	1	1	135	0	0	0	0	0	0	20200	5050	0
IT_ARM_RSHGRD___	46	1024	1406	1	1	46	0	0	0	0	0	0	4500	1130	0
IT_ARM_CHESTPROT	31	1024	1406	1	1	31	0	0	0	1	0	0	3800	950	0
IT_ARM_AMTSTU___	101	1024	1406	1	1	101	0	0	0	0	0	3	8700	2180	0
IT_ARM_KBLSHT___	65	1024	1406	1	1	65	0	0	0	0	0	0	9000	2250	0
IT_ARM_SBLGRD___	52	1024	1406	1	1	52	1	0	0	0	0	0	7700	1930	0
IT_ARM_DOKUDO___	93	1024	1406	1	1	93	0	0	0	0	0	0	12500	3130	0
IT_ARM_AMGPON___	77	1024	1406	1	1	77	0	0	0	0	0	59	10400	2600	0
IT_ARM_MTKGRD___	70	1024	1406	1	1	70	0	0	0	0	0	0	9600	2400	0
IT_ARM_TAKINO___	75	1024	1406	1	1	75	1	1	1	1	1	0	9900	2480	0
IT_ARM_TORASK___	215	1024	1306	1	1	215	0	0	0	0	0	81	36200	9050	0
IT_ARM_KBLBST___	97	1024	1406	1	1	97	0	0	0	0	0	82	12800	3200	0
IT_ARM_TETJAM___	215	1024	1406	1	1	215	0	0	0	0	0	218	36500	9130	0
IT_ARM_INSEI____	105	1024	1406	1	1	105	0	0	0	0	0	133	13800	3450	0
IT_ARM_KANZEN___	170	1024	1406	1	1	170	0	0	0	0	0	223	29000	7250	0
IT_ARM_STETKO___	128	1024	1306	1	1	128	0	0	0	0	0	66	18700	4680	0
IT_ARM_KAZMNT___	132	1024	1406	1	1	132	0	0	0	1	0	130	19900	4980	0
IT_ARM_KKAHOI___	150	1024	1406	1	1	150	0	0	0	0	0	0	23000	5750	0
IT_ARM_SKJRND___	215	1024	100	1	1	215	3	0	0	0	0	53	37100	9280	0
IT_ARM_HIDMNT___	166	1024	1406	1	1	166	0	0	0	0	0	115	25300	6330	0
IT_ARM_GNTSUT___	180	1024	1406	1	1	180	0	0	0	0	0	0	28500	7130	0
IT_ARM_S_JINB___	177	1024	1306	1	1	177	0	0	0	0	10	0	27000	6750	0
IT_ARM_KUUKES___	196	1024	1406	1	1	196	0	3	0	0	0	0	31400	7850	0
IT_ARM_ENPDRS___	213	1024	100	1	1	213	0	0	0	0	0	222	36000	9000	0
IT_ARM_PNKJAC___	260	1024	1306	1	1	260	0	0	0	0	0	200	46200	11550	0
IT_ARM_KIZARM___	211	1024	1406	1	1	211	0	0	0	0	0	0	35800	8950	0
IT_ARM_KBNCUT___	270	1024	1306	1	1	270	3	0	0	0	0	54	48000	12000	0
IT_ARM_TENHAG___	236	1024	100	1	1	235	3	0	0	0	0	73	41300	10330	0
IT_ARM_MTLCAM___	230	1024	1406	1	1	230	0	0	0	3	0	0	37300	9330	0
IT_ARM_FINSTU___	246	1024	1406	1	1	246	0	0	0	0	0	0	42500	10630	0
IT_ARM_DMNSKN___	296	1024	1406	1	1	296	0	0	0	0	0	104	51500	12880	0
IT_ARM_PWDSTU___	336	1024	1306	1	1	336	3	3	3	3	3	0	62000	15500	0
IT_ARM_LEZJAC___	320	1024	1406	1	1	320	0	0	0	0	0	0	57500	14380	0
IT_ARM_HOUKOR___	280	1024	1406	1	1	280	0	0	0	0	0	169	50000	12500	0
