ItemDef	SortNum	ItemType	EquipID	Price	SellPrice	GetFLG	ReflectType	CostumeID
IT_COS_BLANK	0	262144	1	0	0	0	0	0
IT_COS_SYOKI_HER	140	262144	2	100	30	3	2	51
IT_COS_SYOKI_YUK	140	262144	4	100	30	3	2	51
IT_COS_SYOKI_JUN	140	262144	8	100	30	3	2	51
IT_COS_SYOKI_SAN	140	262144	16	100	30	3	2	51
IT_COS_SYOKI_MIT	140	262144	32	100	30	3	2	51
IT_COS_SYOKI_FUK	140	262144	64	100	30	3	2	51
IT_COS_SYOKI_AEG	140	262144	128	100	30	3	2	51
IT_COS_SYOKI_AMA	140	262144	256	100	30	3	2	51
IT_COS_SYOKI_KOR	140	262144	512	100	30	3	2	51
IT_COS_SYOKI_ARA	140	262144	1024	100	30	3	2	51
IT_COS_BATTL_HER	130	262144	2	100	30	3	1	52
IT_COS_BATTL_YUK	130	262144	4	100	30	3	1	52
IT_COS_BATTL_JUN	130	262144	8	100	30	3	1	52
IT_COS_BATTL_SAN	130	262144	16	100	30	3	1	52
IT_COS_BATTL_MIT	130	262144	32	100	30	3	1	52
IT_COS_BATTL_FUK	130	262144	64	100	30	3	1	52
IT_COS_BATTL_AEG	130	262144	128	100	30	3	1	52
IT_COS_BATTL_AMA	130	262144	256	100	30	3	1	52
IT_COS_BATTL_KOR	130	262144	512	100	30	3	1	52
IT_COS_BATTL_ARA	130	262144	1024	100	30	3	1	52
IT_COS_H_SITJ___	60	262144	2	2400	600	3	0	106
IT_COS_MIZU_01__	50	262144	2	2400	600	3	0	102
IT_COS_HER_P_01_	100	262144	2	2400	600	3	0	5
IT_COS_HER_P_02_	90	262144	2	2400	600	3	0	6
IT_COS_HER_UN___	120	262144	2	2400	600	3	0	1
IT_COS_HIARM_01_	40	262144	4	2400	600	3	0	104
IT_COS_MIZU_02__	50	262144	4	2400	600	3	0	102
IT_COS_Y_SANT___	0	262144	1	10400	2600	3	0	0
IT_COS_YUK_ME___	60	262144	4	41600	10400	3	0	106
IT_COS_YUK_P_01_	100	262144	4	3500	880	3	0	5
IT_COS_YUK_P_02_	90	262144	4	3700	930	3	0	6
IT_COS_YUK_UN___	120	262144	4	10000	2500	3	0	1
IT_COS_MIZU_03___	50	262144	8	14600	3650	3	0	102
IT_COS_M_JINB_02	0	262144	1	2400	600	3	0	0
IT_COS_J_SITJ___	60	262144	8	9600	2400	3	0	106
IT_COS_JUN_P_01_	100	262144	8	100	30	3	0	5
IT_COS_JUN_P_02_	90	262144	8	100	30	3	0	6
IT_COS_JUN_UN___	120	262144	8	100	30	3	0	1
IT_COS_M_JINB_03	0	262144	1	100	30	3	0	0
IT_COS_S_SITJ___	60	262144	16	100	30	3	0	106
IT_COS_MIZU_04__	50	262144	16	15600	3900	3	0	102
IT_COS_SAN_P_01_	100	262144	16	22000	5500	3	0	5
IT_COS_SAN_P_02_	90	262144	16	24000	6000	3	0	6
IT_COS_SAN_UN___	120	262144	16	37900	9480	3	0	1
IT_COS_HIARM_02_	40	262144	32	40000	10000	3	0	104
IT_COS_MIZU_05__	50	262144	32	40000	10000	3	0	102
IT_COS_M_SANT___	0	262144	1	63400	15850	3	0	0
IT_COS_MIT_ME___	60	262144	32	65600	16400	3	0	106
IT_COS_MIT_P_01_	100	262144	32	108000	27000	3	0	5
IT_COS_MIT_P_02_	90	262144	32	116800	29200	3	0	6
IT_COS_MIT_UN___	120	262144	32	155000	38750	3	0	1
IT_COS_ONEPIE___	90	262144	128	169000	42250	3	0	6
IT_COS_AEG_ME___	60	262144	128	320000	80000	3	0	106
IT_COS_A_SANT___	0	262144	1	330000	82500	3	0	0
IT_COS_AEG_UN___	0	262144	1	68000	17000	3	0	0
IT_COS_MIZU_06__	50	262144	256	360000	90000	3	0	102
IT_COS_A_SITJ___	60	262144	256	360000	90000	3	0	106
IT_COS_SIFUKU___	100	262144	256	300000	75000	3	0	5
IT_COS_AMA_P_02_	90	262144	256	300000	75000	3	0	6
IT_COS_AMA_UN___	120	262144	256	347000	86750	3	0	1
IT_COS_K_SITJ___	60	262144	512	229000	57250	3	0	106
IT_COS_KOR_P_01_	100	262144	512	4000	1000	3	0	5
IT_COS_KOR_P_02_	90	262144	512	53000	13250	3	2	6
IT_COS_G_SITJ___	60	262144	1024	4000	1000	3	0	106
IT_COS_M_JINB_05	0	262144	1	53000	13250	3	0	0
IT_COS_MIZU_07__	50	262144	1024	68000	17000	3	0	102
IT_COS_ARA_P_01_	100	262144	1	320000	80000	3	0	5
IT_COS_ARA_P_02_	90	262144	1024	304000	76000	3	2	6
IT_COS_ID_0x045_	0	262144	1	400000	100000	3	0	0
IT_COS_HER_WINTE	110	262144	2	2000	500	3	2	2
IT_COS_YUK_WINTE	110	262144	4	2000	500	3	2	2
IT_COS_JUN_WINTE	110	262144	8	2000	500	3	2	2
IT_COS_SAN_WINTE	110	262144	16	2000	500	3	2	2
IT_COS_MIT_WINTE	110	262144	32	2000	500	3	2	2
IT_COS_FUK_WINTE	110	262144	64	2000	500	3	2	2
IT_COS_AEG_WINTE	110	262144	128	2000	500	3	2	2
IT_COS_AMA_WINTE	110	262144	256	2000	500	3	2	2
IT_COS_KOR_WI___	110	262144	1	2000	500	3	0	2
IT_COS_ARA_WINTE	110	262144	1	2000	500	3	0	6
IT_COS_G_JERSEY_	80	262144	2	400000	100000	3	0	101
IT_COS_HER_HEYAG	70	262144	1	300000	75000	3	0	103
IT_COS_FUK_UN___	120	262144	64	300000	75000	3	0	1
IT_COS_FUK_P_01_	100	262144	64	300000	75000	3	0	5
IT_COS_FUK_P_02_	90	262144	64	300000	75000	3	0	6
IT_COS_MIZU_08__	50	262144	64	300000	75000	3	0	102
