ItemDef	SortNum	ItemType
IT_EVI_BLANK	0	0
IT_EVI_VELVETKEY	599	16384
IT_EVI_KAKINOHA_	819	16384
IT_EVI_MANNENHIT	818	16384
IT_EVI_HATKIN___	598	16384
IT_EVI_ONLINEGAM	817	16384
IT_EVI_HUKUGAKU_	806	16384
IT_EVI_KYUUGAKU_	805	16384
IT_EVI_GYMKEY___	816	16384
IT_EVI_LUNATIC__	597	16384
IT_EVI_TAKAYA_EV	815	16384
IT_EVI_CMM_MAGIC	899	16384
IT_EVI_CMM_POPES	898	16384
IT_EVI_CMM_EMPRE	897	16384
IT_EVI_CMM_EMPER	896	16384
IT_EVI_CMM_HIERO	895	16384
IT_EVI_CMM_LOVER	894	16384
IT_EVI_CMM_CHARI	893	16384
IT_EVI_CMM_JUSTI	892	16384
IT_EVI_CMM_HERMI	891	16384
IT_EVI_CMM_FORTU	890	16384
IT_EVI_CMM_STREN	889	16384
IT_EVI_CMM_HANGE	888	16384
IT_EVI_CMM_TEMPE	887	16384
IT_EVI_CMM_DEVIL	886	16384
IT_EVI_CMM_TOWER	885	16384
IT_EVI_CMM_STAR_	884	16384
IT_EVI_CMM_MOON_	883	16384
IT_EVI_CMM_SUN__	882	16384
IT_EVI_CMM_THEAE	881	16384
IT_EVI_CMM_FOOL_	0	0
IT_EVI_CMM_DEATH	0	0
IT_EVI_CMM_UNIVE	0	0
IT_EVI_REQ_PER01	839	16384
IT_EVI_REQ_PER02	838	16384
IT_EVI_REQ_PER03	837	16384
IT_EVI_REQ_PER04	836	16384
IT_EVI_REQ_PER05	835	16384
IT_EVI_REQ_PER06	834	16384
IT_EVI_REQ_PER07	833	16384
IT_EVI_REQ_PER08	832	16384
IT_EVI_REQ_PER09	831	16384
IT_EVI_REQ_PER10	830	16384
IT_EVI_REQ_PER11	829	0
IT_EVI_REQ_PER12	828	16384
IT_EVI_REQ_PER13	0	0
IT_EVI_REQ_PER14	0	0
IT_EVI_REQ_PER15	0	0
IT_EVI_REQ_PER16	0	0
IT_EVI_REQ_PER17	0	0
IT_EVI_REQ_PER18	0	0
IT_EVI_REQ_PER19	0	0
IT_EVI_REQ_PER20	0	0
IT_EVI_REQ_DOC01	699	16384
IT_EVI_REQ_DOC02	698	16384
IT_EVI_REQ_DOC03	697	16384
IT_EVI_REQ_DOC04	696	16384
IT_EVI_REQ_DOC05	695	16384
IT_EVI_REQ_DOC06	694	16384
IT_EVI_REQ_DOC07	693	16384
IT_EVI_REQ_DOC08	692	16384
IT_EVI_REQ_DOC09	691	16384
IT_EVI_REQ_DOC10	690	16384
IT_EVI_REQ_DOC11	689	16384
IT_EVI_REQ_DOC12	688	16384
IT_EVI_REQ_DOC13	687	16384
IT_EVI_REQ_DOC14	686	16384
IT_EVI_REQ_DOC15	685	16384
IT_EVI_REQ_GET01	799	16384
IT_EVI_REQ_GET02	798	16384
IT_EVI_REQ_GET03	797	16384
IT_EVI_REQ_GET04	796	16384
IT_EVI_REQ_GET05	795	16384
IT_EVI_REQ_GET06	794	16384
IT_EVI_REQ_GET07	793	16384
IT_EVI_REQ_GET08	792	16384
IT_EVI_REQ_GET09	791	16384
IT_EVI_REQ_GET10	790	16384
IT_EVI_REQ_GET11	789	16384
IT_EVI_REQ_GET12	788	16384
IT_EVI_REQ_GET13	787	16384
IT_EVI_REQ_GET14	786	16384
IT_EVI_REQ_GET15	785	16384
IT_EVI_REQ_GET16	784	16384
IT_EVI_REQ_GET17	783	16384
IT_EVI_REQ_GET18	782	16384
IT_EVI_REQ_GET19	781	16384
IT_EVI_REQ_GET20	780	16384
IT_EVI_REQ_GET21	779	16384
IT_EVI_REQ_GET22	778	16384
IT_EVI_REQ_GET23	777	16384
IT_EVI_REQ_GET24	776	16384
IT_EVI_REQ_GET25	775	16384
IT_EVI_REQ_GET26	774	16384
IT_EVI_REQ_GET27	773	16384
IT_EVI_REQ_GET28	772	16384
IT_EVI_REQ_GET29	771	16384
IT_EVI_REQ_GET30	0	0
IT_EVI_CMM_JUN__	859	16384
IT_EVI_CMM_SAN__	858	16384
IT_EVI_CMM_KOR__	857	16384
IT_EVI_CMM_AMA__	856	16384
IT_EVI_CMM_ARA__	855	16384
IT_EVI_CMM_MOT__	854	16384
IT_EVI_ID_0x05F_	0	0
IT_EVI_ID_0x060_	0	0
IT_EVI_ID_0x061_	0	0
IT_EVI_ID_0x062_	0	0
IT_EVI_ID_0x06C_	0	0
IT_EVI_ID_0x06D_	0	0
IT_EVI_CRD_FOOL_	679	16384
IT_EVI_CRD_MAGIC	678	16384
IT_EVI_CRD_PRIES	677	16384
IT_EVI_CRD_EMPRE	676	16384
IT_EVI_CRD_EMPER	675	16384
IT_EVI_CRD_HIERO	674	16384
IT_EVI_CRD_LOVER	673	16384
IT_EVI_CRD_CHARI	672	16384
IT_EVI_CRD_JUSTI	671	16384
IT_EVI_CRD_HERMI	670	16384
IT_EVI_CRD_FORTU	669	16384
IT_EVI_CRD_POWER	668	16384
IT_EVI_CRD_HANGE	667	16384
IT_EVI_ID_0x07B_	0	0
IT_EVI_ID_0x07C_	0	0
IT_EVI_ID_0x07D_	0	0
IT_EVI_ID_0x07E_	0	0
IT_EVI_ID_0x07F_	0	0
IT_EVI_ID_0x080_	0	0
IT_EVI_ID_0x081_	0	0
IT_EVI_CRD_TEMPE	666	16384
IT_EVI_CRD_DEVIL	665	16384
IT_EVI_CRD_TOWER	664	16384
IT_EVI_CRD_STAR_	663	16384
IT_EVI_CRD_MOON_	662	16384
IT_EVI_CRD_SUN__	661	16384
IT_EVI_CRD_JUDGE	660	16384
IT_EVI_ID_0x089_	0	0
IT_EVI_ID_0x08A_	0	0
IT_EVI_ID_0x08B_	0	0
IT_EVI_MAJOR_UP1	649	16384
IT_EVI_MAJOR_UP2	648	16384
IT_EVI_MAJOR_UP3	647	16384
IT_EVI_MAJOR_UP4	646	16384
IT_EVI_MAJOR_UP5	645	16384
IT_EVI_MAJOR_UP6	644	16384
IT_EVI_MAJOR_UP7	643	16384
IT_EVI_MAJOR_UP8	642	16384
IT_EVI_ID_0x094_	0	0
IT_EVI_ID_0x095_	0	0
IT_EVI_ID_0x096_	0	0
IT_EVI_ID_0x097_	0	0
IT_EVI_ID_0x098_	0	0
IT_EVI_ID_0x099_	0	0
IT_EVI_ID_0x09A_	0	0
IT_EVI_ID_0x09B_	0	0
IT_EVI_ID_0x09C_	0	0
IT_EVI_ID_0x09D_	0	0
IT_EVI_ID_0x09E_	0	0
IT_EVI_ID_0x09F_	0	0
IT_EVI_VGIRLCOS1	629	16384
IT_EVI_VGIRLCOS2	628	16384
IT_EVI_VGIRLCOS3	627	16384
IT_EVI_VGIRLCOS4	626	16384
IT_EVI_ID_0x0A4_	0	0
IT_EVI_ID_0x0A5_	0	0
IT_EVI_ID_0x0A6_	0	0
IT_EVI_ID_0x0A7_	0	0
IT_EVI_ID_0x0A8_	0	0
IT_EVI_ID_0x0A9_	0	0
IT_EVI_ID_0x0AA_	0	0
IT_EVI_ID_0x0AB_	0	0
IT_EVI_ID_0x0AC_	0	0
IT_EVI_ID_0x0AD_	0	0
IT_EVI_ID_0x0AE_	0	0
IT_EVI_ID_0x0AF_	0	0
IT_EVI_ID_0x0B0_	0	0
IT_EVI_ID_0x0B1_	0	0
IT_EVI_ID_0x0B2_	0	0
IT_EVI_ID_0x0B3_	0	0
IT_EVI_ID_0x0B4_	0	0
IT_EVI_ID_0x0B5_	0	0
IT_EVI_ID_0x0B6_	0	0
IT_EVI_ID_0x0B7_	0	0
IT_EVI_ID_0x0B8_	0	0
IT_EVI_ID_0x0B9_	0	0
IT_EVI_ID_0x0BA_	0	0
IT_EVI_ID_0x0BB_	0	0
IT_EVI_ID_0x0BC_	0	0
IT_EVI_ID_0x0BD_	0	0
IT_EVI_ID_0x0BE_	0	0
IT_EVI_ID_0x0BF_	0	0
IT_EVI_ID_0x0C0_	0	0
IT_EVI_ID_0x0C1_	0	0
IT_EVI_ID_0x0C2_	0	0
IT_EVI_ID_0x0C3_	0	0
IT_EVI_ID_0x0C4_	0	0
IT_EVI_ID_0x0C5_	0	0
IT_EVI_ID_0x0C6_	0	0
IT_EVI_ID_0x0C7_	0	0
IT_EVI_ID_0x0C8_	0	0
IT_EVI_ID_0x0C9_	0	0
IT_EVI_ID_0x0CA_	0	0
IT_EVI_ID_0x0CB_	0	0
IT_EVI_ID_0x0CC_	0	0
IT_EVI_ID_0x0CD_	0	0
IT_EVI_ID_0x0CE_	0	0
IT_EVI_ID_0x0CF_	0	0
IT_EVI_ID_0x0D0_	0	0
IT_EVI_ID_0x0D1_	0	0
IT_EVI_ID_0x0D2_	0	0
IT_EVI_ID_0x0D3_	0	0
IT_EVI_ID_0x0D4_	0	0
IT_EVI_ID_0x0D5_	0	0
IT_EVI_ID_0x0D6_	0	0
IT_EVI_ID_0x0D7_	0	0
IT_EVI_ID_0x0D8_	0	0
IT_EVI_ID_0x0D9_	0	0
IT_EVI_ID_0x0DA_	0	0
IT_EVI_ID_0x0DB_	0	0
IT_EVI_ID_0x0DC_	0	0
IT_EVI_ID_0x0DD_	0	0
IT_EVI_ID_0x0DE_	0	0
IT_EVI_ID_0x0DF_	0	0
IT_EVI_ID_0x0E0_	0	0
IT_EVI_ID_0x0E1_	0	0
IT_EVI_ID_0x0E2_	0	0
IT_EVI_ID_0x0E3_	0	0
IT_EVI_ID_0x0E4_	0	0
IT_EVI_ID_0x0E5_	0	0
IT_EVI_ID_0x0E6_	0	0
IT_EVI_ID_0x0E7_	0	0
IT_EVI_ID_0x0E8_	0	0
IT_EVI_ID_0x0E9_	0	0
IT_EVI_ID_0x0EA_	0	0
IT_EVI_ID_0x0EB_	0	0
IT_EVI_ID_0x0EC_	0	0
IT_EVI_ID_0x0ED_	0	0
IT_EVI_ID_0x0EE_	0	0
IT_EVI_ID_0x0EF_	0	0
IT_EVI_ID_0x0F0_	0	0
IT_EVI_ID_0x0F1_	0	0
IT_EVI_ID_0x0F2_	0	0
IT_EVI_ID_0x0F3_	0	0
IT_EVI_ID_0x0F4_	0	0
IT_EVI_ID_0x0F5_	0	0
IT_EVI_ID_0x0F6_	0	0
IT_EVI_ID_0x0F7_	0	0
IT_EVI_ID_0x0F8_	0	0
IT_EVI_ID_0x0F9_	0	0
IT_EVI_ID_0x0FA_	0	0
IT_EVI_ID_0x0FB_	0	0
IT_EVI_ID_0x0FC_	0	0
IT_EVI_ID_0x0FD_	0	0
IT_EVI_ID_0x0FE_	0	0
IT_EVI_ID_0x0FF_	0	0
