ItemDef	SortNum	ItemType	Rarity	Price	SellPrice	GetFLG
IT_MAT_BLANK	0	65536	0	0	0	0
IT_MAT_CAS_REQ01	0	32768	1	40	10	2
IT_MAT_CAS_REQ02	0	32768	1	40	10	2
IT_MAT_CAS_REQ03	0	32768	1	40	10	2
IT_MAT_CAS_REQ04	0	32768	1	40	10	2
IT_MAT_CAS_REQ05	0	32768	1	40	10	2
IT_MAT_CAS_REQ06	0	32768	1	40	10	2
IT_MAT_CAS_REQ07	0	32768	1	40	10	2
IT_MAT_CAS_REQ08	0	32768	1	40	10	2
IT_MAT_CAS_REQ09	0	32768	1	40	10	2
IT_MAT_CAS_REQ10	0	32768	1	40	10	2
IT_MAT_CAS_REQ11	0	32768	1	40	10	2
IT_MAT_CAS_REQ12	0	32768	1	40	10	2
IT_MAT_CAS_REQ13	0	32768	1	40	10	2
IT_MAT_CAS_REQ14	0	32768	1	40	10	2
IT_MAT_CAS_REQ15	0	32768	1	40	10	2
IT_MAT_CAS_REQ16	0	32768	1	40	10	2
IT_MAT_CAS_REQ17	549	65536	1	10000	2500	0
IT_MAT_CAS_REQ18	548	65536	1	20000	5000	0
IT_MAT_CAS_REQ19	547	65536	1	48000	12000	0
IT_MAT_CAS_REQ20	546	65536	1	88000	22000	0
IT_MAT_CAS_REQ21	545	65536	1	140000	35000	0
IT_MAT_CAS_REQ22	544	65536	1	280000	70000	0
IT_MAT_CAS_REQ23	599	65536	1	400000	100000	0
IT_MAT_CAS_REQ24	0	32768	1	100	30	2
IT_MAT_CAS_REQ25	0	32768	1	100	30	2
IT_MAT_CAS_REQ26	0	32768	1	100	30	2
IT_MAT_CAS_REQ27	0	32768	1	100	30	2
IT_MAT_CAS_REQ28	0	32768	1	100	30	2
IT_MAT_CAS_REQ29	0	32768	1	100	30	2
IT_MAT_CAS_REQ30	0	32768	1	100	30	2
IT_MAT_CAS_GET01	0	65536	1	240000	60000	0
IT_MAT_CAS_GET02	0	65536	1	1600000	400000	0
IT_MAT_CAS_GET03	699	65536	1	8000	2000	0
IT_MAT_CAS_GET04	0	65536	1	48000	12000	0
IT_MAT_CAS_GET05	0	65536	1	80000	20000	0
IT_MAT_CAS_GET06	0	65536	1	112000	28000	0
IT_MAT_CAS_GET07	0	65536	1	160000	40000	0
IT_MAT_CAS_GET08	0	65536	1	608000	152000	0
IT_MAT_CAS_GET09	0	65536	1	800000	200000	0
IT_MAT_CAS_GET10	0	65536	1	1280000	320000	0
IT_MAT_CAS_GET11	0	65536	1	16000000	4000000	0
IT_MAT_CAS_GET12	529	65536	1	4000	1000	0
IT_MAT_CAS_GET13	528	65536	1	10000	2500	0
IT_MAT_CAS_GET14	527	65536	1	28000	7000	0
IT_MAT_CAS_GET15	526	65536	1	44000	11000	0
IT_MAT_CAS_GET16	525	65536	1	72000	18000	0
IT_MAT_CAS_GET17	524	65536	1	120000	30000	0
IT_MAT_CAS_GET18	0	65536	1	32000	8000	0
IT_MAT_CAS_GET19	0	32768	1	100	30	2
IT_MAT_CAS_GET20	0	32768	1	100	30	2
IT_MAT_CAS_GET21	0	32768	1	242000	60500	2
IT_MAT_CAS_GET22	0	32768	1	100	30	2
IT_MAT_CAS_GET23	0	32768	1	100	30	2
IT_MAT_CAS_GET24	0	32768	1	11200	2800	2
IT_MAT_CAS_GET25	0	32768	1	100	30	2
IT_MAT_CAS_GET26	0	32768	1	100	30	2
IT_MAT_CAS_GET27	0	32768	1	190000	47500	2
IT_MAT_CAS_GET28	0	32768	1	250000	62500	2
IT_MAT_CAS_GET29	0	32768	1	100	30	2
IT_MAT_CAS_GET30	0	32768	1	100	30	2
IT_MAT_AMETHYST_	997	32768	1	5000	1250	2
IT_MAT_AQUAMARIN	996	32768	1	5000	1250	2
IT_MAT_EMERALD__	992	32768	1	10000	2500	2
IT_MAT_ONYX_____	995	32768	1	5000	1250	2
IT_MAT_OPAL_____	991	32768	1	50000	12500	2
IT_MAT_GARNET___	990	32768	1	15000	3750	2
IT_MAT_SAPPHIRE_	994	32768	1	5000	1250	2
IT_MAT_DIAMOND__	988	32768	1	50000	12500	2
IT_MAT_TURQUOISE	998	32768	1	3000	750	2
IT_MAT_TOPAZ____	993	32768	1	10000	2500	2
IT_MAT_PEARL____	989	32768	1	50000	12500	2
IT_MAT_RUBY_____	987	32768	1	100000	25000	2
