ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Evasion	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_SHO_BLANK	0	2048	1	0	0	0	0	0	0	0	0	0	0	0	0
IT_SHO_SYOKI_HER	58	2048	1306	1	1	8	0	0	0	0	0	0	1600	400	0
IT_SHO_SYOKI_YUK	57	2048	100	1	1	8	0	0	0	0	0	0	1600	400	0
IT_SHO_SYOKI_JUN	56	2048	1306	1	1	8	0	0	0	0	0	0	1600	400	0
IT_SHO_SYOKI_SAN	183	2048	1306	1	1	26	0	0	0	0	0	0	2700	680	0
IT_SHO_SYOKI_MIT	259	2048	100	1	1	37	0	0	0	0	0	0	6300	1580	0
IT_SHO_SYOKI_FUK	212	2048	100	1	1	30	0	0	0	0	0	0	5200	1300	0
IT_SHO_SYOKI_AEG	252	2048	128	1	1	36	0	0	0	0	0	0	7300	1830	0
IT_SHO_SYOKI_AMA	443	2048	1306	1	1	63	0	0	0	0	0	0	15000	3750	0
IT_SHO_SYOKI_KOR	875	2048	512	1	1	125	0	0	0	0	0	0	400	100	2
IT_SHO_SYOKI_ARA	455	2048	1306	1	1	65	0	0	0	0	0	0	15700	3930	0
IT_SHO_KENSND___	182	2048	1406	1	1	26	0	0	0	0	0	0	2700	680	0
IT_SHO_RABSOL___	133	2048	1406	1	1	19	1	0	0	0	0	0	2100	530	0
IT_SHO_BANKLA___	211	2048	1306	1	1	30	0	0	2	0	0	0	5200	1300	0
IT_SHO_KNEPAD___	245	2048	1406	1	1	35	0	0	0	0	0	0	6000	1500	0
IT_SHO_ROLBLD___	196	2048	1406	1	1	28	0	0	0	3	0	0	4800	1200	0
IT_SHO_CBTBUT___	308	2048	1406	1	1	44	0	0	0	0	0	0	8100	2030	0
IT_SHO_HLDSHZ___	266	2048	1406	1	1	38	0	0	0	0	0	127	7000	1750	0
IT_SHO_HAPSND___	385	2048	100	1	1	55	3	0	0	0	0	0	12800	3200	0
IT_SHO_SINKU____	372	2048	1406	1	1	53	0	0	0	0	0	0	11500	2880	0
IT_SHO_MGCSND___	316	2048	1406	1	1	45	0	2	0	0	0	0	9300	2330	0
IT_SHO_ANZENG___	343	2048	1406	1	1	49	0	0	0	0	0	5	400	100	2
IT_SHO_TETUGT___	469	2048	1306	1	1	67	0	0	0	0	0	110	16800	4200	0
IT_SHO_CYBBTU___	442	2048	1406	1	1	63	0	0	0	0	0	0	15000	3750	0
IT_SHO_SINOBI___	539	2048	1406	1	1	77	0	0	0	0	0	75	15600	3900	0
IT_SHO_JIKTAB___	763	2048	1306	1	1	108	0	0	0	0	0	249	42000	10500	0
IT_SHO_NDLPAD___	462	2048	1406	1	1	66	2	0	0	0	0	0	16400	4100	0
IT_SHO_JETBTU___	504	2048	1406	1	1	72	0	0	0	0	0	0	18800	4700	0
IT_SHO_WKAKSA___	525	2048	1406	1	1	75	0	0	0	0	0	131	20000	5000	0
IT_SHO_ASSSHZ___	553	2048	1406	1	1	79	0	0	0	0	0	121	21100	5280	0
IT_SHO_AKATKI___	567	2048	1406	1	1	81	0	0	0	0	0	0	23700	5930	0
IT_SHO_QIKPNP___	652	2048	100	1	1	93	0	0	0	0	0	0	30000	7500	0
IT_SHO_ANZSHZ___	560	2048	1406	1	1	80	0	0	0	0	0	230	1640	410	0
IT_SHO_KILSPK___	589	2048	1406	1	1	84	0	0	3	0	0	0	25300	6330	0
IT_SHO_KARJIS___	623	2048	1406	1	1	89	0	0	0	0	0	0	28400	7100	0
IT_SHO_MLGBTU___	645	2048	1406	1	1	92	0	0	0	0	0	125	29950	7490	0
IT_SHO_DTHWLK___	630	2048	1406	1	1	90	0	0	0	0	0	170	31600	7900	0
IT_SHO_SEXHIL___	665	2048	100	1	1	95	0	0	0	0	0	69	32000	8000	0
IT_SHO_IDATEN___	706	2048	1406	1	1	100	0	0	0	0	0	139	35300	8830	0
IT_SHO_BUSIN____	735	2048	1406	1	1	105	0	0	0	0	0	0	39400	9850	0
IT_SHO_GODESS___	704	2048	1406	1	1	100	0	0	0	0	0	135	35300	8830	0
IT_SHO_HOUOU____	701	2048	1406	1	1	100	0	0	0	0	0	11	35300	8830	0
IT_SHO_HOUZOU	703	2048	1406	1	1	100	0	0	0	0	0	221	35300	8830	0
IT_SHO_ID_JISBTU	841	2048	1306	1	1	120	0	0	0	0	0	231	43200	10800	0
IT_SHO_ID_KMRTAO	840	2048	100	1	1	120	0	0	0	0	0	229	46200	11550	0
IT_SHO_TOSYO_	945	2048	1406	1	1	135	0	0	0	0	0	171	63200	15800	0
IT_SHO_ID_KENKOU	281	2048	1406	1	1	40	0	0	0	0	0	71	4800	1200	0
IT_SHO_FROSTHEEL	217	2048	100	1	1	31	0	0	0	0	0	124	5600	1400	0
IT_SHO_BRAVE_SNE	294	2048	1406	1	1	42	0	0	0	0	0	58	7800	1950	0
IT_SHO_AIR_SHOES	322	2048	1406	1	1	46	0	0	0	0	0	112	10800	2700	0
IT_SHO_FLOATBTU_	378	2048	1406	1	1	54	0	0	0	0	0	118	12000	3000	0
IT_SHO_BOXING_SH	318	2048	16	1	1	45	0	0	0	2	0	124	9300	2330	0
IT_SHO_ZETUEN_T_	456	2048	100	1	1	65	0	0	0	0	0	128	15700	3930	0
IT_SHO_KNDN_TAIS	386	2048	1406	1	1	55	0	0	0	0	0	56	12800	3200	0
IT_SHO_OVERLORD_	679	2048	1406	1	1	97	0	0	0	0	0	0	33400	8350	0
IT_SHO_LUCKYBOOT	644	2048	1406	1	1	92	0	0	0	0	5	0	29950	7490	0
IT_SHO_MAYOKE___	491	2048	1406	1	1	70	0	0	0	0	0	217	17600	4400	0
IT_SHO_LEG_PROTE	420	2048	1406	1	1	60	0	0	3	0	0	0	13900	3480	0
IT_SHO_DANCING_H	350	2048	100	1	1	50	0	0	0	0	0	134	9500	2380	0
IT_SHO_GENBU_SO_	350	2048	1406	1	1	50	3	0	0	0	0	52	9800	2450	0
IT_SHO_ELE_SHOES	350	2048	1306	1	1	50	0	0	0	0	0	9	10200	2550	0
IT_SHO_KOAKUMA_P	581	2048	100	1	1	83	0	0	0	0	0	174	34100	8530	0
IT_SHO_SKY_BOOTS_	581	2048	1306	1	1	83	0	0	0	0	0	227	24800	6200	0
IT_SHO_UNKNOWN_G	693	2048	1406	1	1	99	3	3	3	3	3	0	34700	8680	0
IT_SHO_DATENSHI_H	756	2048	100	1	1	108	0	0	0	0	0	123	41600	10400	0
IT_SHO_AKUMASHIN	705	2048	1306	1	1	100	0	0	0	0	0	120	35300	8830	0
IT_SHO_VENUS_HEE	702	2048	100	1	1	100	0	0	0	0	0	168	35300	8830	0
IT_SHO_YAMA_SAND	562	2048	256	1	1	80	0	0	0	0	0	138	22200	5550	0
IT_SHO_ID_0x016_	0	2048	1	1	1	24	0	0	0	0	0	0	6800	1700	0
IT_SHO_ID_0x017_	0	2048	1	1	1	24	0	0	0	0	0	0	6800	1700	0
IT_SHO_ID_0x018_	0	2048	1	1	1	24	0	0	0	0	0	0	6800	1700	0
IT_SHO_ID_0x019_	0	2048	1	1	1	24	0	0	0	0	0	0	6800	1700	0
IT_SHO_AEGS_01__	364	2048	128	1	1	52	0	0	0	0	0	0	10400	2600	0
IT_SHO_AEGS_02__	371	2048	128	1	1	53	0	0	0	3	0	0	12450	3110	0
IT_SHO_AEGS_03__	420	2048	128	1	1	60	0	0	0	0	0	0	15000	3750	0
IT_SHO_AEGS_04__	315	2048	128	1	1	45	0	0	0	0	0	56	8500	2130	0
IT_SHO_AEGS_05__	483	2048	128	1	1	69	0	0	0	0	0	0	19500	4880	0
IT_SHO_AEGS_06__	441	2048	128	1	1	63	0	0	0	0	0	61	16600	4150	0
IT_SHO_AEGS_07__	539	2048	128	1	1	77	0	0	0	0	0	0	24400	6100	0
IT_SHO_AEGS_08__	505	2048	128	1	1	72	0	0	0	0	0	58	21700	5430	0
IT_SHO_AEGS_09__	588	2048	128	1	1	84	0	0	0	0	0	0	29500	7380	0
IT_SHO_AEGS_10__	561	2048	128	1	1	80	0	0	0	0	0	62	26300	6580	0
IT_SHO_AEGS_11__	700	2048	128	1	1	100	0	0	0	0	0	236	37800	9450	0
