ItemDef	SortNum	ItemType	Rarity	Tier	SkillID	Price	SellPrice	GetFLG
IT_SKC_BLANK	0	0	0	0	0	0	0	0
IT_SKC_AGI______	999	131072	1	1	10	1200	300	0
IT_SKC_AGIRAO___	998	131072	1	1	11	1200	300	0
IT_SKC_AGIDIN___	997	131072	1	1	12	1200	300	0
IT_SKC_MAHAGI___	996	131072	1	1	13	1200	300	0
IT_SKC_MHAGIN___	995	131072	1	1	14	1200	300	0
IT_SKC_MHAGDN___	994	131072	1	1	15	1200	300	0
IT_SKC_MARADN___	993	0	1	1	0	1200	300	0
IT_SKC_GAL______	969	131072	1	1	30	1200	300	0
IT_SKC_GALRA____	968	131072	1	1	31	1200	300	0
IT_SKC_GALDIN___	967	131072	1	1	32	1200	300	0
IT_SKC_MAHGAL___	966	131072	1	1	33	1200	300	0
IT_SKC_MAHGLR___	965	131072	1	1	34	1200	300	0
IT_SKC_MHGLDN___	964	131072	1	1	35	1200	300	0
IT_SKC_BUF______	989	131072	1	1	20	1200	300	0
IT_SKC_BUFURA___	988	131072	1	1	21	1200	300	0
IT_SKC_BUFDIN___	987	131072	1	1	22	1200	300	0
IT_SKC_MAHBUF___	986	131072	1	1	23	1200	300	0
IT_SKC_MAHBFR___	985	131072	1	1	24	1200	300	0
IT_SKC_MHBFDN___	984	131072	1	1	25	1200	300	0
IT_SKC_JIO______	979	131072	1	1	40	1200	300	0
IT_SKC_JIONGA___	978	131072	1	1	41	1200	300	0
IT_SKC_JIODIN___	977	131072	1	1	42	1200	300	0
IT_SKC_MAHJIO___	976	131072	1	1	43	1200	300	0
IT_SKC_MAHJNG___	975	131072	1	1	44	1200	300	0
IT_SKC_MHJDIN___	974	131072	1	1	45	1200	300	0
IT_SKC_MEGIDO___	919	131072	1	1	78	1200	300	0
IT_SKC_MEGDRA___	918	131072	1	1	79	1200	300	0
IT_SKC_MGDRON___	917	131072	1	1	80	1200	300	0
IT_SKC_LIATK1___	949	131072	1	1	56	1200	300	0
IT_SKC_LIATK2___	948	131072	1	1	57	1200	300	0
IT_SKC_LIATK3___	947	131072	1	1	58	1200	300	0
IT_SKC_LIATK4___	946	131072	1	1	59	1200	300	0
IT_SKC_LIATK5___	945	131072	1	1	60	1200	300	0
IT_SKC_LIATK6___	944	131072	1	1	61	1200	300	0
IT_SKC_GODJDG___	943	131072	1	1	62	1200	300	0
IT_SKC_HAMA_____	959	131072	1	1	50	1200	300	0
IT_SKC_MAHNMA___	958	131072	1	1	52	1200	300	0
IT_SKC_HAMAON___	957	131072	1	1	51	1200	300	0
IT_SKC_MHNMON___	956	131072	1	1	53	1200	300	0
IT_SKC_DKATK1___	929	131072	1	1	70	1200	300	0
IT_SKC_DKATK2___	928	131072	1	1	71	1200	300	0
IT_SKC_DKATK3___	927	131072	1	1	72	1200	300	0
IT_SKC_DKATK4___	926	131072	1	1	73	1200	300	0
IT_SKC_DKATK5___	925	131072	1	1	74	1200	300	0
IT_SKC_DKATK6___	924	131072	1	1	75	1200	300	0
IT_SKC_DVLJDG___	923	131072	1	1	76	1200	300	0
IT_SKC_MUDO_____	939	131072	1	1	64	1200	300	0
IT_SKC_MHAMUD___	938	131072	1	1	66	1200	300	0
IT_SKC_MUDOON___	937	131072	1	1	65	1200	300	0
IT_SKC_MHMDON___	936	131072	1	1	67	1200	300	0
IT_SKC_MLNKLN___	889	131072	1	1	87	1200	300	0
IT_SKC_SEXDNC___	888	131072	1	1	88	1200	300	0
IT_SKC_MESBRN___	879	131072	1	1	89	1200	300	0
IT_SKC_FLSNOZ___	878	131072	1	1	90	1200	300	0
IT_SKC_PLINPA___	869	131072	1	1	91	1200	300	0
IT_SKC_TENTLF___	868	131072	1	1	92	1200	300	0
IT_SKC_INVTCH___	859	131072	1	1	93	1200	300	0
IT_SKC_IKKATU___	858	131072	1	1	94	1200	300	0
IT_SKC_JUDEX____	839	131072	1	1	100	1200	300	0
IT_SKC_DSPRAT___	849	131072	1	1	95	1200	300	0
IT_SKC_YOGEN____	848	131072	1	1	96	1200	300	0
IT_SKC_POIZMA___	899	131072	1	1	85	1200	300	0
IT_SKC_PZNMST___	898	131072	1	1	86	1200	300	0
IT_SKC_INFECT___	916	131072	1	1	105	1200	300	0
IT_SKC_TOIKI____	838	131072	1	1	101	1200	300	0
IT_SKC_KUUKI____	837	131072	1	1	102	1200	300	0
IT_SKC_KYUKET___	836	131072	1	1	103	1200	300	0
IT_SKC_KYUMA____	835	131072	1	1	104	1200	300	0
IT_SKC_TOTUGK___	779	131072	1	1	125	1200	300	0
IT_SKC_ASDIVE___	777	131072	1	1	126	1200	300	0
IT_SKC_KILRAS___	0	0	1	1	0	1200	300	0
IT_SKC_SEKKA____	769	131072	1	1	128	1200	300	0
