ItemDef	SortNum	WeaponType	EquipID	AttrID	Rarity	Tier	Attack	Accuracy	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG	ModelID	Flags
IT_WEA_BLANK	0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IT_WEA_SWORD_01_	38	2	2	0	4	2	38	95	0	0	0	0	0	0	2000	500	0	11	0
IT_WEA_SWORD_02_	65	2	2	0	4	10	65	95	0	1	0	1	0	0	5000	1250	0	14	0
IT_WEA_SWORD_03_	60	2	2	0	4	10	60	95	0	0	0	0	0	0	3200	800	0	12	0
IT_WEA_SWORD_04_	45	2	2	0	4	2	45	95	0	0	0	0	0	1	2600	650	0	11	0
IT_WEA_SWORD_05_	145	2	2	0	5	2	145	92	0	0	0	0	0	24	14500	3630	0	14	0
IT_WEA_SWORD_06_	88	2	2	0	5	2	88	95	0	0	0	0	0	0	7500	1880	0	14	0
IT_WEA_SWORD_07_	71	2	2	0	11	2	71	95	0	0	1	0	0	0	6100	1530	0	12	0
IT_WEA_SWORD_08_	0	2	2	0	11	2	71	95	0	0	0	0	0	0	400	100	2	11	0
IT_WEA_SWORD_09_	99	2	2	0	5	2	99	95	0	2	0	0	0	0	8150	2040	0	12	0
IT_WEA_SWORD_10_	130	2	2	0	5	2	130	99	0	0	0	0	0	42	480	120	0	17	0
IT_WEA_SWORD_11_	110	2	2	0	5	2	110	85	0	0	0	0	0	21	400	100	0	16	0
IT_WEA_SWORD_12_	122	2	2	0	11	2	122	95	0	0	0	0	0	7	10900	2730	0	12	0
IT_WEA_SWORD_13_	138	2	2	0	11	2	138	95	0	0	0	0	0	0	13200	3300	0	12	0
IT_WEA_SWORD_14_	300	2	2	0	11	2	300	95	0	0	0	0	0	54	39200	9800	0	15	0
IT_WEA_SWORD_15_	188	2	2	0	11	2	188	95	0	0	0	0	0	0	23800	5950	0	11	0
IT_WEA_SWORD_16_	166	2	2	0	11	2	166	95	0	0	0	0	0	0	18400	4600	0	14	0
IT_WEA_SWORD_17_	173	2	2	0	11	2	173	95	0	0	0	0	0	133	20300	5080	0	15	0
IT_WEA_SWORD_18_	223	2	2	0	11	2	223	95	0	0	0	0	0	0	28600	7150	0	15	0
IT_WEA_SWORD_19_	240	2	2	0	11	2	240	95	3	0	0	0	0	0	29400	7350	0	15	0
IT_WEA_SWORD_20_	257	2	2	0	11	2	257	95	0	0	0	0	0	0	34000	8500	0	11	0
IT_WEA_SWORD_21_	200	2	2	0	11	2	200	95	0	0	0	0	0	3	25300	6330	0	13	0
IT_WEA_SWORD_22_	313	2	2	0	11	2	313	95	0	0	0	0	0	0	46500	11630	0	13	0
IT_WEA_SWORD_23_	330	2	2	0	11	2	330	95	0	0	0	0	0	12	52000	13000	0	11	0
IT_WEA_SWORD_24_	360	2	2	0	11	2	360	99	7	0	0	0	0	234	71200	17800	0	18	0
IT_WEA_SWORD_25_	425	2	2	0	11	2	425	95	7	7	7	7	7	254	90000	22500	0	19	0
IT_WEA_SWORD_26_	0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	12	0
IT_WEA_SWORD_27_	130	2	2	0	11	2	130	99	1	1	1	1	1	0	12400	3100	0	11	0
IT_WEA_SWORD_28_	0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	14	0
IT_WEA_SWORD_29_	30	2	2	8	11	2	30	85	0	0	0	0	0	0	12000	3000	0	11	0
IT_WEA_SWORD_30_	0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	12	0
IT_WEA_SWORD_31_	295	2	2	0	11	2	295	95	0	0	0	0	0	9	41700	10430	0	13	0
IT_WEA_SWORD_32_	151	2	2	0	11	2	151	95	0	0	0	0	0	97	15200	3800	0	12	0
IT_WEA_SWORD_33_	282	2	2	0	11	2	282	95	0	0	0	0	0	0	39800	9950	0	15	0
IT_WEA_SWORD_34_	269	2	2	0	11	2	269	95	0	0	0	0	0	35	35900	8980	0	14	0
IT_WEA_SWORD_35_	125	2	2	0	11	2	125	90	0	0	0	0	0	37	400	100	2	15	0
IT_WEA_BOW_01___	30	4	4	2	5	2	30	98	0	0	0	0	0	0	2000	500	0	24	0
IT_WEA_BOW_02___	48	4	4	2	5	2	48	98	0	0	0	0	0	0	3000	750	0	22	0
IT_WEA_BOW_03___	65	4	4	2	1	1	65	98	0	0	0	0	0	19	5700	1430	0	22	0
