StartMonth	StartDays	LimitMonth	LimitDays	ActiveFlag	SuccessFlag	FailedFlag	NpcFlag	InfoOnFlag	AwardFlag	AwardItemID	AwardItemNum	AwardMoney
6	18	7	6	536871010	536871011	536871090	536871012	536874624	536871013	28794	1	0
6	26	7	6	536871014	536871015	536871091	536871016	536874625	536871017	0	0	40000
6	26	7	6	536871018	536871019	536871092	536871020	536874626	536871021	24651	2	0
8	3	8	5	536871022	536871023	536871093	536871024	536874627	536871025	24639	4	0
8	3	8	5	536871026	536871027	536871094	536871028	536874628	536871029	28980	1	0
8	19	9	4	536871030	536871031	536871095	536871032	536874629	536871033	28939	1	0
8	29	9	4	536871034	536871035	536871096	536871036	536874630	536871037	24649	20	0
9	3	9	4	536871038	536871039	536871097	536871040	536874631	536871041	28782	1	0
9	12	10	3	536871042	536871043	536871098	536871044	536874632	536871045	16551	4	0
9	22	10	3	536871046	536871047	536871099	536871048	536874633	536871049	12431	1	0
9	22	10	3	536871050	536871051	536871100	536871052	536874634	536871053	0	0	100000
10	21	11	2	536871054	536871055	536871101	536871056	536874635	536871057	12403	1	0
10	21	11	2	536871058	536871059	536871102	536871060	536874636	536871061	12390	1	0
10	30	11	2	536871062	536871063	536871103	536871064	536874637	536871065	12433	1	0
11	28	12	1	536871066	536871067	536871104	536871068	536874638	536871069	12418	1	0
11	28	12	1	536871070	536871071	536871105	536871072	536874639	536871073	24644	3	0
12	22	12	30	536871074	536871075	536871106	536871076	536874640	536871077	24622	2	0
12	22	12	30	536871078	536871079	536871107	536871080	536874641	536871081	24648	3	0
1	15	1	30	536871082	536871083	536871108	536871084	536874642	536871085	16425	1	0
1	15	1	30	536871086	536871087	536871109	536871088	536874643	536871089	28784	1	0
