ShopID	ItemID	SellWeekFlag	LiftMonth	LiftDays	Stock	ResetWeekFlag	OpenFlag
1	16499	127	4	1	99	127	0
1	16500	127	4	1	99	127	0
1	16501	127	4	1	99	127	0
1	16502	127	4	1	99	127	0
1	16658	127	5	26	99	127	0
1	16659	127	6	18	99	127	0
1	16660	127	8	8	99	127	0
1	16661	127	10	6	99	127	232
1	16662	127	12	4	99	127	0
1	16523	127	4	1	1	0	6
2	16395	127	4	1	99	127	0
2	16394	127	4	1	99	127	0
2	16397	127	4	1	99	127	0
2	16396	127	4	1	99	127	0
2	16398	127	4	1	99	127	0
2	16399	32	4	1	1	95	0
2	16513	127	4	1	99	127	0
2	16696	127	4	1	99	127	231
3	16393	127	4	1	99	127	0
4	16426	127	4	1	3	1	0
4	16427	127	4	1	3	1	0
4	16428	127	4	1	2	1	0
5	16429	127	4	1	3	1	0
5	16430	127	4	1	3	1	0
5	16431	127	4	1	3	1	0
6	16432	127	4	1	3	1	0
6	16433	127	4	1	3	1	0
6	16437	127	4	1	3	1	0
7	16435	127	4	1	3	1	0
7	16436	127	4	1	3	1	0
7	16434	127	4	1	2	1	0
8	16426	127	4	1	3	1	0
8	16427	127	4	1	3	1	0
8	16428	127	4	1	2	1	0
8	16693	127	4	1	1	1	230
8	16694	127	4	1	3	1	230
8	16695	127	4	1	2	1	230
9	16400	127	4	1	3	1	0
9	16401	127	4	1	3	1	0
9	16402	127	4	1	3	1	0
9	16403	127	4	1	3	1	0
10	16438	127	4	1	3	1	0
10	16439	127	4	1	3	1	0
10	16440	127	4	1	3	1	0
11	16438	127	4	1	3	1	0
11	16439	127	4	1	3	1	0
11	16440	127	4	1	3	1	0
12	16684	127	4	1	99	127	0
12	16685	2	4	1	1	2	0
12	16686	8	4	1	1	8	0
12	16687	32	4	1	1	32	0
12	16688	127	4	1	1	0	536871167
12	16689	127	6	1	1	0	536871168
12	16690	127	9	1	1	0	536871169
12	16691	127	12	1	1	0	536871170
12	16692	127	1	1	1	0	536871170
13	16734	127	4	1	1	0	0
13	16735	127	4	1	1	0	0
13	16736	127	9	1	1	0	0
13	16738	127	4	1	1	0	0
13	16739	127	9	1	1	0	0
13	16740	127	4	1	1	0	0
13	16741	127	4	1	1	0	0
13	16742	127	9	1	1	0	0
13	16745	127	10	5	1	0	0
13	16746	127	9	1	1	0	0
13	16747	127	4	1	1	0	0
13	16748	127	10	5	1	0	0
13	16749	127	4	1	1	0	0
13	16750	127	10	5	1	0	0
13	16751	127	4	1	1	0	0
14	16758	127	7	9	1	0	0
14	16759	127	9	10	1	0	286
14	16760	127	9	10	1	0	286
14	16744	127	11	4	1	0	286
14	16752	127	4	1	1	0	0
14	16753	127	4	1	1	0	0
14	16754	127	10	6	1	0	0
14	16755	127	11	11	99	127	0
14	16756	127	6	23	1	0	536871416
14	16757	127	1	1	1	0	0
15	12413	127	4	1	1	0	0
15	12433	127	4	1	1	0	0
15	12560	127	4	1	1	0	0
15	12559	127	4	1	1	0	0
15	24649	127	7	18	99	127	0
15	24645	127	7	18	99	127	0
15	24637	127	8	8	99	127	0
15	24640	127	8	8	99	127	0
15	24646	127	10	6	99	127	0
15	24639	127	10	6	99	127	0
15	24642	127	12	10	99	127	0
15	24641	127	1	1	99	127	536872489
15	24644	127	1	1	99	127	536872489
