OpenNo1	OpenNo2	OpenNo3	StartMonth	StartDay	EndMonth	EndDay	OpenFlag	ReceivedFlag	EndFlag	Rank	RequestType	RequestPersonaType	RequestOption	RequestID	RequestValue	RequestPenalty	RewardItemID	RewardItemNum	RewardMoney	InfoDisplay	OrderTalkID	QuestIndex
0	0	0	3	31	0	0	0	0	0	0	2	0	0	0	0	206968912	0	0	0	0	0	0
0	0	0	4	1	0	0	0	536873984	536873985	2	1	0	0	20533	1	206968912	0	0	10000	536874246	0	2
1	0	0	4	1	0	0	0	536873986	536873987	2	1	0	0	20534	1	206968912	0	0	20000	536874247	0	14
2	0	0	6	13	0	0	0	536873988	536873989	2	1	0	0	20535	1	206968912	0	0	30000	536874248	0	21
3	0	0	7	9	0	0	0	536873990	536873991	2	1	0	0	20536	1	206968912	0	0	40000	536874249	0	30
4	0	0	8	8	0	0	0	536873992	536873993	2	1	0	0	20537	1	206968912	0	0	50000	536874250	0	45
5	0	0	9	10	0	0	0	536873994	536873995	2	1	0	0	20538	1	206968912	0	0	70000	536874251	0	59
6	0	0	10	6	0	0	0	536873996	536873997	2	1	0	0	20539	1	206968912	0	0	90000	536874252	0	70
7	0	0	11	6	0	0	0	536873998	536873999	2	1	0	0	20540	1	206968912	0	0	120000	536874253	0	82
8	0	0	12	4	0	0	0	536874000	536874001	2	1	0	0	20541	1	206968912	0	0	150000	536874254	0	83
0	0	0	6	13	0	0	536871951	536874002	536874003	3	2	0	0	536872457	0	206968912	24657	1	0	536874255	0	37
10	0	0	1	1	0	0	536872521	536874004	536874005	5	2	0	0	536872463	0	206968912	24673	1	0	536874256	72	99
0	0	0	4	1	0	0	0	536874006	536874007	1	1	0	3	16389	1	206968912	16442	5	0	536874257	74	1
17	0	0	9	10	0	0	0	536874008	536874009	1	1	0	3	20559	1	206968912	24658	1	0	536874258	76	66
12	0	0	4	1	0	0	0	536874010	536874011	1	2	0	0	536874374	0	206968912	28781	1	0	536874259	78	9
18	0	0	8	8	0	0	0	536874012	536874013	2	1	0	3	20576	1	206968912	16667	8	0	536874260	80	57
0	0	0	6	13	0	0	0	536874014	536874015	1	1	0	3	16470	1	206968912	11	1	0	536874261	82	20
16	0	0	7	9	0	0	0	536874016	536874017	1	1	0	3	20564	1	206968912	32921	1	0	536874262	84	39
12	0	0	4	1	0	0	0	536874018	536874019	2	1	0	3	16684	1	206968912	32918	1	0	536874263	86	10
14	0	0	4	1	0	0	0	536874020	536874021	2	2	0	0	536874377	0	206968912	16667	3	0	536874264	88	11
0	0	0	6	13	0	0	0	536874022	536874023	1	1	0	3	16499	1	206968912	32923	1	0	536874265	90	18
0	0	0	4	1	0	0	536871960	536874024	536874025	2	2	0	0	536874378	0	206968912	16495	3	0	536874266	92	8
0	0	0	7	9	0	0	0	536874026	536874027	2	1	0	0	8213	1	206968912	16667	3	0	536874267	94	40
22	0	0	7	9	0	0	0	536874028	536874029	3	1	0	3	20565	1	206968912	24670	1	0	536874268	96	41
18	0	0	7	9	0	0	0	536874030	536874031	3	1	0	3	16699	1	206968912	24660	1	0	536874269	98	38
24	0	0	8	8	0	0	0	536874032	536874033	2	2	0	0	536874382	0	206968912	10	1	0	536874270	100	52
25	69	0	8	8	0	0	0	536874034	536874035	2	2	0	0	536874383	0	206968912	24666	1	0	536874271	102	53
66	0	0	8	8	0	0	0	536874036	536874037	3	1	0	3	20566	1	206968912	32853	1	0	536874272	104	54
19	0	0	8	8	0	0	0	536874038	536874039	3	1	0	3	20560	1	206968912	24671	1	0	536874273	106	56
0	0	0	8	8	0	0	0	536874040	536874041	3	2	0	0	536874385	0	206968912	12399	1	0	536874274	108	55
0	0	0	6	13	7	5	0	536874042	536874043	2	1	0	3	20640	1	206968912	16483	5	0	536874275	110	29
27	0	0	9	10	0	0	0	536874044	536874045	3	1	0	3	20561	1	206968912	232	1	0	536874276	112	67
