EnName
ブランク
Portable Player
Heart Choker
Silver Necklace
Leather Gloves
Fancy Nails
Bead Necklace
Red Ribbon
Wristband
Koromaru Wings
Beanie
Power Band
Mega Power Band
Giga Power Band
Magic Band
Mega Magic Band
Giga Magic Band
Guard Band
Mega Guard Band
Giga Guard Band
Speed Band
Mega Speed Band
Giga Speed Band
Luck Band
Mega Luck Band
Giga Luck Band
Master Band
Giga Master Band
未使用
未使用
未使用
未使用
Tera Power Band
Tera Magic Band
Tera Guard Band
Tera Speed Band
Tera Luck Band
未使用
未使用
Power Enhancer
Guard Enhancer
Speed Enhancer
Fire Bracers
Agni Bracers
Ice Bracers
Varna Bracers
Thunder Bracers
Indra Bracers
Wind Bracers
Vayu Bracers
Frenzy Beads
Pumpkin Mask
Power Transmitter
Guard Transmitter
Speed Transmitter
Critical Enhancer
未使用
Physical Ward
Mystic Charm
Slash Ward
Slash Eluder
Strike Ward
Strike Eluder
Pierce Ward
Pierce Eluder
Flame Charm
Eye of Flame
Ice Charm
Eye of Ice
Wind Charm
Eye of Wind
Thunder Charm
Eye of Thunder
Masakado's Hair
Book of Enoch
Barbaric Bracers
Light Charm
Eye of Light
Dark Charm
Eye of Darkness
未使用
Sword God's Sheath
Kohryu's Scale
Impenetrable Doll
Blazing Flame
Frozen Stone
Lightning Gloves
Storm Ring
Radiant Halo
Ring of Darkness
Ice Armlet
Lightning Armlet
Alicorn
Unbreakable Cage
Staunch Anklets
Narcissus Flower
Serpent's Eye
Ring of Serenity
Tome of the Void
Omnipotent Orb
Warrior's Seal
War God's Seal
Berserker's Seal
Divine Pillar
Infrared Goggles
Victory Headband
Sanative Sandalwood
Incense Box
未使用
Land Badge
Earth Badge
Space Badge
Mage's Mark
Sorcerer's Mark
Wizard's Mark
Felt Doll
未使用
Sacrificial Idol
Prayer Beads
Rosary
Bracelet of Life
未使用
未使用
未使用
未使用
Platinum Brooch
Rudra Ring
Chakra Ring
未使用
Sigma Drive
Omega Drive
未使用
未使用
Micro Sash
Small Sash
Life Sash
Energy Sash
Vitality Sash
Soldier's Flag
Pixie Dust Talisman
Fairy Talisman
Spirit Talisman
Spell Talisman
Magic Talisman
Queen's Alice Band
Avaricious Ring
Avaricious Amulet
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Alarm Watch
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Defrosting Charm
Antistatic Charm
Immunity Charm
Reason Charm
Quietude Charm
Ascetic Charm
Valor Charm
Sangfroid Charm
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Amulet of Perplexity
Amulet of Dismay
未使用
Amulet of Terror
未使用
Amulet of Vertigo
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
未使用
Cleave Earrings
Cleave Brooch
Cleave Necklace
Pummel Earrings
Pummel Brooch
Pummel Necklace
Stab Earrings
Stab Brooch
Stab Necklace
Maim Earrings
Maim Brooch
Maim Necklace
Blaze Earrings
Blaze Brooch
Blaze Necklace
Frost Earrings
Frost Brooch
Frost Necklace
Thunder Earrings
Thunder Brooch
Thunder Necklace
Gale Earrings
Gale Brooch
Gale Necklace
Holy Earrings
Holy Brooch
Holy Necklace
