EnName	Included
未使用	0
Magic Hand	1
Dancing Hand	1
Killing Hand	1
Almighty Hand	1
Laughing Table	1
Crying Table	1
Angry Table	1
Sleeping Table	1
Magical Magus	1
Wondrous Magus	1
Prime Magus	1
Grand Magus	1
Cowardly Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Muttering Tiara	1
Grieving Tiara	1
Writhing Tiara	1
Shouting Tiara	1
Spurious Book	1
Maniacal Book	1
Silent Book	1
Wrathful Book	1
Tranquil Idol	1
Liberating Idol	1
Ruinous Idol	1
Vehement Idol	1
Merciless Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Venus Eagle	1
Dark Eagle	1
Jupiter Eagle	1
Eternal Eagle	1
Creation Relic	1
Constancy Relic	1
Growth Relic	1
Change Relic	1
Elegant Mother	1
Regal Mother	1
Pistil Mother	1
Divine Mother	1
Frivolous Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Grave Beetle	1
Adamant Beetle	1
Golden Beetle	1
Emperor Beetle	1
Avenger Knight	1
Champion Knight	1
Hell Knight	1
Intrepid Knight	1
Solid Castle	1
Power Castle	1
Death Castle	1
King Castle	1
Haughty Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Trance Twins	1
Killer Twins	1
Death Twins	1
Crazy Twins	1
Corrupt Tower	1
Dogmatic Tower	1
Apostate Tower	1
Fanatic Tower	1
Blue Sigil	1
Red Sigil	1
Green Sigil	1
White Sigil	1
Indolent Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Obsessed Cupid	1
Jealous Cupid	1
Devoted Cupid	1
Gracious Cupid	1
Lustful Snake	1
Immoral Snake	1
Carnal Snake	1
Amorous Snake	1
Soul Dancer	1
Ardent Dancer	1
Royal Dancer	1
Natural Dancer	1
Insidious Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Bestial Wheel	1
Mach Wheel	1
Brave Wheel	1
Battle Wheel	1
Wild Drive	1
Killer Drive	1
Slaughter Drive	1
Rampage Drive	1
Arcane Turret	1
Scarlet Turret	1
Wicked Turret	1
Hallowed Turret	1
Ill-Fated Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Justice Sword	1
Conviction Sword	1
Judgment Sword	1
Doom Sword	1
Heat Balance	1
Sky Balance	1
World Balance	1
Light Balance	1
Order Giant	1
Stasis Giant	1
Harmony Giant	1
Void Giant	1
Bigoted Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Black Raven	1
Vicious Raven	1
Ice Raven	1
Amenti Raven	1
Phantom Mage	1
Phantom Master	1
Phantom Lord	1
Phantom King	1
Death Seeker	1
Fate Seeker	1
Noble Seeker	1
Acheron Seeker	1
Desirous Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Bronze Dice	1
Iron Dice	1
Silver Dice	1
Platinum Dice	1
Mind Dice	1
Curse Dice	1
Death Dice	1
Reckoning Dice	1
Flowing Sand	1
Perpetual Sand	1
Infinite Sand	1
Eternal Sand	1
Imprudent Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Hakurou Musha	1
Kaiden Musha	1
Onnen Musha	1
Tenjin Musha	1
Daring Gigas	1
Steel Gigas	1
Furious Gigas	1
Mythical Gigas	1
Wild Beast	1
Enslaved Beast	1
Mighty Beast	1
Nemean Beast	1
Visceral Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Minotaur IV	1
Minotaur III	1
Minotaur II	1
Minotaur I	1
Jotun of Power	1
Jotun of Blood	1
Jotun of Evil	1
Jotun of Grief	1
Mighty Cyclops	1
Mad Cyclops	1
Fierce Cyclops	1
Chaos Cyclops	1
Devious Maya	1
未使用	0
未使用	0
未使用	0
未使用	0
Wealth Hand	1
Treasure Hand	1
Supreme Hand	1
Opulent Hand	1
Luxury Hand	1
Glorious Hand	1
Shining Hand	1
Precious Hand	1
Invaluable Hand	1
Ethereal Hand	1
Miracle Hand	1
未使用	0
未使用	0
未使用	0
未使用	0
The Reaper	3
Cowardly Maya	3
Ruthless Ice Raven	2
Barbaric Beast Wheel	2
Magic Hand	2
Swift Axle	2
Steel Gigas	2
Enslaved Beast	2
Will O' Wisp Raven	2
Lightning Eagle	2
Clairvoyant Relic	2
Servant Tower	2
Enslaved Cupid	2
Fleetfooted Cavalry	2
Lustful Snake	2
Bestial Wheel	2
Spurious Book	2
Dancing Hand	2
Heat Balance	2
Laughing Table	2
Cowardly Maya	2
Muttering Tiara	2
Merciless Maya	2
Heretic Magus	2
Grievous Table	2
Lascivious Lady	2
Profligate Gigas	2
Wild Drive	2
Jotun of Power	2
Disturbing Dice	2
Slaughter Twins	2
Ancient Castle	2
Deviant Convict	2
Tome of Atrophy	2
Arcanist Decapitator	2
Heat Overseer	2
Sky Overseer	2
Ochlocratic Sand	2
Controlling Partner	2
Dependent Partner	2
Venomous Magus	2
Five Fingers of Blight	2
Bloody Maria	2
Executioner's Crown	2
Imposing Skyscraper	2
Champion Knight	2
Elegant Mother	2
Cowardly Maya	2
Heartless Relic	2
Rampaging Sand	2
Raging Turret	2
Regal Mother	2
Terminal Table	2
Jotun of Authority	2
Purging Right Hand	2
Subservient Left Hand	2
Isolated Castle	2
Hakurou Musha	2
Order Giant	2
Pagoda of Disaster	2
Tome of Persecution	2
Dancing Beast Wheel	2
Demented Knight	2
Cruel Greatsword	2
Serpent of Absurdity	2
Invigorated Gigas	2
Scarlet Turret	2
Ruinous Idol	2
Cultist of the Storm	2
Merciless Judge	2
Executive Greatsword	2
Chaos Panzer	2
Resentful Surveillant	2
Necromachinery	2
Curse Dice	2
Jotun of Blood	2
Cowardly Maya	2
Muttering Tiara	2
未使用	0
未使用	0
検証用エネミー	0
Cowardly Maya	2
Magical Magus	2
Wicked Turret	2
Jealous Cupid	2
Magical Magus	2
Shouting Tiara	2
Haunted Castle	2
Spiritual Castle	2
Rampage Drive	2
Bronze Dice	2
Muttering Tiara	2
Iron Dice	2
Silent Book	2
Platinum Dice	2
Muttering Tiara	2
Silent Book	2
Immoral Snake	2
Dogmatic Tower	2
Natural Dancer	2
Vehement Idol	2
Minotaur II	2
Gold Hand	2
Silver Hand	2
Black Hand	2
Pink Hand	2
White Hand	2
Haughty Belle	2
Feral Beast	2
Morbid Book	2
Phantom Master	2
Intrepid Knight	2
Change Relic	2
Amorous Snake	2
Devious Maya	2
Ultimate Gigas	2
Omnipotent Balance	2
Heat Balance	2
Sky Balance	2
Light Balance	2
Hallowed Turret	2
Tenjin Musha	2
Onnen Musha	2
Kaiden Musha	2
Hakurou Musha	2
Shadow of the Void	2
未使用	0
未使用	0
未使用	0
検証用のマーヤ	0
Takaya	3
Jin	3
Chidori	3
Jin	3
Takaya	3
Shadow of the Abyss	2
Takaya	3
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
Skeptical Tiara	3
Priestess	3
Despairing Tiara	3
Loathsome Tiara	3
Empress	3
Empress	3
Empress	3
Emperor	3
Emperor	3
Emperor	3
Emperor	3
Hierophant	3
Lovers	3
Chariot	3
Justice	3
Tank-Form Shadow	3
Hermit	3
Fortune	3
Strength	3
Hanged Man	3
Statue	3
Statue	3
Statue	3
Statue	3
Statue	3
Statue	3
Statue	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Avatar	3
Nyx Core	3
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
Icebreaker Lion	2
Luckless Cupid	2
Deadly Eldest Sibling	2
Blazing Middle Sibling	2
Voltaic Youngest Sibling	2
Scornful Dice	2
Minotaur Nulla	2
Daring Gigas	2
Jotun of Evil	2
Obsessive Sand	2
Comeback Castle	2
Mage Soldier	2
Foot Soldier	2
Overseer of Creation	2
Appropriating Noble	2
Invasive Serpent	2
High Judge of Hell	2
Cultist of Death	2
Hedonistic Sinner	2
Genocidal Mercenary	2
Divine Mother	2
Tenjin Musha	2
Resolved Checkmate	2
Yearning Checkmate	2
Ardent Checkmate	2
Majestic Checkmate	2
Dignified Checkmate	2
Bold Checkmate	2
Reticent Checkmate	2
Principled Checkmate	2
Dutiful Checkmate	2
Final Checkmate	2
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
Elizabeth	3
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
Tranquil Idol	2
Flowing Sand	2
Terror Dice	2
Elegant Mother	2
Phantom Mage	2
