ID	EnName
0	未使用
1	Makoto Yuki
2	Yukari Takeba
3	Junpei Iori
4	Akihiko Sanada
5	Mitsuru Kirijo
6	Fuuka Yamagishi
7	Aigis
8	Ken Amada
9	Koromaru
10	Shinjiro Aragaki
101	Kenji Tomochika
102	Hidetoshi Odagiri
103	Bunkichi Kitamura
104	Mitsuko Kitamura
105	Kazushi Miyamoto
106	Yuko Nishiwaki
107	Maya
108	Keisuke Hiraga
109	Chihiro Fushimi
110	Maiko
111	Pharos
112	Bebe
113	President Tanaka
114	Mutatsu
115	Mamoru Hayase
116	Nozomi Suemitsu
117	Akinari Kamiki
202	Elizabeth
211	Takaya
212	Jin
213	Chidori
221	Ryoji Mochizuki
463	未使用
464	未使用
