Fool	Magician	High Priestess	Empress	Emperor	Hierophant	Lovers	Chariot	Justice	Hermit	Fortune	Strength	Hanged Man	Death	Temperance	Devil	Tower	Star	Moon	Sun	Judgement	Aeon
1	6	2	18	15	13	9	5	7	3	12	14	16	11	8	10	19	16	4	21	22	14
0	2	9	13	7	10	8	16	6	19	7	5	1	3	9	15	8	12	12	4	18	20
0	0	3	15	9	7	2	1	7	12	13	19	6	9	11	5	4	5	18	6	13	4
0	0	0	4	8	17	19	10	5	20	12	1	18	7	6	17	16	3	22	5	7	3
0	0	0	0	5	12	8	16	13	6	18	2	14	10	18	19	12	6	7	15	20	11
0	0	0	0	0	6	2	9	1	8	19	11	12	11	10	3	15	19	2	17	5	20
0	0	0	0	0	0	7	3	5	1	15	10	9	13	14	18	20	14	4	16	19	17
0	0	0	0	0	0	0	8	2	7	3	15	12	6	10	13	18	11	15	12	4	10
0	0	0	0	0	0	0	0	9	2	13	18	3	10	19	15	20	10	15	2	1	21
0	0	0	0	0	0	0	0	0	10	9	5	15	8	2	12	5	1	6	18	15	16
0	0	0	0	0	0	0	0	0	0	11	20	2	18	17	4	22	2	14	21	20	19
0	0	0	0	0	0	0	0	0	0	0	12	8	4	19	7	13	3	16	7	16	1
0	0	0	0	0	0	0	0	0	0	0	0	13	12	6	3	14	4	8	22	17	14
0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	17	22	20	13	9	16	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	16	11	3	8	4	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	21	9	1	14	14	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	21	11	6	22	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	20	9	17	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	17	11	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
