Special	Support	Heal	Rage	Fear	Confuse	Distress	Poison	Charm	Dark	Holy	Almighty	Wind	Electric	Ice	Fire	Pierce	Strike	Slash
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1
1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1
1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1
1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1
1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0
1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
