OldSkill	NewSkill	LvLimit
0	0	0
10	13	0
13	11	0
11	14	0
14	12	20
12	15	20
20	23	0
23	21	0
21	24	0
24	22	20
22	25	20
30	33	0
33	31	0
31	34	0
34	32	20
32	35	20
40	43	0
43	41	0
41	44	0
44	42	20
42	45	20
50	52	0
52	51	0
51	53	20
56	59	0
59	57	0
57	60	0
60	58	20
58	61	20
64	66	0
66	65	0
65	67	20
70	73	0
73	71	0
71	74	0
74	72	20
72	75	20
85	86	0
87	88	0
89	90	0
91	92	0
93	94	0
95	96	0
101	102	0
78	79	30
79	80	50
155	160	0
160	156	0
156	161	0
161	157	0
157	162	50
162	163	65
165	166	30
170	171	0
172	173	0
171	177	20
173	177	20
177	176	40
180	185	20
181	186	20
182	187	20
190	195	20
191	196	20
192	197	20
210	211	0
779	780	0
780	781	0
835	836	0
765	766	0
767	768	0
769	770	0
771	772	0
773	774	0
775	776	0
759	760	0
761	762	0
763	764	0
798	799	20
800	801	20
802	803	20
804	805	20
806	807	20
808	809	20
792	793	20
794	795	20
796	797	20
863	864	40
784	785	0
785	786	0
788	789	0
789	790	0
845	846	0
846	847	0
712	713	0
716	717	0
720	721	0
724	725	0
728	729	0
732	733	0
700	701	0
704	705	0
708	709	0
738	739	0
740	741	0
742	743	0
744	745	0
746	747	0
748	749	0
750	751	0
752	753	0
754	755	0
713	714	0
717	718	0
721	722	0
725	726	0
729	730	0
733	734	0
701	702	0
705	706	0
709	710	0
714	715	0
718	719	0
722	723	0
726	727	0
730	731	0
734	735	0
702	703	0
706	707	0
710	711	0
15	16	60
25	26	60
35	36	60
45	46	60
67	76	60
75	76	60
53	62	60
61	62	60
185	188	65
186	188	65
187	188	65
195	198	65
196	198	65
197	198	65
120	119	0
110	111	0
111	112	30
112	116	50
113	121	0
121	114	0
114	115	30
115	117	50
125	133	0
133	126	0
126	127	30
127	131	50
128	129	0
129	130	30
130	132	50
139	140	0
140	141	0
141	145	0
145	142	30
142	146	50
143	144	50
884	885	30
893	894	30
891	892	30
869	870	50
825	828	30
826	829	30
827	830	30
850	851	0
852	853	0
851	854	0
853	854	0
