SkillLv	SkillEvent	SkillId	GrowSt	GrowMa	GrowEn	GrowAg	GrowLu	Exp
0	1	110	1	0	1	1	0	15
4	1	10	0	1	1	0	1	121
6	1	125	1	0	0	1	1	170
9	1	181	1	1	1	0	0	225
13	1	113	0	0	1	1	1	312
16	1	779	2	1	0	0	0	490
18	1	126	1	0	1	0	1	727
22	1	13	0	1	1	1	0	1031
25	1	141	1	0	0	1	1	1410
29	1	11	0	1	2	0	0	1873
33	1	780	2	0	0	0	1	2429
36	1	220	0	0	1	1	1	3086
40	1	114	1	1	1	0	0	3852
44	1	893	2	0	0	1	0	4735
47	1	127	0	1	1	0	1	5744
51	1	186	1	0	0	1	1	6888
54	1	115	2	0	1	0	0	8175
57	1	781	0	1	1	0	1	9613
60	1	142	2	0	0	1	0	11210
64	1	12	0	2	1	0	0	12975
67	1	786	1	0	0	1	1	14917
71	1	116	1	0	1	0	1	17044
75	1	117	0	1	1	1	0	19364
0	0	0	1	0	0	1	1	21885
0	0	0	0	1	1	0	1	24616
0	0	0	2	0	1	0	0	27566
0	0	0	1	1	0	1	0	30743
0	0	0	0	0	1	1	1	34155
0	0	0	2	0	1	0	0	37810
0	0	0	0	1	0	2	0	41717
0	0	0	0	0	1	0	2	45885
0	0	0	1	1	1	0	0	50322
0	0	0	2	0	0	1	0	55036
0	0	0	0	1	1	0	1	60035
0	0	0	1	0	1	1	0	65328
0	0	0	1	1	0	0	1	70924
0	0	0	1	0	1	1	0	76831
0	0	0	0	0	1	0	2	83057
0	0	0	1	1	0	1	0	89610
0	0	0	2	0	0	0	1	96499
0	0	0	0	1	2	0	0	103733
0	0	0	2	0	0	1	0	111320
0	0	0	0	0	1	1	1	119268
0	0	0	1	1	1	0	0	127585
0	0	0	1	0	0	1	1	136280
0	0	0	1	0	1	1	0	145362
0	0	0	0	1	1	0	1	154839
0	0	0	1	0	1	1	0	164719
0	0	0	1	1	0	0	1	175010
0	0	0	0	0	2	1	0	185721
0	0	0	1	0	1	0	1	196861
0	0	0	0	1	0	1	1	208438
0	0	0	1	0	1	1	0	220460
0	0	0	2	1	0	0	0	232935
0	0	0	1	0	1	0	1	245872
0	0	0	0	1	0	1	1	259280
0	0	0	2	0	1	0	0	273167
0	0	0	0	1	1	1	0	287541
0	0	0	2	0	1	0	1	302410
0	0	0	1	1	0	2	0	317783
0	0	0	0	0	1	1	2	333669
0	0	0	2	1	2	0	0	350076
0	0	0	3	0	1	0	1	367012
0	0	0	0	2	0	3	0	384485
0	0	0	2	0	2	0	1	402504
0	0	0	0	1	0	2	2	421078
0	0	0	3	0	2	0	1	440215
0	0	0	2	2	0	2	0	459923
0	0	0	0	0	2	2	2	480210
0	0	0	2	2	0	1	0	501085
0	0	0	2	0	2	0	1	522557
0	0	0	0	0	2	1	1	544634
0	0	0	2	1	0	0	1	567324
0	0	0	0	0	3	1	0	590635
0	0	0	2	1	0	0	1	614576
0	0	0	0	1	1	1	0	639156
0	0	0	2	0	0	0	1	664383
0	0	0	0	0	1	1	1	690265
0	0	0	0	1	1	1	0	716810
0	0	0	2	0	0	0	0	744027
0	0	0	0	0	0	1	1	771925
0	0	0	0	1	1	0	0	800512
0	0	0	1	0	0	0	1	829796
0	0	0	1	0	1	0	0	859785
0	0	0	0	1	0	1	0	890488
0	0	0	1	0	1	0	0	921914
0	0	0	0	1	0	0	1	954071
0	0	0	1	0	0	1	0	986967
0	0	0	1	0	1	0	0	1020610
0	0	0	0	1	1	0	0	1055009
0	0	0	1	0	0	1	0	1090173
0	0	0	0	0	1	0	1	1126110
0	0	0	1	0	0	1	0	1162828
0	0	0	0	0	1	0	1	1200335
0	0	0	0	1	0	1	0	1238640
0	0	0	1	0	0	0	1	1277752
0	0	0	0	1	1	0	0	1317679
0	0	0	1	0	0	1	0	1358429
