SkillLv	SkillEvent	SkillId	GrowSt	GrowMa	GrowEn	GrowAg	GrowLu	Exp
0	1	20	1	1	0	1	0	21
0	1	23	0	1	1	0	1	48
0	1	191	1	1	0	1	0	100
0	1	87	0	0	1	1	1	185
21	1	21	1	1	0	1	0	312
24	1	90	1	1	0	1	0	490
27	1	111	1	0	1	0	1	727
30	1	104	0	2	1	0	0	1031
33	1	221	1	0	0	1	1	1410
35	1	92	1	1	1	0	0	1873
38	1	24	0	1	0	1	1	2429
41	1	800	0	1	1	1	0	3086
44	1	121	1	0	0	1	1	3852
47	1	818	0	1	1	0	1	4735
51	1	22	0	2	0	1	0	5744
55	1	206	1	0	0	1	1	6888
59	1	196	0	1	1	1	0	8175
63	1	820	1	0	0	1	1	9613
67	1	25	1	1	1	0	0	11210
73	1	26	0	1	0	1	1	12975
0	0	0	0	1	1	1	0	14917
0	0	0	1	0	1	0	1	17044
0	0	0	0	2	0	0	1	19364
0	0	0	1	0	1	1	0	21885
0	0	0	0	2	0	0	1	24616
0	0	0	1	0	0	2	0	27566
0	0	0	0	1	1	0	1	30743
0	0	0	1	1	0	1	0	34155
0	0	0	0	1	1	0	1	37810
0	0	0	1	2	0	1	0	41717
0	0	0	1	2	0	0	1	45885
0	0	0	1	0	2	1	0	50322
0	0	0	0	1	0	0	2	55036
0	0	0	2	0	1	1	0	60035
0	0	0	0	2	1	0	1	65328
0	0	0	2	0	0	0	2	70924
0	0	0	0	1	1	1	0	76831
0	0	0	2	1	1	0	0	83057
0	0	0	0	2	0	1	1	89610
0	0	0	1	0	2	1	0	96499
0	0	0	0	1	0	1	1	103733
0	0	0	1	2	1	0	0	111320
0	0	0	1	0	0	2	1	119268
0	0	0	1	2	1	0	0	127585
0	0	0	0	1	1	0	1	136280
0	0	0	2	1	0	1	0	145362
0	0	0	0	0	2	0	2	154839
0	0	0	0	2	1	1	0	164719
0	0	0	1	0	0	1	1	175010
0	0	0	1	2	1	0	0	185721
0	0	0	0	1	1	2	0	196861
0	0	0	0	2	0	0	2	208438
0	0	0	1	0	1	1	0	220460
0	0	0	1	1	0	0	2	232935
0	0	0	0	2	0	2	0	245872
0	0	0	1	0	2	1	0	259280
0	0	0	0	1	0	2	0	273167
0	0	0	1	2	0	0	1	287541
0	0	0	2	0	1	1	0	302410
0	0	0	0	2	1	0	1	317783
0	0	0	1	1	0	1	0	333669
0	0	0	2	1	0	0	1	350076
0	0	0	0	0	1	2	1	367012
0	0	0	1	2	0	1	0	384485
0	0	0	1	0	1	0	1	402504
0	0	0	0	2	0	2	0	421078
0	0	0	1	1	0	0	2	440215
0	0	0	0	1	1	2	0	459923
0	0	0	1	0	1	1	0	480210
0	0	0	1	1	0	0	1	501085
0	0	0	0	1	0	1	1	522557
0	0	0	1	0	2	0	0	544634
0	0	0	1	0	0	1	1	567324
0	0	0	0	1	1	1	0	590635
0	0	0	0	2	0	0	1	614576
0	0	0	2	0	0	1	0	639156
0	0	0	0	2	1	0	0	664383
0	0	0	1	0	0	1	1	690265
0	0	0	0	2	1	0	0	716810
0	0	0	0	1	0	1	0	744027
0	0	0	1	0	0	0	1	771925
0	0	0	0	1	1	0	0	800512
0	0	0	0	1	0	1	0	829796
0	0	0	1	0	0	0	1	859785
0	0	0	0	1	1	0	0	890488
0	0	0	0	0	0	1	1	921914
0	0	0	1	1	0	0	0	954071
0	0	0	0	1	1	0	0	986967
0	0	0	0	1	0	1	0	1020610
0	0	0	1	0	0	0	1	1055009
0	0	0	0	2	0	0	0	1090173
0	0	0	1	0	1	0	0	1126110
0	0	0	0	1	0	1	0	1162828
0	0	0	0	0	1	0	1	1200335
0	0	0	1	1	0	0	0	1238640
0	0	0	0	0	0	1	1	1277752
0	0	0	0	2	0	0	0	1317679
0	0	0	1	0	0	1	0	1358429
