SkillLv	SkillEvent	SkillId	GrowSt	GrowMa	GrowEn	GrowAg	GrowLu	Exp
0	1	71	0	1	0	2	0	21
0	1	74	0	1	1	0	1	48
0	1	66	1	1	0	1	0	100
0	1	14	0	0	1	1	1	185
0	1	211	1	1	0	1	0	312
36	1	65	0	1	1	0	1	490
39	1	119	1	1	0	1	0	727
43	1	105	1	0	1	0	1	1031
46	1	72	0	1	1	1	0	1410
50	1	890	0	1	0	1	1	1873
53	1	67	1	0	1	1	0	2429
56	1	15	1	1	0	0	1	3086
60	1	112	0	1	1	1	0	3852
63	1	187	1	0	0	1	1	4735
67	1	75	1	1	0	1	0	5744
70	1	799	0	1	1	0	1	6888
73	1	809	1	0	0	2	0	8175
77	1	198	1	0	1	0	1	9613
0	0	0	1	0	1	1	0	11210
0	0	0	0	1	0	1	1	12975
0	0	0	1	1	1	0	0	14917
0	0	0	0	1	0	1	1	17044
0	0	0	1	0	1	1	0	19364
0	0	0	1	0	1	1	0	21885
0	0	0	1	1	0	0	1	24616
0	0	0	0	1	0	1	1	27566
0	0	0	1	0	1	1	0	30743
0	0	0	1	1	0	0	1	34155
0	0	0	2	0	1	1	0	37810
0	0	0	0	1	1	2	0	41717
0	0	0	2	0	0	1	1	45885
0	0	0	0	1	2	0	1	50322
0	0	0	2	0	0	2	0	55036
0	0	0	0	2	1	0	1	60035
0	0	0	1	1	0	2	0	65328
0	0	0	0	0	2	1	1	70924
0	0	0	2	0	1	1	0	76831
0	0	0	1	1	0	0	2	83057
0	0	0	0	1	0	2	1	89610
0	0	0	1	0	2	1	0	96499
0	0	0	0	2	0	1	1	103733
0	0	0	2	1	1	0	0	111320
0	0	0	1	1	0	2	0	119268
0	0	0	0	1	0	2	1	127585
0	0	0	1	0	2	1	0	136280
0	0	0	2	1	0	0	1	145362
0	0	0	1	2	1	0	0	154839
0	0	0	0	1	0	2	1	164719
0	0	0	2	0	2	0	0	175010
0	0	0	0	2	0	1	1	185721
0	0	0	0	1	1	2	0	196861
0	0	0	1	1	0	0	2	208438
0	0	0	2	0	1	1	0	220460
0	0	0	0	1	0	2	1	232935
0	0	0	1	2	1	0	0	245872
0	0	0	0	1	0	2	1	259280
0	0	0	1	0	2	1	0	273167
0	0	0	2	1	1	0	0	287541
0	0	0	0	0	1	2	1	302410
0	0	0	2	1	0	1	0	317783
0	0	0	0	2	1	0	1	333669
0	0	0	1	0	1	2	0	350076
0	0	0	0	2	1	0	1	367012
0	0	0	2	0	0	1	0	384485
0	0	0	1	0	1	0	1	402504
0	0	0	0	1	0	2	0	421078
0	0	0	1	0	1	0	1	440215
0	0	0	1	1	0	1	0	459923
0	0	0	0	1	1	1	0	480210
0	0	0	1	0	1	0	1	501085
0	0	0	1	1	0	1	0	522557
0	0	0	0	1	1	0	1	544634
0	0	0	1	0	0	1	1	567324
0	0	0	0	1	1	1	0	590635
0	0	0	1	0	1	0	1	614576
0	0	0	1	1	0	1	0	639156
0	0	0	0	0	2	0	1	664383
0	0	0	1	0	0	2	0	690265
0	0	0	0	1	0	1	1	716810
0	0	0	1	0	1	0	0	744027
0	0	0	0	0	0	1	1	771925
0	0	0	0	1	0	0	1	800512
0	0	0	0	0	1	1	0	829796
0	0	0	1	0	0	1	0	859785
0	0	0	0	1	0	0	1	890488
0	0	0	0	0	1	1	0	921914
0	0	0	1	0	1	0	0	954071
0	0	0	0	0	0	1	1	986967
0	0	0	0	1	1	0	0	1020610
0	0	0	1	0	0	0	1	1055009
0	0	0	1	0	0	1	0	1090173
0	0	0	0	1	1	0	0	1126110
0	0	0	1	0	0	1	0	1162828
0	0	0	0	1	0	0	1	1200335
0	0	0	1	0	0	1	0	1238640
0	0	0	0	0	1	0	1	1277752
0	0	0	1	0	0	1	0	1317679
0	0	0	0	1	0	1	0	1358429
