UnknownHP	UnknownSP	MakotoHP	MakotoSP	YukariHP	YukariSP	JunpeiHP	JunpeiSP	AkihikoHP	AkihikoSP	MitsuruHP	MitsuruSP	FuukaHP	FuukaSP	AigisHP	AigisSP	KenHP	KenSP	KoromaruHP	KoromaruSP	ShinjiroHP	ShinjiroSP
110	100	60	41	51	45	70	36	65	40	63	40	40	40	75	30	57	20	72	30	63	44
110	100	72	50	63	53	83	44	80	52	76	50	54	50	87	37	69	27	84	40	75	52
1	1	83	57	74	61	95	52	93	60	86	58	66	60	97	44	80	34	95	49	86	59
1	1	93	64	84	69	106	59	105	68	96	66	76	69	107	51	90	40	106	57	97	65
1	1	103	70	94	76	116	66	116	75	106	74	86	78	117	57	100	46	117	64	108	71
1	1	113	77	104	83	126	72	127	82	116	81	96	86	127	63	110	52	127	71	119	77
1	1	122	83	113	90	135	78	137	88	125	88	105	94	136	69	120	58	137	78	129	83
1	1	131	90	122	97	144	84	147	94	134	95	114	102	145	75	129	64	146	85	139	88
1	1	140	95	131	104	153	90	157	100	142	102	121	110	153	80	137	69	155	91	148	93
1	1	149	101	139	111	161	95	167	106	150	108	128	117	161	85	145	74	164	97	157	98
1	1	157	106	147	117	169	99	177	112	158	114	135	124	169	90	153	79	173	103	166	102
1	1	165	112	154	123	177	104	187	117	165	120	142	130	177	95	160	84	182	108	175	106
1	1	173	117	161	129	184	108	196	122	172	126	149	136	185	100	167	89	191	113	184	110
1	1	181	122	168	135	191	113	205	127	179	132	156	142	192	105	174	94	200	118	193	114
1	1	189	127	174	141	198	117	214	132	185	138	162	147	199	109	180	99	209	123	201	117
1	1	197	131	180	147	205	122	223	137	191	144	168	151	206	113	186	104	217	128	209	121
1	1	205	136	186	152	212	126	232	141	197	150	173	156	213	117	192	108	225	133	217	124
1	1	212	142	192	157	219	131	240	145	203	156	178	160	220	121	198	112	233	138	225	128
1	1	218	145	198	162	226	135	248	149	209	161	183	165	227	125	204	116	241	143	233	131
1	1	225	150	204	167	233	140	256	153	215	167	188	169	234	128	210	120	249	147	241	134
1	1	231	154	210	172	239	144	263	157	221	172	193	174	241	131	216	124	257	151	249	137
1	1	238	159	215	177	245	147	270	161	227	178	198	178	247	134	222	128	265	155	257	140
1	1	244	164	220	182	251	151	277	164	233	183	203	183	253	137	228	132	272	159	265	143
1	1	251	167	225	187	257	154	284	167	238	189	207	187	259	140	233	136	279	163	272	146
1	1	257	172	230	192	263	158	291	170	244	194	211	192	265	143	238	140	286	167	280	149
1	1	263	175	235	197	269	161	297	173	249	200	215	196	271	146	243	144	293	171	287	152
1	1	269	180	240	202	275	165	303	176	255	205	219	201	277	149	248	148	300	175	295	154
