Sort	Type	EquipBy	Rarity	Tier	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag
0	4096	1	0	0	0	0	0	0	0	0	0	0	0
399	4096	2	1	1	0	0	0	0	0	0	3000	750	0
398	4096	4	1	1	0	0	0	0	0	0	3000	750	0
397	4096	8	1	1	0	0	0	0	0	0	3000	750	0
396	4096	16	1	1	0	0	0	0	0	0	3000	750	0
395	4096	32	1	1	0	0	0	0	0	0	3000	750	0
394	4096	64	1	1	0	0	0	0	0	0	3000	750	0
393	4096	128	1	1	0	0	0	0	0	0	3000	750	0
392	4096	256	1	1	0	0	0	0	0	0	3000	750	0
391	4096	512	1	1	0	0	0	0	0	0	3000	750	0
390	4096	1024	1	1	0	0	0	0	0	0	3000	750	0
999	4096	2046	1	1	1	0	0	0	0	0	1000	250	0
998	4096	2046	1	1	3	0	0	0	0	0	5000	1250	0
997	4096	2046	1	1	5	0	0	0	0	0	10000	2500	0
995	4096	2046	1	1	0	1	0	0	0	0	1000	250	0
994	4096	2046	1	1	0	3	0	0	0	0	5000	1250	0
993	4096	2046	1	1	0	5	0	0	0	0	10000	2500	0
991	4096	2046	1	1	0	0	1	0	0	0	1000	250	0
990	4096	2046	1	1	0	0	3	0	0	0	5000	1250	0
989	4096	2046	1	1	0	0	5	0	0	0	10000	2500	0
986	4096	2046	1	1	0	0	0	1	0	0	1000	250	0
985	4096	2046	1	1	0	0	0	3	0	0	5000	1250	0
984	4096	2046	1	1	0	0	0	5	0	0	10000	2500	0
982	4096	2046	1	1	0	0	0	0	1	0	1000	250	0
981	4096	2046	1	1	0	0	0	0	3	0	5000	1250	0
980	4096	2046	1	1	0	0	0	0	5	0	10000	2500	0
978	4096	2046	1	1	1	1	1	1	1	0	12000	3000	0
976	4096	2046	1	1	5	5	5	5	5	0	30000	7500	0
0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
0	4096	1	1	1	0	0	0	0	0	0	3000	750	0
0	4096	1	1	1	0	0	0	0	0	0	30000	7500	0
0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
996	4096	2046	1	1	10	0	0	0	0	0	25000	6250	0
992	4096	2046	1	1	0	10	0	0	0	0	25000	6250	0
987	4096	2046	1	1	0	0	10	0	0	0	25000	6250	0
983	4096	2046	1	1	0	0	0	10	0	0	25000	6250	0
