Sort	Type	EquipBy	Rarity	Tier	BaseDef	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag
0	1024	1	0	0	0	0	0	0	0	0	0	0	0	0
24	1024	1306	1	1	24	0	0	0	0	0	0	2400	600	0
25	1024	100	1	1	25	0	0	0	0	0	0	2400	600	0
22	1024	1306	1	1	22	0	0	0	0	0	0	2400	600	0
56	1024	1306	1	1	56	0	0	0	0	0	0	8000	2000	0
71	1024	100	1	1	71	0	0	0	0	0	0	9800	2450	0
60	1024	100	1	1	60	0	0	0	0	0	0	8600	2150	0
89	1024	128	1	1	89	0	0	0	0	0	0	12000	3000	0
123	1024	1306	1	1	122	0	0	0	0	0	0	16500	4130	0
113	1024	512	1	1	113	0	0	0	0	0	0	15400	3850	0
135	1024	1306	1	1	135	0	0	0	0	0	0	20200	5050	0
46	1024	1406	1	1	46	0	0	0	0	0	0	4500	1130	0
31	1024	1406	1	1	31	0	0	0	1	0	0	3800	950	0
101	1024	1406	1	1	101	0	0	0	0	0	3	8700	2180	0
65	1024	1406	1	1	65	0	0	0	0	0	0	9000	2250	0
52	1024	1406	1	1	52	1	0	0	0	0	0	7700	1930	0
93	1024	1406	1	1	93	0	0	0	0	0	0	12500	3130	0
77	1024	1406	1	1	77	0	0	0	0	0	59	10400	2600	0
70	1024	1406	1	1	70	0	0	0	0	0	0	9600	2400	0
75	1024	1406	1	1	75	1	1	1	1	1	0	9900	2480	0
215	1024	1306	1	1	215	0	0	0	0	0	81	36200	9050	0
97	1024	1406	1	1	97	0	0	0	0	0	82	12800	3200	0
215	1024	1406	1	1	215	0	0	0	0	0	218	36500	9130	0
105	1024	1406	1	1	105	0	0	0	0	0	133	13800	3450	0
170	1024	1406	1	1	170	0	0	0	0	0	223	29000	7250	0
128	1024	1306	1	1	128	0	0	0	0	0	66	18700	4680	0
132	1024	1406	1	1	132	0	0	0	1	0	130	19900	4980	0
150	1024	1406	1	1	150	0	0	0	0	0	0	23000	5750	0
215	1024	100	1	1	215	3	0	0	0	0	53	37100	9280	0
