Sort	BtlSort	Type	Usage	Rarity	Tier	BaseHP	BaseSP	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
997	997	8192	6	1	1	0	0	0	0	0	0	0	600	700	180	0
994	994	8192	6	1	1	0	0	0	0	0	0	0	605	1400	350	0
983	979	8192	6	1	1	0	0	0	0	0	0	0	601	10000	2500	0
937	937	8192	6	1	1	0	0	0	0	0	0	0	602	16000	4000	0
608	986	8192	4	1	1	0	0	0	0	0	0	0	606	1000	250	0
607	985	8192	4	1	1	0	0	0	0	0	0	0	607	1000	250	0
606	984	8192	4	1	1	0	0	0	0	0	0	0	608	1000	250	0
943	943	8192	6	1	1	0	0	0	0	0	0	0	609	3000	750	0
609	989	8192	4	1	1	0	0	0	0	0	0	0	658	400	100	0
784	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
783	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
782	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
781	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
780	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
995	995	8192	6	1	1	0	0	0	0	0	0	0	611	300	80	0
777	0	8192	2	1	1	0	0	0	0	0	0	0	600	2000	500	0
776	0	8192	2	1	1	0	0	0	0	0	0	0	600	1500	380	0
775	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
774	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
773	0	8192	2	1	1	0	0	0	0	0	0	0	600	800	200	0
772	0	8192	2	1	1	0	0	0	0	0	0	0	600	1600	400	0
771	0	8192	2	1	1	0	0	0	0	0	0	0	600	500	130	0
770	0	8192	2	1	1	0	0	0	0	0	0	0	600	500	130	0
769	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
768	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
767	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
992	992	8192	6	1	1	0	0	0	0	0	0	0	605	1400	350	0
999	999	8192	6	1	1	0	0	0	0	0	0	0	640	1600	400	0
998	998	8192	6	1	1	0	0	0	0	0	0	0	641	300	80	0
949	949	8192	6	1	1	0	0	0	0	0	0	0	642	1800	450	0
944	944	8192	6	1	1	0	0	0	0	0	0	0	643	3700	930	0
948	948	8192	6	1	1	0	0	0	0	0	0	0	642	1800	450	0
939	939	8192	6	1	1	0	0	0	0	0	0	0	664	7800	1950	0
986	982	8192	6	1	1	0	0	0	0	0	0	0	663	3400	850	0
987	983	8192	6	1	1	0	0	0	0	0	0	0	663	3400	850	0
940	940	8192	6	1	1	0	0	0	0	0	0	0	664	7800	1950	0
896	896	8192	6	1	1	0	0	0	0	0	0	0	666	2000	500	0
894	894	8192	6	1	1	0	0	0	0	0	0	0	612	3000	750	0
891	891	8192	6	1	1	0	0	0	0	0	0	0	613	8000	2000	0
888	888	8192	6	1	1	0	0	0	0	0	0	0	603	16000	4000	0
817	748	8192	6	1	1	0	0	0	0	0	0	0	614	400	100	0
798	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
797	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
749	0	8192	2	1	1	0	0	0	0	0	0	0	615	110	30	0
796	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
795	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
794	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
793	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
792	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
748	0	8192	2	1	1	0	0	0	0	0	0	0	615	110	30	0
791	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
790	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
789	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
788	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
787	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
786	0	8192	2	1	1	0	0	0	0	0	0	0	659	110	30	0
886	886	8192	6	1	1	0	0	0	0	0	0	0	603	16000	4000	0
899	899	8192	6	1	1	0	0	0	0	0	0	0	644	2000	500	0
892	892	8192	6	1	1	0	0	0	0	0	0	0	612	3000	750	0
898	898	8192	6	1	1	0	0	0	0	0	0	0	644	3000	750	0
885	885	8192	6	1	1	0	0	0	0	0	0	0	603	16000	4000	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
579	679	8192	4	1	1	0	0	0	0	0	0	0	616	500	130	0
574	674	8192	4	1	1	0	0	0	0	0	0	0	617	500	130	0
578	678	8192	4	1	1	0	0	0	0	0	0	0	618	500	130	0
558	658	8192	4	1	1	0	0	0	0	0	0	0	170	1200	300	0
554	654	8192	4	1	1	0	0	0	0	0	0	0	619	8200	2050	0
516	616	8192	4	1	1	0	0	0	0	0	0	0	176	14000	3500	0
598	698	8192	4	1	1	0	0	0	0	0	0	0	165	1800	450	0
596	696	8192	4	1	1	0	0	0	0	0	0	0	166	6400	1600	0
538	638	8192	4	1	1	0	0	0	0	0	0	0	172	1200	300	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
577	677	8192	4	1	1	0	0	0	0	0	0	0	651	500	130	0
576	676	8192	4	1	1	0	0	0	0	0	0	0	652	500	130	0
575	675	8192	4	1	1	0	0	0	0	0	0	0	653	500	130	0
559	659	8192	4	1	1	0	0	0	0	0	0	0	170	1200	300	0
539	639	8192	4	1	1	0	0	0	0	0	0	0	172	1200	300	0
534	634	8192	4	1	1	0	0	0	0	0	0	0	173	8200	2050	0
519	619	8192	4	1	1	0	0	0	0	0	0	0	654	5400	1350	0
599	699	8192	4	1	1	0	0	0	0	0	0	0	165	1800	450	0
573	673	8192	4	1	1	0	0	0	0	0	0	0	655	500	130	0
572	672	8192	4	1	1	0	0	0	0	0	0	0	656	500	130	0
571	671	8192	4	1	1	0	0	0	0	0	0	0	657	500	130	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	8192	2	1	1	0	0	0	0	0	0	0	0	700	180	0
97	0	8192	2	1	1	0	0	0	0	0	0	0	0	5000	1250	2
597	697	8192	4	1	1	0	0	0	0	0	0	0	166	6400	1600	0
934	934	8192	6	1	1	0	0	0	0	0	0	0	163	20000	5000	0
515	615	8192	4	1	1	0	0	0	0	0	0	0	176	14000	3500	0
555	655	8192	4	1	1	0	0	0	0	0	0	0	619	8200	2050	0
535	635	8192	4	1	1	0	0	0	0	0	0	0	173	8200	2050	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	1000	250	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	5000	1250	0
980	976	8192	6	1	1	0	0	0	0	0	0	0	601	400	100	2
884	884	8192	6	1	1	0	0	0	0	0	0	0	603	400	100	2
816	747	8192	6	1	1	0	0	0	0	0	0	0	614	400	100	2
594	694	8192	4	1	1	0	0	0	0	0	0	0	166	400	100	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
699	0	8192	2	1	1	0	0	1	0	0	0	0	0	400	100	2
698	0	8192	2	1	1	0	0	2	0	0	0	0	0	400	100	2
697	0	8192	2	1	1	0	0	3	0	0	0	0	0	400	100	2
687	0	8192	2	1	1	0	0	0	0	0	0	1	0	400	100	2
696	0	8192	2	1	1	0	0	0	0	1	0	0	0	400	100	2
695	0	8192	2	1	1	0	0	0	0	2	0	0	0	400	100	2
694	0	8192	2	1	1	0	0	0	0	3	0	0	0	400	100	2
686	0	8192	2	1	1	0	0	0	0	0	0	2	0	400	100	2
693	0	8192	2	1	1	0	0	0	1	0	0	0	0	400	100	2
692	0	8192	2	1	1	0	0	0	2	0	0	0	0	400	100	2
691	0	8192	2	1	1	0	0	0	3	0	0	0	0	400	100	2
685	0	8192	2	1	1	0	0	0	0	0	0	3	0	400	100	2
690	0	8192	2	1	1	0	0	0	0	0	1	0	0	400	100	2
689	0	8192	2	1	1	0	0	0	0	0	2	0	0	400	100	2
688	0	8192	2	1	1	0	0	0	0	0	3	0	0	400	100	2
684	0	8192	2	1	1	0	0	1	1	1	1	1	0	400	100	2
199	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
198	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
197	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
196	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
195	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
194	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
193	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
192	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
191	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
