Sort	Type	Rarity	Buy	Sell	GetFlag
0	65536	0	0	0	0
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
0	32768	1	40	10	2
549	65536	1	10000	2500	0
548	65536	1	20000	5000	0
547	65536	1	48000	12000	0
546	65536	1	88000	22000	0
545	65536	1	140000	35000	0
544	65536	1	280000	70000	0
599	65536	1	400000	100000	0
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	65536	1	240000	60000	0
0	65536	1	1600000	400000	0
699	65536	1	8000	2000	0
0	65536	1	48000	12000	0
0	65536	1	80000	20000	0
0	65536	1	112000	28000	0
0	65536	1	160000	40000	0
0	65536	1	608000	152000	0
0	65536	1	800000	200000	0
0	65536	1	1280000	320000	0
0	65536	1	16000000	4000000	0
529	65536	1	4000	1000	0
528	65536	1	10000	2500	0
527	65536	1	28000	7000	0
526	65536	1	44000	11000	0
525	65536	1	72000	18000	0
524	65536	1	120000	30000	0
0	65536	1	32000	8000	0
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	242000	60500	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	11200	2800	2
0	32768	1	100	30	2
0	32768	1	100	30	2
0	32768	1	190000	47500	2
0	32768	1	250000	62500	2
0	32768	1	100	30	2
0	32768	1	100	30	2
997	32768	1	5000	1250	2
996	32768	1	5000	1250	2
992	32768	1	10000	2500	2
995	32768	1	5000	1250	2
991	32768	1	50000	12500	2
990	32768	1	15000	3750	2
994	32768	1	5000	1250	2
988	32768	1	50000	12500	2
998	32768	1	3000	750	2
993	32768	1	10000	2500	2
989	32768	1	50000	12500	2
987	32768	1	100000	25000	2
999	32768	1	3000	750	2
954	32768	1	5000	1250	2
959	32768	1	25000	6250	2
958	32768	1	50000	12500	2
957	32768	1	200000	50000	2
956	32768	1	5000	1250	2
955	32768	1	5000	1250	2
0	32768	1	5000	1250	2
899	2097152	1	300000	75000	2
897	2097152	2	300000	75000	2
896	2097152	3	300000	75000	2
889	2097152	1	300000	75000	2
888	2097152	2	300000	75000	2
887	2097152	3	300000	75000	2
879	2097152	1	1000000	250000	2
878	2097152	2	300000	75000	2
877	2097152	3	1000000	250000	2
868	2097152	2	12000	3000	2
866	2097152	3	16000	4000	2
859	2097152	4	34000	8500	2
858	2097152	4	34000	8500	2
898	2097152	1	34000	8500	2
869	2097152	1	34000	8500	2
867	2097152	3	34000	8500	2
857	2097152	4	34000	8500	2
0	32768	1	34000	8500	2
0	32768	1	34000	8500	2
0	32768	1	34000	8500	2
796	4194304	1	34000	8500	2
0	4194304	1	34000	8500	2
0	4194304	1	34000	8500	2
0	4194304	1	34000	8500	2
0	4194304	1	34000	8500	2
0	4194304	1	34000	8500	2
0	4194304	1	34000	8500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
795	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
794	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
793	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	10000	2500	2
0	4194304	1	500000	125000	2
791	4194304	1	500000	125000	2
0	4194304	1	500000	125000	2
499	65536	1	400	100	0
498	65536	1	480	120	0
497	65536	1	800	200	0
496	65536	1	1040	260	0
495	65536	1	1240	310	0
494	65536	1	1960	490	0
493	65536	1	2400	600	0
492	65536	1	5400	1350	0
491	65536	1	4240	1060	0
490	65536	1	3720	930	0
489	65536	1	3000	750	0
488	65536	1	5600	1400	0
479	65536	1	600	150	0
478	65536	1	1160	290	0
477	65536	1	1520	380	0
476	65536	1	2720	680	0
474	65536	1	920	230	0
473	65536	1	1360	340	0
472	65536	1	4480	1120	0
471	65536	1	5800	1450	0
469	65536	1	3280	820	0
468	65536	1	3920	980	0
467	65536	1	5360	1340	0
466	65536	1	7200	1800	0
464	65536	1	520	130	0
463	65536	1	1000	250	0
461	65536	1	2560	640	0
462	65536	1	3000	750	0
459	65536	1	1040	260	0
458	65536	1	1320	330	0
457	65536	1	1600	400	0
456	65536	1	4920	1230	0
454	65536	1	3040	760	0
453	65536	1	3520	880	0
452	65536	1	4800	1200	0
451	65536	1	7480	1870	0
449	65536	1	1240	310	0
448	65536	1	1440	360	0
447	65536	1	1800	450	0
446	65536	1	6400	1600	0
444	65536	1	1480	370	0
443	65536	1	2800	700	0
442	65536	1	3360	840	0
441	65536	1	4200	1050	0
439	65536	1	3480	870	0
438	65536	1	3840	960	0
437	65536	1	4800	1200	0
436	65536	1	8000	2000	0
434	65536	1	880	220	0
433	65536	1	1640	410	0
432	65536	1	1680	420	0
431	65536	1	6400	1600	0
429	65536	1	2160	540	0
428	65536	1	3280	820	0
427	65536	1	5080	1270	0
426	65536	1	5400	1350	0
424	65536	1	4000	1000	0
423	65536	1	5000	1250	0
422	65536	1	6600	1650	0
421	65536	1	6800	1700	0
419	65536	1	800	200	0
418	65536	1	1520	380	0
417	65536	1	2600	650	0
416	65536	1	3880	970	0
414	65536	1	1160	290	0
413	65536	1	2000	500	0
412	65536	1	4280	1070	0
411	65536	1	4920	1230	0
409	65536	1	2520	630	0
