Type	Item1	Num1	Item2	Num2	Item3	Num3	Result	Month	Day	OpenFlag
0	0	0	0	0	0	0	0	3	31	0
0	24645	5	0	0	0	0	16387	4	1	0
0	24646	3	24645	5	0	0	16388	4	1	0
0	24641	1	24644	1	24648	1	16472	12	10	0
0	24637	5	24645	5	0	0	16422	4	1	0
0	24639	2	24645	2	0	0	16422	10	6	0
0	24646	5	24640	5	0	0	16423	4	1	0
0	24642	3	24640	3	0	0	16423	12	10	0
0	24641	1	24644	1	24648	1	16424	12	10	0
0	24645	3	0	0	0	0	16463	4	1	0
0	24645	3	24639	2	0	0	16452	10	6	0
0	24645	10	0	0	0	0	16561	4	1	0
0	24639	5	0	0	0	0	16562	10	6	0
0	24646	3	24639	3	0	0	16565	10	6	0
0	24646	3	24639	3	0	0	16567	10	6	0
0	24646	3	24639	3	0	0	16566	10	6	0
0	24642	2	24641	2	0	0	16628	12	10	0
0	24637	3	24640	3	0	0	16630	4	1	0
0	24637	3	24640	3	0	0	16631	4	1	0
0	24637	3	24640	3	0	0	16632	4	1	0
0	24642	2	24644	2	0	0	16629	12	10	0
0	24637	3	0	0	0	0	16549	4	1	0
0	24637	3	0	0	0	0	16550	4	1	0
0	24640	2	24646	2	0	0	16547	10	6	0
0	24640	2	24646	2	0	0	16548	10	6	0
0	24645	2	0	0	0	0	16546	4	1	0
0	24640	5	0	0	0	0	16551	4	1	0
0	24637	2	24645	1	0	0	16507	4	1	0
0	24640	2	24645	1	0	0	16508	4	1	0
0	24637	2	24645	1	0	0	16509	4	1	0
0	24640	2	24645	1	0	0	16510	4	1	0
0	24646	2	24645	1	0	0	16525	4	1	536874394
0	24646	5	0	0	0	0	25014	8	8	0
0	24642	5	0	0	0	0	25015	10	6	0
0	24641	5	0	0	0	0	25016	1	1	0
0	24637	5	0	0	0	0	24651	8	8	0
0	24651	3	0	0	0	0	24652	10	6	0
0	24646	5	0	0	0	0	24652	10	6	0
0	24652	5	0	0	0	0	24653	1	1	536872489
0	24644	4	0	0	0	0	24653	1	1	536872489
1	24640	5	24646	5	0	0	16484	4	1	0
1	24640	5	24646	5	0	0	16492	4	1	0
1	24640	5	24646	5	0	0	16488	4	1	0
1	24637	5	24646	5	0	0	16496	4	1	0
1	24637	5	24646	5	0	0	16490	4	1	0
1	24644	2	24639	2	0	0	16485	12	10	0
1	24644	2	24639	2	0	0	16493	12	10	0
1	24644	2	24639	2	0	0	16489	12	10	0
1	24641	2	24639	2	0	0	16497	12	10	0
1	24641	2	24639	2	0	0	16494	12	10	0
1	24637	5	24645	10	0	0	28919	4	1	0
1	24646	5	24645	10	0	0	28920	10	6	0
1	24640	5	24645	10	0	0	28922	4	1	0
1	24642	5	24645	10	0	0	28923	10	6	0
1	24645	10	0	0	0	0	28924	4	1	0
1	24640	10	0	0	0	0	28925	4	1	0
1	24639	10	0	0	0	0	28926	10	6	0
1	24645	10	0	0	0	0	28939	4	1	0
1	24645	10	0	0	0	0	28980	4	1	0
1	24645	10	0	0	0	0	28969	4	1	0
1	24637	10	0	0	0	0	28953	4	1	0
1	24637	10	0	0	0	0	28956	4	1	0
1	24637	10	0	0	0	0	28957	4	1	0
1	24640	10	0	0	0	0	28973	10	6	0
1	24640	10	0	0	0	0	28974	10	6	0
1	24640	10	0	0	0	0	28975	10	6	0
1	24640	10	0	0	0	0	28976	10	6	0
1	24646	10	0	0	0	0	28972	10	6	0
1	24646	10	0	0	0	0	28977	10	6	0
1	24646	10	0	0	0	0	28978	10	6	0
1	24642	10	0	0	0	0	28963	12	10	0
1	24642	10	0	0	0	0	28959	12	10	0
1	24641	10	0	0	0	0	28838	12	10	0
1	24641	10	0	0	0	0	28842	12	10	0
1	24641	10	0	0	0	0	28846	12	10	0
1	24641	10	0	0	0	0	28850	12	10	0
1	24641	7	24644	7	0	0	28936	4	1	0
1	24641	7	24644	7	0	0	28935	4	1	0
1	24641	1	24644	1	24648	1	28700	4	1	0
1	24648	7	0	0	0	0	28961	12	10	0
1	24648	10	0	0	0	0	28933	12	10	0
