Base	Item1	Num1	Item2	Num2	Item3	Num3	Result	Month	Day	OpenFlag
0	0	0	0	0	0	0	0	3	31	0
24657	24649	1	0	0	0	0	27	4	1	0
24657	24649	3	24651	2	0	0	5	4	1	0
24657	24649	5	25014	2	0	0	29	4	1	0
24670	24651	5	0	0	0	0	292	4	1	0
24670	24637	5	24649	5	0	0	61	4	1	0
24670	24637	5	24649	5	0	0	97	4	1	0
24670	24640	5	24651	2	0	0	129	4	1	0
24670	24640	5	24651	2	0	0	143	4	1	0
24660	24649	10	0	0	0	0	4156	4	1	0
24660	24640	5	24637	5	0	0	4154	4	1	0
24660	24640	5	24637	5	0	0	4155	4	1	0
24660	24649	10	0	0	0	0	8249	4	1	0
24660	24640	5	24637	5	0	0	8252	4	1	0
24660	24640	5	24637	5	0	0	8250	4	1	0
24663	25014	1	24649	10	0	0	12380	4	1	0
24663	25014	1	24649	10	0	0	12383	4	1	0
24663	25014	1	24649	10	0	0	12381	4	1	0
24663	25014	1	24649	10	0	0	12384	4	1	0
24663	25014	1	24649	10	0	0	12382	4	1	0
24663	25014	1	24649	10	0	0	12385	4	1	0
24663	25014	1	24649	10	0	0	12443	4	1	0
24663	24651	5	0	0	0	0	12330	4	1	0
24663	24651	5	0	0	0	0	12332	4	1	0
24663	24651	5	0	0	0	0	12334	4	1	0
24663	24651	5	0	0	0	0	12336	4	1	0
24671	24640	5	24649	5	0	0	197	4	1	0
24671	24640	5	24649	5	0	0	260	4	1	0
24671	24640	5	24637	5	0	0	4246	4	1	0
24671	24640	5	24637	5	0	0	4179	4	1	0
24671	24651	5	0	0	0	0	12528	4	1	0
24671	24651	5	0	0	0	0	12530	4	1	0
24671	24651	5	0	0	0	0	12532	4	1	0
24671	24651	5	0	0	0	0	12534	4	1	0
24671	24651	5	0	0	0	0	12536	4	1	0
24666	25014	1	24640	10	0	0	68	4	1	0
24666	25015	1	24646	5	0	0	103	4	1	0
24666	25015	1	24646	5	0	0	135	4	1	0
24666	25014	1	24640	10	0	0	145	4	1	0
24666	25014	1	24640	10	0	0	250	4	1	0
24666	25015	2	24639	5	0	0	223	4	1	0
24666	24978	1	24646	10	0	0	265	4	1	0
24666	24677	1	24651	3	24649	10	4221	4	1	0
24666	25014	2	24640	10	0	0	4222	4	1	0
24666	25014	1	24651	2	0	0	8251	4	1	0
24666	25014	2	24640	10	0	0	4178	4	1	0
24666	25014	1	24651	2	0	0	8278	4	1	0
24658	24652	2	0	0	0	0	293	4	1	0
24658	24646	5	24640	5	0	0	43	4	1	0
24658	24639	3	24652	2	0	0	85	4	1	0
24658	24639	3	24652	2	0	0	109	4	1	0
24658	24646	5	24640	5	0	0	162	4	1	0
24658	24646	5	24639	5	0	0	195	4	1	0
24658	24646	5	24639	5	0	0	216	4	1	0
24658	24639	5	24652	2	0	0	271	4	1	0
24658	24646	5	24640	5	0	0	263	4	1	0
24661	24637	5	0	0	0	0	4157	4	1	0
24661	24639	5	24637	10	0	0	4216	4	1	0
24661	24652	2	24637	10	0	0	4116	4	1	0
24661	24652	2	24637	10	0	0	4124	4	1	0
24661	24652	2	24649	10	0	0	4247	4	1	0
24661	24652	2	24649	10	0	0	4188	4	1	0
24661	24640	5	0	0	0	0	8216	4	1	0
24661	24639	3	24640	10	0	0	8254	4	1	0
24661	24639	3	24640	10	0	0	8253	4	1	0
24664	25015	1	24640	10	0	0	12327	4	1	0
24664	25015	1	24640	10	0	0	12328	4	1	0
24664	25015	1	24640	10	0	0	12329	4	1	0
24664	25015	1	24640	10	0	0	12343	4	1	0
24664	25015	1	24646	10	0	0	12548	4	1	0
24664	25015	1	24646	10	0	0	12549	4	1	0
24664	25015	1	24646	10	0	0	12550	4	1	0
24664	25015	1	24646	10	0	0	12551	4	1	0
24664	24652	5	24642	2	0	0	12331	4	1	0
24664	24652	5	24642	2	0	0	12333	4	1	0
24664	24652	5	24642	2	0	0	12335	4	1	0
24664	24652	5	24642	2	0	0	12337	4	1	0
24667	25016	2	24642	5	0	0	294	4	1	0
24667	24700	1	24641	3	0	0	70	4	1	0
24667	24693	1	24677	1	24642	5	136	4	1	0
24667	25015	2	24639	5	0	0	173	4	1	0
24667	24695	1	24642	5	0	0	241	4	1	0
24667	24980	1	24639	10	0	0	4160	4	1	0
24667	24700	1	24646	10	0	0	8259	4	1	0
24667	25015	2	24639	5	0	0	4248	4	1	0
24667	25015	2	24646	5	0	0	8279	4	1	0
24667	24983	1	24642	5	24649	10	12552	4	1	0
24667	24979	1	24642	5	24649	10	12557	4	1	0
24659	24653	2	0	0	0	0	14	4	1	0
24659	24644	5	0	0	0	0	58	4	1	0
24659	24642	5	24652	3	0	0	104	4	1	0
24659	24641	3	24652	3	0	0	126	4	1	0
24659	24642	5	24652	3	0	0	158	4	1	0
24659	24642	5	24652	3	0	0	200	4	1	0
24659	24641	3	24652	3	0	0	225	4	1	0
24659	24644	5	24653	2	0	0	240	4	1	0
24659	24642	5	24652	3	0	0	264	4	1	0
24662	24639	5	0	0	0	0	4223	4	1	0
24662	24642	5	24652	3	0	0	4217	4	1	0
24662	24642	5	24653	1	0	0	4220	4	1	0
24662	24642	5	24641	3	0	0	4194	4	1	0
24662	24646	5	0	0	0	0	8255	4	1	0
24662	24639	3	24653	1	0	0	8217	4	1	0
24662	24639	3	24653	1	0	0	8256	4	1	0
24662	24639	3	24641	3	0	0	8275	4	1	0
24665	25016	2	24639	10	0	0	12340	4	1	0
24665	25016	2	24639	10	0	0	12341	4	1	0
24665	25016	2	24639	10	0	0	12342	4	1	0
24665	25015	3	24649	10	0	0	12408	4	1	0
24665	25015	3	24649	10	0	0	12473	4	1	0
24665	24653	2	24641	5	0	0	12533	4	1	0
24665	24653	2	24641	5	0	0	12535	4	1	0
24665	24653	2	24641	5	0	0	12537	4	1	0
24665	24653	2	24641	5	0	0	12529	4	1	0
24665	24653	2	24641	5	0	0	12531	4	1	0
24672	24705	1	24642	10	0	0	94	4	1	0
24672	24985	1	24644	5	0	0	127	4	1	0
24672	24987	1	24644	5	0	0	161	4	1	0
24672	25016	2	24644	5	0	0	196	4	1	0
24672	25016	2	24644	5	0	0	222	4	1	0
24672	24987	1	24641	5	0	0	4218	4	1	0
24672	25016	2	24653	3	0	0	4219	4	1	0
24672	25016	2	24653	3	0	0	4249	4	1	0
24672	24977	1	24653	3	0	0	4195	4	1	0
24672	25016	2	24653	3	0	0	8274	4	1	0
24672	25013	1	24649	20	0	0	12426	4	1	0
24672	25001	1	24637	20	0	0	12361	4	1	0
24672	25008	1	24640	20	0	0	12362	4	1	0
24672	24998	1	24646	20	0	0	12386	4	1	0
24672	24996	1	24639	20	0	0	12405	4	1	0
24668	24988	1	24653	5	24648	3	24	4	1	0
24668	25007	1	24653	5	24648	3	60	4	1	0
