Sort	Type	Rarity	Tier	Skill	Buy	Sell	GetFlag
0	0	0	0	0	0	0	0
999	131072	1	1	10	1200	300	0
998	131072	1	1	11	1200	300	0
997	131072	1	1	12	1200	300	0
996	131072	1	1	13	1200	300	0
995	131072	1	1	14	1200	300	0
994	131072	1	1	15	1200	300	0
993	0	1	1	0	1200	300	0
969	131072	1	1	30	1200	300	0
968	131072	1	1	31	1200	300	0
967	131072	1	1	32	1200	300	0
966	131072	1	1	33	1200	300	0
965	131072	1	1	34	1200	300	0
964	131072	1	1	35	1200	300	0
989	131072	1	1	20	1200	300	0
988	131072	1	1	21	1200	300	0
987	131072	1	1	22	1200	300	0
986	131072	1	1	23	1200	300	0
985	131072	1	1	24	1200	300	0
984	131072	1	1	25	1200	300	0
979	131072	1	1	40	1200	300	0
978	131072	1	1	41	1200	300	0
977	131072	1	1	42	1200	300	0
976	131072	1	1	43	1200	300	0
975	131072	1	1	44	1200	300	0
974	131072	1	1	45	1200	300	0
919	131072	1	1	78	1200	300	0
918	131072	1	1	79	1200	300	0
917	131072	1	1	80	1200	300	0
949	131072	1	1	56	1200	300	0
948	131072	1	1	57	1200	300	0
947	131072	1	1	58	1200	300	0
946	131072	1	1	59	1200	300	0
945	131072	1	1	60	1200	300	0
944	131072	1	1	61	1200	300	0
943	131072	1	1	62	1200	300	0
959	131072	1	1	50	1200	300	0
958	131072	1	1	52	1200	300	0
957	131072	1	1	51	1200	300	0
956	131072	1	1	53	1200	300	0
929	131072	1	1	70	1200	300	0
928	131072	1	1	71	1200	300	0
927	131072	1	1	72	1200	300	0
926	131072	1	1	73	1200	300	0
925	131072	1	1	74	1200	300	0
924	131072	1	1	75	1200	300	0
923	131072	1	1	76	1200	300	0
939	131072	1	1	64	1200	300	0
938	131072	1	1	66	1200	300	0
937	131072	1	1	65	1200	300	0
936	131072	1	1	67	1200	300	0
889	131072	1	1	87	1200	300	0
888	131072	1	1	88	1200	300	0
879	131072	1	1	89	1200	300	0
878	131072	1	1	90	1200	300	0
869	131072	1	1	91	1200	300	0
868	131072	1	1	92	1200	300	0
859	131072	1	1	93	1200	300	0
858	131072	1	1	94	1200	300	0
839	131072	1	1	100	1200	300	0
849	131072	1	1	95	1200	300	0
848	131072	1	1	96	1200	300	0
899	131072	1	1	85	1200	300	0
898	131072	1	1	86	1200	300	0
916	131072	1	1	105	1200	300	0
838	131072	1	1	101	1200	300	0
837	131072	1	1	102	1200	300	0
836	131072	1	1	103	1200	300	0
835	131072	1	1	104	1200	300	0
779	131072	1	1	125	1200	300	0
777	131072	1	1	126	1200	300	0
0	0	1	1	0	1200	300	0
769	131072	1	1	128	1200	300	0
778	131072	1	1	133	1200	300	0
767	131072	1	1	130	1200	300	0
776	131072	1	1	127	1200	300	0
766	131072	1	1	132	1200	300	0
775	131072	1	1	131	1200	300	0
0	0	1	1	0	1200	300	0
798	131072	1	1	111	1200	300	0
794	131072	1	1	119	1200	300	0
793	131072	1	1	120	1200	300	0
787	131072	1	1	121	1200	300	0
0	0	1	1	0	1200	300	0
788	131072	1	1	114	1200	300	0
786	131072	1	1	115	1200	300	0
797	131072	1	1	112	1200	300	0
795	0	1	1	0	1200	300	0
757	0	1	1	0	1200	300	0
799	131072	1	1	110	1200	300	0
789	131072	1	1	113	1200	300	0
796	131072	1	1	116	1200	300	0
768	131072	1	1	129	1200	300	0
0	0	1	1	0	1200	300	0
749	131072	1	1	139	1200	300	0
0	0	1	1	0	1200	300	0
748	131072	1	1	140	1200	300	0
747	131072	1	1	141	1200	300	0
742	131072	1	1	143	1200	300	0
741	131072	1	1	144	1200	300	0
743	131072	1	1	146	1200	300	0
785	131072	1	1	117	1200	300	0
0	0	1	1	0	1200	300	0
746	131072	1	1	145	1200	300	0
744	131072	1	1	142	1200	300	0
745	131072	1	1	148	1200	300	0
699	131072	1	1	155	1200	300	0
698	131072	1	1	156	1200	300	0
697	131072	1	1	157	1200	300	0
689	131072	1	1	160	1200	300	0
688	131072	1	1	161	1200	300	0
687	131072	1	1	162	1200	300	0
686	131072	1	1	163	1200	300	0
679	131072	1	1	170	1200	300	0
678	131072	1	1	171	1200	300	0
0	0	1	1	0	1200	300	0
0	0	1	1	0	1200	300	0
669	131072	1	1	172	1200	300	0
668	131072	1	1	173	1200	300	0
0	0	1	1	0	1200	300	0
659	131072	1	1	177	1200	300	0
658	131072	1	1	176	1200	300	0
649	131072	1	1	165	1200	300	0
648	131072	1	1	166	1200	300	0
589	131072	1	1	190	1200	300	0
