Sort	Type	EquipBy	Attr	Rarity	Tier	BaseAtk	BaseAcc	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag	Model	Flags
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2	2	0	4	2	38	95	0	0	0	0	0	0	2000	500	0	11	0
65	2	2	0	4	10	65	95	0	1	0	1	0	0	5000	1250	0	14	0
60	2	2	0	4	10	60	95	0	0	0	0	0	0	3200	800	0	12	0
45	2	2	0	4	2	45	95	0	0	0	0	0	1	2600	650	0	11	0
145	2	2	0	5	2	145	92	0	0	0	0	0	24	14500	3630	0	14	0
88	2	2	0	5	2	88	95	0	0	0	0	0	0	7500	1880	0	14	0
71	2	2	0	11	2	71	95	0	0	1	0	0	0	6100	1530	0	12	0
0	2	2	0	11	2	71	95	0	0	0	0	0	0	400	100	2	11	0
99	2	2	0	5	2	99	95	0	2	0	0	0	0	8150	2040	0	12	0
130	2	2	0	5	2	130	99	0	0	0	0	0	42	480	120	0	17	0
110	2	2	0	5	2	110	85	0	0	0	0	0	21	400	100	0	16	0
122	2	2	0	11	2	122	95	0	0	0	0	0	7	10900	2730	0	12	0
138	2	2	0	11	2	138	95	0	0	0	0	0	0	13200	3300	0	12	0
300	2	2	0	11	2	300	95	0	0	0	0	0	54	39200	9800	0	15	0
188	2	2	0	11	2	188	95	0	0	0	0	0	0	23800	5950	0	11	0
166	2	2	0	11	2	166	95	0	0	0	0	0	0	18400	4600	0	14	0
173	2	2	0	11	2	173	95	0	0	0	0	0	133	20300	5080	0	15	0
223	2	2	0	11	2	223	95	0	0	0	0	0	0	28600	7150	0	15	0
240	2	2	0	11	2	240	95	3	0	0	0	0	0	29400	7350	0	15	0
257	2	2	0	11	2	257	95	0	0	0	0	0	0	34000	8500	0	11	0
200	2	2	0	11	2	200	95	0	0	0	0	0	3	25300	6330	0	13	0
313	2	2	0	11	2	313	95	0	0	0	0	0	0	46500	11630	0	13	0
330	2	2	0	11	2	330	95	0	0	0	0	0	12	52000	13000	0	11	0
360	2	2	0	11	2	360	99	7	0	0	0	0	234	71200	17800	0	18	0
425	2	2	0	11	2	425	95	7	7	7	7	7	254	90000	22500	0	19	0
0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	12	0
130	2	2	0	11	2	130	99	1	1	1	1	1	0	12400	3100	0	11	0
0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	14	0
30	2	2	8	11	2	30	85	0	0	0	0	0	0	12000	3000	0	11	0
0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	12	0
295	2	2	0	11	2	295	95	0	0	0	0	0	9	41700	10430	0	13	0
151	2	2	0	11	2	151	95	0	0	0	0	0	97	15200	3800	0	12	0
282	2	2	0	11	2	282	95	0	0	0	0	0	0	39800	9950	0	15	0
269	2	2	0	11	2	269	95	0	0	0	0	0	35	35900	8980	0	14	0
125	2	2	0	11	2	125	90	0	0	0	0	0	37	400	100	2	15	0
30	4	4	2	5	2	30	98	0	0	0	0	0	0	2000	500	0	24	0
48	4	4	2	5	2	48	98	0	0	0	0	0	0	3000	750	0	22	0
65	4	4	2	1	1	65	98	0	0	0	0	0	19	5700	1430	0	22	0
80	4	4	2	1	1	80	98	0	0	0	0	0	0	6800	1700	0	24	0
35	4	4	2	5	2	35	98	0	1	0	0	0	0	2400	600	0	21	0
115	4	4	2	1	1	115	98	0	0	0	0	0	2	9750	2440	0	21	0
89	4	4	2	1	1	89	98	0	0	0	0	0	88	7700	1930	0	22	0
170	4	4	2	1	1	170	88	0	0	0	0	0	30	19300	4830	0	24	0
100	4	4	2	1	1	100	88	0	0	0	0	0	33	400	100	0	26	0
129	4	4	2	1	1	129	98	0	0	0	0	0	0	11900	2980	0	21	0
59	4	4	2	1	1	59	92	0	0	0	0	0	35	5000	1250	0	22	0
114	4	4	2	1	1	114	92	0	0	0	0	0	26	9000	2250	0	21	0
157	4	4	2	1	1	157	98	0	0	0	0	0	0	16800	4200	0	24	0
140	4	4	2	1	1	140	98	0	0	0	3	0	0	14100	3530	0	21	0
179	4	4	2	1	1	179	98	0	0	0	0	0	0	20800	5200	0	23	0
164	4	4	2	1	1	164	98	0	3	0	0	0	0	18100	4530	0	23	0
215	4	4	2	1	1	215	98	0	0	0	0	0	0	26100	6530	0	21	0
191	4	4	2	1	1	191	98	0	0	0	0	0	16	22200	5550	0	21	0
242	4	4	2	1	1	242	98	0	0	0	0	0	0	31500	7880	0	21	0
228	4	4	2	1	1	228	98	0	0	0	0	0	3	27900	6980	0	25	0
303	4	4	2	1	1	303	98	0	0	0	0	0	0	41900	10480	0	25	0
284	4	4	2	1	1	284	98	0	0	0	0	0	20	37700	9430	0	23	0
314	4	4	2	1	1	314	88	0	0	0	0	0	18	48000	12000	0	25	0
370	4	4	8	1	1	370	98	0	0	0	0	0	39	58600	14650	0	27	0
400	4	4	2	1	1	400	98	0	0	0	0	0	251	68000	17000	0	28	0
135	4	4	2	1	1	135	88	0	0	0	0	0	42	13200	3300	0	24	0
0	4	4	2	1	1	135	88	0	0	0	0	0	0	400	100	2	22	0
0	4	4	2	1	1	135	88	0	0	0	0	0	0	400	100	2	20	0
273	4	4	2	1	1	273	98	0	0	0	0	0	0	36300	9080	0	21	0
259	4	4	2	1	1	259	98	0	0	0	0	0	41	32500	8130	0	25	0
260	4	4	2	1	1	260	98	0	5	0	0	0	0	34000	8500	0	23	0
225	4	4	2	1	1	225	99	0	0	0	0	0	75	27000	6750	0	23	0
120	4	4	6	1	1	120	88	0	0	0	0	0	0	38400	9600	0	21	0
0	4	4	2	1	1	130	99	0	0	0	0	0	0	400	100	2	22	0
260	4	4	2	1	1	260	88	0	0	0	0	0	38	35400	8850	0	25	0
45	8	8	0	1	1	45	92	0	0	0	0	0	0	2400	600	0	34	0
67	8	8	0	1	1	67	92	0	0	0	0	0	0	3500	880	0	32	0
54	8	8	0	1	1	54	92	0	0	1	0	0	0	3000	750	0	31	0
95	8	8	0	1	1	95	92	0	0	0	0	0	0	8000	2000	0	31	0
76	8	8	0	1	1	76	92	0	0	0	0	0	16	6500	1630	0	34	0
157	8	8	0	1	1	157	92	0	0	3	0	0	0	16300	4080	0	32	0
103	8	8	0	1	1	103	92	0	0	0	0	2	0	9000	2250	0	34	0
0	8	8	0	1	1	100	92	0	0	0	0	0	0	400	100	2	34	0
120	8	8	0	1	1	120	85	0	0	0	0	0	24	400	100	0	36	0
142	8	8	0	1	1	142	92	0	0	0	0	0	0	14150	3540	0	32	0
126	8	8	0	1	1	126	92	0	0	0	3	0	0	12000	3000	0	31	0
171	8	8	0	1	1	171	92	0	0	0	0	0	0	19700	4930	0	34	0
0	8	8	0	1	1	100	92	0	0	0	0	0	0	400	100	2	34	0
194	8	8	0	1	1	194	92	0	0	0	0	0	0	24150	6040	0	31	0
235	8	8	0	1	1	235	92	0	0	0	0	0	74	33900	8480	0	35	0
231	8	8	0	1	1	231	92	0	0	0	0	0	0	28900	7230	0	35	0
210	8	8	0	1	1	210	92	0	0	0	0	0	103	25700	6430	0	33	0
265	8	8	0	1	1	265	92	0	0	0	0	0	0	36100	9030	0	33	0
248	8	8	0	1	1	248	92	0	0	0	0	0	22	30700	7680	0	35	0
328	8	8	0	1	1	328	92	0	0	0	0	0	0	48800	12200	0	35	0
303	8	8	0	1	1	303	92	0	5	0	0	0	0	44000	11000	0	31	0
180	8	8	0	1	1	180	92	0	0	0	0	0	34	22700	5680	0	35	0
395	8	8	0	1	1	395	92	0	0	0	7	0	234	57300	14330	0	38	0
299	8	8	3	1	1	300	90	0	0	0	0	0	46	43100	10780	0	37	0
440	8	8	0	1	1	440	92	5	5	5	5	5	204	71000	17750	0	39	0
0	8	8	0	1	1	100	92	0	0	0	0	0	0	400	100	2	31	0
128	8	8	0	1	1	128	90	0	0	0	0	0	233	13200	3300	0	32	0
0	8	8	0	1	1	100	92	0	0	0	0	0	0	400	100	2	32	0
107	8	8	0	1	1	107	95	0	0	0	0	0	40	400	100	2	34	0
300	8	8	0	1	1	300	92	0	0	0	0	0	43	400	100	2	35	0
288	8	8	0	1	1	288	92	0	0	0	0	0	0	42300	10580	0	33	0
277	8	8	0	1	1	277	92	3	0	0	0	0	0	37800	9450	0	33	0
90	8	8	3	1	1	90	90	0	0	0	0	0	0	20500	5130	0	31	0
270	8	8	0	1	1	270	92	0	0	0	0	0	42	37200	9300	0	35	0
0	8	8	0	1	1	100	92	0	0	0	0	0	0	400	100	2	31	0
51	16	16	1	1	1	51	97	0	0	0	0	0	0	4000	1000	0	42	0
83	16	16	1	1	1	83	97	0	0	0	0	0	0	7200	1800	0	44	0
67	16	16	1	1	1	67	97	0	0	0	0	0	22	5850	1460	0	42	0
200	16	16	1	1	1	200	97	0	0	0	0	0	204	24600	6150	0	42	0
94	16	16	1	1	1	94	97	0	0	0	0	0	1	8300	2080	0	44	0
172	16	16	1	1	1	172	97	0	0	0	0	0	200	20000	5000	0	42	0
145	16	16	1	1	1	145	85	0	0	0	0	0	30	3200	800	0	46	0
132	16	16	1	1	1	132	97	0	0	0	0	0	0	12500	3130	0	41	0
118	16	16	1	1	1	118	97	0	0	0	0	0	60	10250	2560	0	42	0
125	16	16	1	1	1	125	93	0	0	0	0	0	44	11000	2750	0	41	0
160	16	16	1	1	1	160	97	0	0	0	0	0	0	17400	4350	0	45	0
144	16	16	1	1	1	144	97	0	3	0	0	0	0	14600	3650	0	41	0
184	16	16	1	1	1	184	97	0	0	0	0	0	0	21450	5360	0	41	0
168	16	16	1	1	1	168	97	0	0	0	0	0	40	18000	4500	0	43	0
221	16	16	1	1	1	221	97	0	0	0	0	0	0	26500	6630	0	41	0
