Floor	Normal	Rare	Gem	Material	1-lock	2-lock
Thebel	0	400	0	0	735	0
Thebel 2-4	30	0	0	0	0	0
Thebel 6-10	31	0	0	0	0	0
Thebel 12-20	32	0	0	0	0	0
Arqa I	0	406	0	0	736	737
Arqa I 23-27	41	0	0	0	0	0
Arqa I 29-33	42	0	0	0	0	0
Arqa I 37-41	43	0	0	0	0	0
Arqa II	0	412	801	0	738	739
Arqa II 44-53	54	0	0	0	0	0
Arqa II 55-59	55	0	0	0	0	0
Arqa II 61-67	56	0	0	0	0	0
Yabbashah I	0	418	0	901	740	741
Yabbashah I 70-81	0	0	802	0	0	0
Yabbashah I 70-76	66	0	0	0	0	0
Yabbashah I 78-81	67	0	0	0	0	0
Yabbashah I 83-88	68	0	803	0	0	0
Yabbashah II	0	424	0	902	742	743
Yabbashah II 93-104	0	0	804	0	0	0
Yabbashah II 93-98	79	0	0	0	0	0
Yabbashah II 100-104	80	0	0	0	0	0
Yabbashah II 106-116	81	0	805	0	0	0
Tziah I	0	430	0	903	744	745
Tziah I 119-131	0	0	806	0	0	0
Tziah I 119-123	91	0	0	0	0	0
Tziah I 127-131	92	0	0	0	0	0
Tziah I 133-142	93	0	807	0	0	0
Tziah II	0	436	0	904	746	747
Tziah II 145-154	106	0	808	0	0	0
Tziah II 156-168	107	0	809	0	0	0
Harabah I	0	441	0	905	748	749
Harabah I 173-183	120	0	810	0	0	0
Harabah I 185-196	121	0	811	0	0	0
Harabah II	0	446	0	906	750	751
Harabah II 199-211	132	0	812	0	0	0
Harabah II 213-224	133	0	813	0	0	0
Adamah I	0	451	0	0	752	753
Adamah I 227-235	144	0	814	0	0	0
Adamah I 237-244	145	0	815	0	0	0
Adamah I 248-251	146	0	816	0	0	0
Adamah I 227-240	0	0	0	907	0	0
Adamah I 242-251	0	0	0	908	0	0
Adamah II	147	0	0	0	0	0
