Floor	Encounter	Treasure	Notes
-	-	-	-
Makoto's Initial Equipment	-	Shortsword, Plain Shirt, Engineer Boots, Portable Player	-
Yukari's Initial Equipment	-	Practice Bow, Knit Cardigan, Brown Loafers, Heart Choker	-
Junpei's Initial Equipment	-	Imitation Katana, Dress Shirt, Straight Tip, Silver Necklace	-
Akihiko's Initial Equipment	-	Brass Gloves, Red Vest, Inverse Shoes, Leather Gloves	-
Mitsuru's Inital Equipment	-	SEES Rapier, Ruffled Blouse, Knee-High Boots, Fancy Nails	-
Fuuka's Initial Equipment	-	Turtleneck, Black Loafers, Bead Necklace	-
Aigis's Initial Equipment	-	Albireo, Aramid Semi-Shell, Pearlite Legs, Red Ribbon	-
Ken's Initial Equipment	-	SEES Longspear, Zip Hoodie, Soccer Shoes, Wristband	-
Koromaru's Initial Equipment	-	SEES Knife, Dog Suit, Bare Paws, Koromaru Wings	-
Shinjiro's Initial Equipment	-	SEES Battle-Axe, Long Pea Coat, Western Boots, Beanie	-
Initial Equipment	-	Uniform & Armband, Infiltration Outfit, Duds & Armband, Winged Dog Suit	-
Theurgy Tutorial	-	SEES Sword, SEES Longbow, SEES Greatsword, SEES Knuckles, SEES Uniform	-
5/25: Exam Results Top of the Class	-	Proto-Choker	-
7/24: Exam Results Top of the Class	-	Mega Master Band	-Request
10/19: Exam Results Top of the Class	-	Pendant of Unity	-
12/21: Exam Results Top of the Class	-	Phoenix Charm	-
12/24: Chihiro Christmas Date	-	Handmade Keychain	-
Request #97: Bring me my Christmas present.	-	Incense Box	-
Request #25: Fusion Series #2: Chariot, Mithras	-	Dark Jacket	-
Request #42: Please feed the cat.	-	Crew Neck T-Shirt	-
Thebel Breakables	-	Thebel Glass Shard, Thebel Stone Piece, Thebel Lantern, Thebel Iron Fence, Thebel Crystal	-
Arqa I Breakables	-	Arqa Shell, Arqa Ivy, Arqa Luminary, Arqa Wall Piece, Arqa Gem	-
Arqa II Breakables	-	Arqa Mineral, Arqa Vine, Arqa Sculpture, Arqa Luminous Shell, Arqa Crystal	-
Yabbashah I Breakables	-	Yabbashah Steel, Yabbashah Light, Yabbashah Fuel Can, Yabbashah Arch, Yabbashah Gem	-
Yabbashah II Breakables	-	Yabbashah Iron Plate, Yabbashah Column, Yabbashah Cube, Yabbashah Flare, Yabbashah Crystal	-
Tziah I Breakables	-	Tziah Window Frame, Tziah Ingot, Tziah Stone Pillar, Tziah Basin, Tziah Gem	-
Tziah II Breakables	-	Tziah Carpet, Tziah Wall Piece, Tziah Gold Ornament, Tziah Pot, Tziah Crystal	-
Harabah I Breakables	-	Harabah Ampoule, Harabah Light Shard, Harabah Glass Eye, Harabah Cloth, Harabah Gem	-
Harabah II Breakables	-	Harabah Wall Piece, Harabah Discus, Harabah Glass Sphere, Harabah Cube, Harabah Crystal	-
Adamah I Breakables	-	Adamah Wall Piece, Adamah Steel Pillar, Adamah Pyramid, Adamah Orb, Adamah Crystal	-
Thebel 2	Tartarus Tutorial	Life Stone x3, Revival Bead, Snuff Soul x2: 1-lock	-
Thebel 5	Ruthless Ice Raven x2	Bead	Pulinpa, Junpei Agi x3
Thebel 6	Shifting Tutorial	Odd Morsel, Odd Morsel	-
Thebel 11	Barbaric Beast Wheel, Magic Hand x2	Snuff Soul x2, Poison Arrow Bow: 3-lock	Pulinpa, Equip Orpheus for EXP
Thebel 12	Rare Shadow Tutorial	-	-
Thebel 17	Swift Axle (Magaru, Garu, Tarukaja)	Balm of Life, Hothead Shirt: 2-lock, Long Wakizashi: 3-lock	Have Junpei guard
Thebel 18	Rush Tutorial	Balm of Life: 1-lock	-
Thebel 21	Teleporter	-	-
Thebel 22	Border	-	-
Arqa I 28	Will O' Wisp Raven, Lightning Eagle x2	Umugi Water x3, Maragi: 2-lock	Outdamage them
Arqa I 30	Fomidable Shadow Tutorial	Baisudi Gem, Makouha Gem, Homunculus	-
Arqa I 34	Teleporter	-	-
Arqa I 35	Heretic Magus, Grievous Table x2	Chewing Soul	Use Rage
Arqa I 36	Disturbing Dice, Slaughter Twins x2	Balm of Life: 2-lock, Juzumaru: 3-lock	Use Distress
Arqa I 42	Clairvoyant Relic	Bead Chain, Junpei's Tuxedo: 3-lock	Use Poison
Arqa I 43	Border	-	-
Arqa I ???	-	Umugi Water x2, Magaru Gem x2, Mabufu Gem x2, Revival Bead x2	-
Arqa II ???	Theurgy Tutorial	Snuff Soul, Fierce Sutra x2, Patra Gem x2	-
Arqa II 47	Servant Tower, Enslaved Cupid x2	Chewing Soul x2, Boxing Shoes: 2-lock	Use Rage
Arqa II 54	Lascivious Lady (Stagnant Air, Eerie Sound), Profligate Gigas x2 (Tarukaja)	Muscle Shirt, Counter: 2-lock, Onimaru Kunitsuna: 3-lock	Use Charm
Arqa II 57	Jamming Tuotiral	-	-
Arqa II 60	Fleetfooted Calvary	Soma, Akihiko's Tuxedo: 3-lock, Bold Bow: 3-lock	Theurgy him to death
Arqa II 62	Reaper Tutorial	Antibiotic Gel, Eiga Gem, Patra Gem, Homunculus	-
Arqa II 68	Teleporter	-	-
Arqa II 69	Border	-	-
Yabbashah I 71	Great Clock Tutorial	Spirit Talisman: 1-lock	-
Yabbashah I 77	Ocholocratic Sand x3 (Fatal End, Vaccum Slash, Neuro Slash, Agilao, Maragion)	Power Incense II, Floaty Sandals: 2-lock	-
Yabbashah I 80	Monad Door Tutorial	Mabufu Gem, Balm of Life, Magaru Gem, Attack Mirror	-
Yabbashah I 82	Arcanist Decapitator, Heat Overseer, Sky Overseer	Kamimusubi Water x3, Empowering Sutra: 2-lock, Slugger's Jacket: 3-lock	-
Yabbashah I 89	Teleporter	-	-
Yabbashah I 90	Deviant Convict (Charge, Tarukaja, Rebellion, Herculean Strike), Tome of Atrophy (Matarunda)	Balm of Life	-
Yabbashah I 91	Controlling Partner, Dependent Partner	Bead Chain, Fists of Fury: 3-lock, Battle Panties: 3-lock	-
Yabbashah I 91.1	Cowardly Maya E (Concentrate)	Ice Saber, Memoir 02, Gekkoukan Jersey	-
Yabbashah I 91.2	Rampage Drive B, Shouting Tiara B, Magical Magus C	Temperance Tarot + Book of Samech	-
Yabbashah I 92	Border	-	-
Yabbashah II 95	Rage Tutorial	Snuff Soul	-
Yabbashah II 99	Venomous Magus (Poison Mist), Five Fingers of Blight x2 (Matarunda)	Daft Jacket, Carnage Knife: 3-lock	-
Yabbashah II 101	Confusion Tutorial	-	-
Yabbashah II 105	Bloody Maria (Evil Smile), Executioner's Crown (Ghastly Wail)	Magic Incense II, Insulated Tights: 2-lock	-
Yabbashah II 108	Fear Tutorial	-	-
Yabbashah II 112	Imposing Skyscraper (Herculean Strike, Mazionga, Stagnant Air, Marakunda)	Precious Egg, Flash Grenade: 3-lock, Sexy Armor: 3-lock	-
Yabbashah II 117.1	Bronze Dice B (Mahamaon, Mamudoon), Muttering Tiara B	Champion Gloves	-
Yabbashah II 117.2	Iron Dice B (herculean Strike, Gigantic First, Eerie Sound), Silent Book B	Pink Bikini, Memoir 03	-
Yabbashah II 117.3	Platinum Dice (Mamudoon, Gigantic Fist, Eerie Sound), Silent Book B, Muttering Tiara B	Devil Tarot + Book of Ayin	-
Yabbashah II 118	Border	-	-
Tziah I 121	Dark Floor Tutorial	-	-
Tziah I 124	Teleporter	-	-
Tziah I 125	Heartless Relic, Rampaging Sand x2	Kamimusubi Water x2, Ballistic Vest: 2-lock	-
Tziah I 126	Raging Turret (Tarukaja + Rakukaja + Sukukaja, Charge + Heat Wave)	Single-Target Boost, Warding Shoes: 2-lock	-
Tziah I 129	Greedy Shadow Tutorial	-	-
Tziah I 132	Terminal Table	Power Incense III, Gaea's Grace: 3-lock	-
Tziah I 136	Jotun of Authority, Purging Right Hand, Subservient Left Hand	Magic Mirror x2, Fiery Vest: 3-lock	-
Tziah I 143	Isolated Castle	Precious Egg, Ote-gine: 3-lock, Shinjiro's Tuxedo: 3-lock	-
Tziah I 143.1	Dogmatic Tower B (Makarakarn, Kougaon), Immoral Snake B x2 (Poison Mist, Virus Breath, Agilao)	Grand Slasher	-
Tziah I 143.2	Natural Dancer B x2 (Spirit Drain (100), Magarula)	Bicolor Shorts, Memoir 01	-
Tziah I 143.3	Vehement Idol B (Megidola Mabufula, Ziodyne, Makouga)	Tower Tarot + Book of Pe	Eerie Sound + Shinjiro's Theurgy
Tziah I 144	Border	-	-
Tziah II 151	Pagoda of Disaster, Tome of Persecution x2	Balm of Life, Hero's Cape: 2-lock	-
Tziah II 155	Dancing Beast Wheel	Guard Incense II, Aristocracy: 3-lock	-
Tziah II 161	Demented Knight x2	Magic Incense II, Tetra Jammer: 2-lock	-
Tziah II 169	Teleporter	-	-
Tziah II 170	Cruel Greatsword (Neuro Slash, Matarukaja), Serpent of Absurdity x2 (Sprit Drain, Poisma, Marin Karin)	Chewing Soul x2, Rapid Bands: 3-lock	-
Tziah II 171	Invigorated Gigas	Bead Chain, Alluring Armor: 3-lock	-
Tziah II 171.1	Minotaur II B (Infuriate, Provoke, Herculean Strike)	Whirlwind Bow	-
Tziah II 171.2	Haunted Castle, Spiritual Castle	Red Shorts, Memoir 06	-
Tziah II 171.3	Intrepid Knigth B (Masukunda, Heat Riser), Change Relic B (Marakunda)	Star Tarot + Book of Tsadi	-
Tziah II 172	Border	-	-
Harabah I 179	Cultist of the Storm	Amrita Soda x2, Mirage Sandals: 2-lock	-
Harabah I 184	Merciless Judge (Mabufudyne), Executive Greatsword (Marakukaja, Ziodyne)	Precious Egg, Rai Kunimitsu: 3-lock	-
Harabah I 188	Chaos Panzer, Resentful Surveillant x2	Speed Incense III, Circe's Bow: 3-lock	-
Harabah I 193	Necromachinery (Makougaon, Concentrate, Megidolaon)	Bead Chain, Water God Armor: 2-lock, Ken's Tuxedo: 3-lock	-
Harabah I 197.1	Amorous Snake B (Poison Mist), Devious Maya B x4 (Tetrakarn, Makarakarn, Sacrifice)	Blue Swimwear, Omega Spear, Memoir 04	-
Harabah I 197.2	Heat Balance B, Light Balance B, Sky Balance B > Omnipotent Balance	Moon Tarot + Book of Qof	-
Harabah I 198	Border	-	-
Harabah II 203	Icebreaker Lion, Luckless Cupid	Bead Chain, Adamant Armor: 2-lock	-
Harabah II 212	Deadly Eldest Sibling, Blazing Middle Sibling, Voltaic Youngest Sibling	Guard Incense III, Dojigiri Yasutsuna: 3-lock	-
Harabah II 218	Scornful Dice (Provoke, Infuriate, Megidolaon)	Precious Egg, Longinus: 3-lock	-
Harabah II 255	Minotaur Nulla	Carbon Jacket, Koromaru's Tuxedo: 3-lock	-
Harabah II 225.1	Morbid Book (DEATH), Phantom Master B x2	Striped Wetsuit, Wizard's Mark, Memoir 05	-
Harabah II 225.2	Gold Hand, Black Hand, Pink Hand, Silver Hand, White Hand	Sun Tarot + Book of Resh, Judgement Tarot + Book of Shin	-
Harabah II 226	Border	-	-
Adamah I 230	Obsessive Sand (Kouga, Eerie Sound, Diarahan)	Hanzo's Sandals, Antimatter Cannon: 3-lock	-
Adamah I 236	Comeback Castle (Marakukaja), Foot Soldier x2, Mage Soldier x2	Magic Mirror x2, Endure: 2-lock	-
Adamah I 241	Overeer of Creation x2 (Mabufudyne, Maziodyne)	Power Incense III, Godspeed Shoes: 2-lock	-
Adamah I 245	Teleporter	-	-
Adamah I 246	Appropriating Noble (Spirit Drain (200)), Invasive Serpent x2 (Stagnant Air, Poison Mist)	Precious Egg, Goddess Boots: 2-lock	-
Adamah I 247	High Judge of Hell (Vorpal Blade)	Bead Chain, Excalibur: 3-lock	-
Adamah I 252	Teleporter	-	-
Adamah I 253	Cultist of Death	Magic Incense III	-
Adamah I 254	Hedonistic Sinner x2 (Stagnant Air, Evil Smile)	Bead Chain	-
Adamah I 255	Genocidal Mercenary (Tentarafoo)	Soma, Butler Suit: 3-lock	-
Adamah I 255.1	Hallowed Turret B	Elegant Bikini	-
Adamah I 255.2	Tenjin Musha B, Kaiden Musha B, Hakurou Musha C, Onnen Musha C	Myohou Muramasa	-
Adamah I 255.3	Shadow of the Void	Avaricious Amulet + Book of Tav	-
Adamah I 256	Border	-	-
Adamah II 257	Normal Floor	-	-
Adamah II 258	Stairs	-	-
Adamah II 259	Jin	Precious Egg x2	-
Adamah II 260	Normal Floor	-	-
Adamah II 261	Normal Floor	-	-
Adamah II 262	Stairs	Soma	-
Adamah II 263	Takaya	-	-
Adamah II 264	Nyx	-	-
