en	race	floor
Adamant Beetle	Emperor	Arqa II 57-65
Almighty Hand	Magician	Yabbashah II 103-117
Amenti Raven	Hermit	Adamah I 227-244
Amorous Snake B	Lovers P	Harabah I P1
Ancient Castle	Emperor	Tutorial
Angry Table	Magician	Harabah II 200-223
Apostate Tower	Hierophant	Harabah I 175-196
Appropriating Noble	Hermit P	Adamah I 246
Arcane Turret	Chariot	Tziah I 139-142
Arcanist Decapitator	Hermit P	Yabbashah I 82
Ardent Checkmate	Fool	Arqa II 44-68
Ardent Dancer	Lovers	Yabbashah I 72-89
Avenger Knight	Emperor	Yabbashah I 85-89
Barbaric Beast Wheel	Chariot P	Thebel 11
Battle Wheel	Chariot	Harabah I 186-197
Bestial Wheel B	Chariot	Arqa II 44-53
Bigoted Maya	Justice	Adamah I 227-235
Black Hand	Magician P	Harabah II P2
Black Raven	Hermit	Arqa I 25-37
Blazing Middle Sibling	Strength P	Harabah II 212
Bloody Maria	Priestess P	Yabbashah II 105
Blue Sigil	Hierophant	Tziah I 119-142
Bold Checkmate	Fool	Tziah I 119-142
Brave Wheel	Chariot	Tziah I 134-142
Bronze Dice	Fortune	Arqa II 44-63
Bronze Dice B	Fortune P	Yabbashah II P1
Carnal Snake	Lovers	Adamah I 231-242
Champion Knight	Emperor	Tziah I 127-141
Champion Knight B	Emperor	Yabbashah II 93-104
Change Relic B	Empress P	Tziah II P3
Chaos Cyclops B	Hanged P	Yabbashah II D3
Chaos Panzer	Chariot P	Harabah I 188
Clairvoyant Relic	Empress P	Arqa I 42
Comeback Castle	Emperor P	Adamah I 236
Constancy Relic	Empress	Tziah I 121-142
Controlling Partner	Lovers P	Yabbashah I 91
Conviction Sword	Justice	Tziah II 159-168
Corrupt Tower	Hierophant	Arqa I 31-41
Cowardly Maya	Magician	Thebel 2-19
Cowardly Maya B	Magician	Tutorial
Cowardly Maya C	Magician	Tutorial
Cowardly Maya D	Magician	Tutorial
Cowardly Maya E	Magician P	Yabbashah I P1
Crazy Twins	Hierophant	Harabah I 174-192
Crazy Twins B	Hierophant P	Tziah II D1
Creation Relic	Empress	Yabbashah I 70-89
Cruel Greatsword	Justice P	Tziah II 170
Crying Table	Magician	Arqa II 52-68
Cultist of Death	Hierophant P	Adamah I 253
Cultist of the Storm	Hierophant P	Harabah I 179
Curse Dice	Fortune	Harabah II 204-222
Curse Dice B	Fortune	Harabah I 173-183
Dancing Beast Wheel	Chariot P	Tziah II 155
Dancing Hand	Magician	Arqa I 37-41
Dancing Hand B	Magician	Monorail
Daring Gigas B	Strength	Harabah II 199-211
Dark Eagle	Empress	Arqa II 55-68
Deadly Eldest Sibling	Strength P	Harabah II 212
Death Castle	Emperor	Adamah I 242-251
Death Castle B	Emperor P	Tziah II D3
Death Dice	Fortune	Adamah I 231-239
Death Seeker	Hermit	Tziah II 145-168
Death Twins	Hierophant	Tziah I 120-142
Demented Knight	Emperor P	Tziah II 161
Dependent Partner	Lovers P	Yabbashah I 91
Desirous Maya	Hermit	Harabah II 199-224
Deviant Convict	Hanged P	Yabbashah I 90
Devious Maya	Hanged	Adamah I 237-250
Devious Maya B	Hanged P	Harabah I P1
Devoted Cupid	Lovers	Yabbashah I 78-89
Dignified Checkmate	Fool	Yabbashah II 93-117
Disturbing Dice	Fortune P	Arqa I 36
Divine Mother B	Empress	Adamah I 227-244
Dogmatic Tower	Hierophant	Yabbashah I 83-89
Dogmatic Tower B	Hierophant P	Tziah I P1
Doom Sword	Justice	Adamah I 228-242
Dutiful Checkmate	Fool	Harabah II 199-224
Elegant Mother	Empress	Tziah I 133-142
Elegant Mother B	Empress	Yabbashah II 106-117
Elegant Mother C	Empress P	Yabbashah I D1
Emperor Beetle	Emperor	Adamah I 239-244
Emperor Beetle B	Emperor P	Tziah II D2
Enslaved Beast	Strength	Arqa II 65-68
Enslaved Beast B	Strength	Arqa I 37-41
Enslaved Cupid	Lovers P	Arqa II 47
Eternal Eagle	Empress	Adamah I 242-244
Eternal Eagle B	Empress P	Yabbashah II D2
Eternal Sand B	Fortune P	Harabah I D3
Ethereal Hand	Fool	Tziah II 145-168
Executioner's Crown	Priestess P	Yabbashah II 105
Executive Greatsword	Justice P	Harabah I 184
Fanatic Tower B	Hierophant P	Adamah I D1
Fate Seeker	Hermit	Harabah II 201-222
Feral Beast	Strength P	Unknown
Fierce Cyclops	Hanged	Adamah I 250-251
Final Checkmate	Fool	Adamah I 227-261
Five Fingers of Blight	Magician P	Yabbashah II 99
Fleetfooted Cavalry	Emperor P	Arqa II 60
Flowing Sand	Fortune	Tziah II 152-168
Flowing Sand B	Fortune P	Unknown
Foot Soldier	Magician P	Adamah I 236
Frivolous Maya	Empress	Arqa I 23-37
Furious Gigas	Strength	Yabbashah II 97-114
Genocidal Mercenary	Hanged P	Adamah I 255
Glorious Hand	Fool	Adamah I 227-261
Gold Hand	Magician P	Harabah II P2
Golden Beetle	Emperor	Yabbashah I 74-89
Gracious Cupid	Lovers	Harabah I 182-197
Grand Magus	Magician	Adamah II 257-261
Grand Magus B	Magician P	Tziah I D3
Grave Beetle	Emperor	Thebel 14-21
Green Sigil	Hierophant	Adamah I 237-244
Grieving Tiara	Priestess	Arqa I 24-41
Grievous Table	Magician P	Arqa I 35
Growth Relic	Empress	Tziah II 146-168
Hakurou Musha	Strength	Tziah II 149-168
Hakurou Musha B	Strength	Tziah I 119-131
Hakurou Musha C	Strength P	Adamah I P2
Hallowed Turret B	Chariot P	Adamah I P1
Harmony Giant	Justice	Adamah II 260-261
Haughty Belle	Priestess P	Unknown
Haughty Maya	Emperor	Arqa II 44-67
Haunted Castle	Emperor P	Tziah II P2
Heartless Relic	Empress P	Tziah I 125
Heat Balance	Justice	Arqa I 23-34
Heat Balance B	Justice	Monorail
Heat Balance C	Justice P	Harabah I P2
Heat Overseer	Justice P	Yabbashah I 82
Hedonistic Sinner	Hanged P	Adamah I 254
Hell Knight	Emperor	Harabah I 191-197
Heretic Magus	Magician P	Arqa I 35
High Judge of Hell	Justice P	Adamah I 247
Ice Raven	Hermit	Yabbashah II 94-117
Icebreaker Lion	Strength P	Harabah II 203
Ill-Fated Maya	Chariot	Tziah I 119-141
Immoral Snake	Lovers	Harabah I 189-197
Immoral Snake B	Lovers P	Tziah I P1
Imposing Skyscraper	Hierophant P	Yabbashah II 112
Imprudent Maya	Fortune	Harabah I 173-194
Indolent Maya	Hierophant	Yabbashah I 70-89
Infinite Sand	Fortune	Adamah I 237-244
Insidious Maya	Lovers	Yabbashah II 93-117
Intrepid Knight B	Emperor P	Tziah II P3
Intrepid Knight C	Emperor P	Adamah I D3
Invaluable Hand	Fool	Yabbashah II 93-117
Invasive Serpent	Lovers P	Adamah I 246
Invigorated Gigas	Strength P	Tziah II 171
Iron Dice	Fortune	Harabah II 213-224
Iron Dice B	Fortune P	Yabbashah II P2
Isolated Castle	Emperor P	Tziah I 143
Jealous Cupid	Lovers	Arqa II 55-66
Jealous Cupid B	Lovers P	Unknown
Jotun of Authority	Hanged P	Tziah I 136
Jotun of Blood	Hanged	Harabah II 209-224
Jotun of Blood B	Hanged	Harabah I 185-197
Jotun of Evil	Hanged	Adamah I 248-251
Jotun of Evil B	Hanged	Harabah II 213-224
Jotun of Power	Hanged	Yabbashah II 113-117
Jotun of Power B	Hanged	Yabbashah I 83-89
Judgment Sword	Justice	Harabah II 206-224
Judgment Sword B	Justice P	Tziah I D1
Jupiter Eagle	Empress	Yabbashah I 83-89
Justice Sword	Justice	Yabbashah II 93-116
Kaiden Musha	Strength	Harabah I 173-196
Kaiden Musha B	Strength P	Adamah I P2
Killer Drive	Chariot	Tziah I 130-141
Killer Twins	Hierophant	Yabbashah I 71-88
Killing Hand	Magician	Arqa II 63-68
Lascivious Lady	Empress P	Arqa II 54
Laughing Table	Magician	Arqa I 24-34
Laughing Table B	Magician	Monorail
Liberating Idol	Priestess	Tziah II 147-168
Light Balance	Justice	Adamah I 233-239
Light Balance B	Justice P	Harabah I P2
Lightning Eagle	Empress P	Arqa I 28
Luckless Cupid	Lovers P	Harabah II 203
Lustful Snake	Lovers	Yabbashah I 70-89
Lustful Snake B	Lovers	Arqa II 55-68
Luxury Hand	Fool	Harabah I 173-197
Mach Wheel	Chariot	Yabbashah I 78-89
Mad Cyclops	Hanged	Harabah II 221-224
Mage Soldier	Priestess P	Adamah I 236
Magic Hand	Magician	Thebel 7-21
Magic Hand B	Magician	Tutorial
Magical Magus	Magician	Tziah I 137-142
Magical Magus B	Priestess P	Unknown
Magical Magus C	Magician P	Yabbashah I P2
Majestic Checkmate	Fool	Yabbashah I 70-89
Maniacal Book	Priestess	Arqa II 50-68
Merciless Judge	Justice P	Harabah I 184
Merciless Maya	Priestess	Thebel 3-9
Merciless Maya B	Priestess	Tutorial
Mighty Beast	Strength	Harabah I 180-197
Mighty Cyclops	Hanged	Tziah II 164-168
Mind Dice	Fortune	Yabbashah II 96-117
Minotaur I	Hanged	Adamah I 248-251
Minotaur II	Hanged	Harabah II 215-224
Minotaur II B	Hanged P	Tziah II P1
Minotaur III	Hanged	Tziah II 162-168
Minotaur III B	Hanged P	Tziah I D2
Minotaur IV	Hanged	Yabbashah II 106-117
Minotaur Nulla	Hanged P	Harabah II 225
Miracle Hand	Fool	Harabah II 199-224
Morbid Book	Priestess P	Harabah II P1
Muttering Tiara	Priestess	Thebel 2-21
Muttering Tiara B	Priestess	Tutorial
Muttering Tiara C	Priestess	Tutorial
Muttering Tiara D	Priestess P	Yabbashah II P1
Muttering Tiara E	Priestess P	Yabbashah II P3
Natural Dancer B	Lovers P	Tziah I P2
Necromachinery	Hermit P	Harabah I 193
Nemean Beast B	Strength P	Yabbashah II D1
Noble Seeker	Hermit	Adamah I 248-251
Obsessed Cupid	Lovers	Thebel 9-21
Obsessive Sand	Fortune P	Adamah I 230
