Date  DoW Daytime Evening
4/18	Mon	Cloud	Cloud
4/19	Tue	Clear	Cloud
4/20	Wed	Rain	Rain
4/21	Thu	Rain	Cloud
4/22	Fri	Cloud	Cloud
4/23	Sat	Clear	Clear
4/24	Sun	Clear	Clear
4/25	Mon	Cloud	Cloud
4/26	Tue	Clear	Clear
4/27	Wed	Cloud	Cloud
4/28	Thu	Cloud	Cloud
4/29	Fri	Clear	Clear
4/30	Sat	Clear	Clear
5/01	Sun	Clear	Clear
5/02	Mon	-	Clear
5/03	Tue	-	Cloud
5/04	Wed	-	Cloud
5/05	Thu	-	Clear
5/06	Fri	Cloud	Cloud
5/07	Sat	-	Clear
5/08	Sun	-	Cloud
5/09	Mon	Cloud/Pollen	Cloud/Pollen
5/10	Tue	Cloud/Pollen	Cloud/Pollen
5/11	Wed	-	-
5/12	Thu	-	-
5/13	Fri	-	-
5/14	Sat	-	Cloud
5/15	Sun	-	Cloud
5/16	Mon	-	-
5/17	Tue	-	Clear
5/18	Wed	Cloud	Cloud
5/19	Thu	Rain	Rain
5/20	Fri	Cloud/Pollen	Cloud/Pollen
5/21	Sat	Clear	Clear
5/22	Sun	Clear	Clear
5/23	Mon	Clear/Pollen	Clear/Pollen
5/24	Tue	Cloud	Cloud
5/25	Wed	Clear	Clear
5/26	Thu	Clear/Pollen	Clear/Pollen
5/27	Fri	Clear	Clear
5/28	Sat	Clear	Cloud
5/29	Sun	Clear	Cloud
5/30	Mon	-	Cloud
5/31	Tue	Cloud/Pollen	Cloud/Pollen
6/01	Wed	Clear/Pollen	Clear/Pollen
6/02	Thu	Clear/Pollen	Clear
6/03	Fri	Cloud	Cloud
6/04	Sat	Rain	Cloud
6/05	Sun	-	Clear
6/06	Mon	Rain	Cloud
6/07	Tue	Rain	Cloud
6/08	Wed	Clear	Cloud
6/09	Thu	-	Clear
6/10	Fri	-	Clear
6/11	Sat	-	-
6/12	Sun	Clear	Cloud
6/13	Mon	-	Rain/Season
6/14	Tue	-	Rain/Season
6/15	Wed	-	Rain/Season
6/16	Thu	-	Rain/Season
6/17	Fri	-	Rain/Season
6/18	Sat	Clear	Cloud
6/19	Sun	-	Clear
6/20	Mon	-	Cloud
6/21	Tue	Cloud	Rain/Season
6/22	Wed	Cloud	Cloud
6/23	Thu	Rain/Season	Cloud
6/24	Fri	Cloud	Rain/Season
6/25	Sat	Cloud	Cloud
6/26	Sun	Cloud	Cloud
6/27	Mon	Rain/Season	Rain/Season
6/28	Tue	Clear	Clear
6/29	Wed	Cloud	Cloud
6/30	Thu	Rain/Season	Cloud
7/01	Fri	Clear	Clear
7/02	Sat	Cloud	Cloud
7/03	Sun	Clear	Clear
7/04	Mon	Rain/Season	Cloud
7/05	Tue	Cloud	Cloud
7/06	Wed	Rain/Season	Rain/Season
7/07	Thu	Cloud	Cloud
7/08	Fri	Clear	Clear
7/09	Sat	-	Clear
7/10	Sun	-	Clear
7/11	Mon	-	Cloud
7/12	Tue	Clear	Cloud
7/13	Wed	-	-
7/14	Thu	-	-
7/15	Fri	-	-
7/16	Sat	-	-
7/17	Sun	-	Cloud
7/18	Mon	-	Cloud
7/19	Tue	Clear	Clear
7/20	Wed	-	Clear
7/21	Thu	-	Clear
7/22	Fri	-	Clear
7/23	Sat	-	Clear
7/24	Sun	-	-
7/25	Mon	-	Clear
7/26	Tue	Clear/Heat	Cloud
7/27	Wed	Rain/Torrent	Rain/Torrent
7/28	Thu	Clear/Heat	Cloud
7/29	Fri	Cloud	Rain/Torrent
7/30	Sat	Clear/Heat	Clear/Hot
7/31	Sun	Clear/Heat	Clear/Hot
8/01	Mon	Rain/Torrent	Clear
8/02	Tue	Clear/Heat	Clear
8/03	Wed	Rain/Torrent	Rain/Torrent
8/04	Thu	Clear/Heat	Clear/Hot
8/05	Fri	Cloud	Clear
8/06	Sat	Clear/Heat	Clear/Hot
8/07	Sun	Clear/Heat	Clear/Hot
8/08	Mon	Cloud	Rain/Torrent
8/09	Tue	Clear/Heat	Clear/Hot
8/10	Wed	Clear	Rain/Torrent
8/11	Thu	Rain/Torrent	Clear
8/12	Fri	Clear/Heat	Clear/Hot
8/13	Sat	Cloud	Clear
8/14	Sun	Cloud	Cloud
8/15	Mon	Clear/Heat	Clear/Hot
8/16	Tue	Rain/Torrent	Clear/Hot
8/17	Wed	Clear/Heat	Rain/Torrent
8/18	Thu	Rain/Torrent	Clear
8/19	Fri	Cloud	Rain
8/20	Sat	Clear	Clear
8/21	Sun	-	Clear
8/22	Mon	-	Clear/Hot
8/23	Tue	-	Clear/Hot
8/24	Wed	-	Clear/Hot
8/25	Thu	-	Clear/Hot
8/26	Fri	-	Rain/Torrent
8/27	Sat	-	Rain/Torrent
8/28	Sun	-	Clear
8/29	Mon	-	Clear
8/30	Tue	-	Clear/Hot
8/31	Wed	-	Clear
9/01	Thu	-	Clear
9/02	Fri	Cloud	Cloud
9/03	Sat	-	Clear
9/04	Sun	Clear	Clear
9/05	Mon	Cloud	Clear
9/06	Tue	Clear	-
9/07	Wed	-	-
9/08	Thu	-	-
9/09	Fri	-	-
9/10	Sat	-	-
9/11	Sun	-	-
9/12	Mon	-	-
9/13	Tue	-	-
9/14	Wed	-	-
9/15	Thu	-	-
9/16	Fri	-	-
9/17	Sat	-	-
9/18	Sun	-	Clear
9/19	Mon	Clear	Clear
9/20	Tue	Clear	Clear
9/21	Wed	Clear	Cloud
9/22	Thu	Cloud	Cloud
9/23	Fri	Clear	Cloud
9/24	Sat	Cloud	Cloud
9/25	Sun	Cloud	Cloud
9/26	Mon	Cloud	Rain
9/27	Tue	Clear	Clear
9/28	Wed	Clear	Clear
9/29	Thu	Clear	Clear
9/30	Fri	Cloud	Cloud
10/01	Sat	Clear	Cloud
10/02	Sun	Cloud	Cloud
10/03	Mon	-	-
10/04	Tue	Clear	Clear
10/05	Wed	Clear	Rain
10/06	Thu	Clear	Clear
10/07	Fri	Clear	Clear
10/08	Sat	Clear	Clear
