Date	Timeslot	Action
5/09	Daytime	The Bark and Bite of a Bully Request unlocked
5/24	Daytime	If Cats Disappeared from the City Availability unlocked
6/05	Evening	An Elderly's Meaning of Life Availability unlocked
6/06	Daytime	Sadism Is Just a Sign of Love Request unlocked
6/12	Evening	Sakaya Trader > Imported Protein for Decorative Whip
6/12	Evening	Shibuya Sports Shop > Imported Protein
6/18	Daytime	Phantom Theives VS Burglary Ring Request unlocked
7/01	Daytime	Shujin School Store > Yakisoba Pan
7/01	Evening	Sakaya Trader > Yakisoba Pan for Black Robe
7/10	Evening	The Lovesick Cyberstalking Girl Request unlocked
7/11	Evening	Sakaya Trader > Soothing Soba for Koedo Sword
7/11	Evening	Shibuya Convenience Store > Soothing Soba
7/26	Evening	Sakaya Trader > MRE Ration for Factorization Guide
7/26	Evening	Airsoft Shop Vending Meachine > MRE Ration
8/02	Daytime	We Aren't Just Your Slaves Availability unlocked
8/03	Daytime	Who's Been Assaulting People? Availability unlocked
8/04	Daytime	Calling for Justice for Cats Availability unlocked
8/07	Daytime	Kanda Church Priest > Exorcism Water
8/07	Evening	Sakaya Trader > Exorcism Water for Model Gun
8/22	Evening	Sakaya Trader > Melon Pan for Old Man's First
8/22	Evening	Ginza Line Shop > Melon Pan
8/29	Evening	Who's Muscling in Yongen-Jaya Request unlocked
9/02	Evening	Shibuya Central Street > Thief Mask x3, Phantom Wafers x3, Calling Postcard x1
9/04	Daytime	Winner's Don't Use Cheats Availability unlocked
9/04	Evening	Sakaya Trader > Phantom Wafers for Strength Up Ofuda x2
9/19	Evening	Sakaya Trader > Thief Mask for Magic UP Ofuda x2
10/02	Evening	Sakaya Trader > Calling Postcard for Strawberry Daifuku x2
10/14	Daytime	The Killer Who Cleans Up Trash Request unlocked
10/16	Evening	Sakaya Trader > Gear Girimehkala for Hot-Blooded Sword
10/16	Evening	Akihabara Gacha > Gear Girimehkala x2
10/30	Evening	Sakaya Trader > Mystery Stew for Angel Badge
10/30	Evening	Akihabara Trader > Gear Girimehkala for Mystery Stew
11/13	Daytime	Yongenjaya Grocery Store > Moon Dango
11/13	Evening	Sakaya Trader > Moon Dango for Kintaro Axe
11/25	Daytime	Swindling Old Folk is Pretty Low Request unlocked
11/27	Daytime	Yogenjaya Street Vendor > Legendary Yaki-Imo
11/27	Evening	Sakaya Trader > Legendary Yaki-Imo for Empowering Ofuda x3
12/05	Daytime	The Head Honcho in Showbiz Request unlocked
12/10	Daytime	Lady-Killer's Ballad Request unlocked
12/11	Evening	Sakaya Trader > Angel Tart for Feverant Bat
12/11	Evening	Shibuya Underground Mall > Angel Tart
1/13	Daytime	Kichijoji Chinese Stall > Special Chimaki
1/13	Daytime	A Small Cry for Help Request unlocked
1/13	Evening	Sakaya Trader > Special Chimaki for Strength Belt
1/14	Daytime	O My Young Sister, I Cry for You Request unlocked
1/22	Evening	Sakaya Trader > Supernova Burger for Old Man's Elixir
1/22	Evening	Big Bang Burger > Supernova Burger
1/27	Daytime	Fake-Man Show Availability unlocked
1/28	Daytime	An Idol and a Unicorn Availability unlocked
