en	included
Test	0
Cowardly Maya	1
Selfish Basalt	0
Rainy Sister 4	0
Slipping Hablerie	0
Magic Hand	0
Dancing Hand	0
Killing Hand	0
Almighty Hand	0
Laughing Table	1
Crying Table	0
Angry Table	0
Sleeping Table	1
Magical Magus	0
Wondrous Magus	1
Prime Magus	0
Grand Magus	0
Lying Hablerie	1
Forgotten Hablerie	0
Flattering Hablerie	0
Agitating Hablerie	1
Merciless Maya	0
Autonomic Basalt	1
Rainy Brother 4	0
Slipping Hablerie	0
Cloudgirl Pot	0
Rainy Pot	1
Yearning Pot	0
Mistress Pot	0
Spurious Book	1
Maniacal Book	0
Silent Book	0
Wrathful Book	0
Tranquil Idol	1
Liberating Idol	0
Leading Idol	0
Vehement Idol	1
Primitive Idol	0
Calm Pesce	1
Pursuing Pesce	0
Truth Pesce	0
Revelation Pesce	0
Frivolous Maya	0
Idle Basalt	1
Rainy Sister 3	0
blank	0
Venus Eagle	0
Dark Eagle	0
Jupiter Eagle	1
Eternal Eagle	0
Creation Relic	0
Constancy Relic	0
Growth Relic	0
Change Relic	1
Elegant Mother	1
Regal Mother	0
Pistil Mother	0
Divine Mother	0
Secret Bambino	0
Blooming Bambino	0
Avarice Bambino	0
Free Bambino	0
Haughty Maya	0
Large Basalt	0
Rainy Brother 3	0
lank	0
Grave Beetle	0
Adamant Beetle	0
Strength Beetle	0
Emperor Beetle	0
Burning Beetle	0
Avenger Knight	0
Champion Knight	0
Hell Knight	0
Intrepid Knight	1
Rainy Castle	0
Power Castle	0
Raindrop Castle	0
King Castle	1
Positive King	0
Egotistical King	0
Great King	0
Brilliant King	0
Indolent Maya	0
Dependent Basalt	0
Rainy Sister 2	0
blank	0
Trance Twins	1
Killer Twins	0
Rainbow Twins	0
Crazy Twins	0
Corrupt Tower	0
Dogmatic Tower	0
Apostate Tower	1
Fanatic Tower	0
Grudge Tower	0
Blue Sigil	0
Red Sigil	0
Green Sigil	0
Purple Sigil	1
Bribed Fuzz	1
Persistent Fuzz	0
Monomaniac Fuzz	0
Chaos Fuzz	0
Insidious Maya	0
Anguish Basalt	0
Rainy Brother 2	1
blank	0
Possessive Cupid	1
Blind Cupid	1
Devoted Cupid	0
Gracious Cupid	0
Soul Dancer	1
Ardent Dancer	0
Royal Dancer	0
Natural Dancer	1
Harem Dancer	0
Lustful Snake	1
Immoral Snake	0
Carnal Snake	0
Amorous Snake	1
Stoic Snake	0
Whimsical Papillon	1
Finicky Papillon	0
Fickle Papillon	0
Pure Papillon	0
Ill-Fated Maya	0
Insolent Basalt	0
Rainy Sister 1	0
blank	0
Rain Wheel	0
Mach Wheel	1
Brave Wheel	0
Battle Wheel	1
Wild Drive	0
Killer Drive	0
Slaughter Drive	1
Rampage Drive	1
Arcane Turret	1
Scarlet Turret	1
Wicked Turret	0
Hallowed Turret	0
Spastic Turret	0
Berserk Turret	0
Dismayed Panzer	0
Rash Panzer	0
Conceited Panzer	0
Ptarmigan Panzer	0
Visceral Maya	0
Source Basalt	0
Rainy Brother 1	1
blank	0
Rain Leg Musha	1
Rain End Musha	0
Raindrop Musha	0
Rain Wind Musha	0
Daring Gigas	0
Beastly Gigas	1
Furious Gigas	0
Mythical Gigas	0
Immortal Gigas	1
