en	included
BLANK	0
Attack	0
Agi	1
Agilao	1
Agidyne	1
Maragi	1
Maragion	1
Maragidyne	1
Fire Spray	0
Ragnarok	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Garu	1
Garula	1
Garudyne	1
Magaru	1
Magarula	1
Magarudyne	1
Cyclone	0
Panta Rhei	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Bufu	1
Bufula	1
Bufudyne	1
Mabufu	1
Mabufula	1
Mabufudyne	1
Icy Paradise	1
Niflheim	1
Frozen Spear	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Zio	1
Zionga	1
Ziodyne	1
Mazio	1
Mazionga	1
Maziodyne	1
BLANK	0
Thunder Reign	1
Keraunos	1
Thunder Clap	0
BLANK	0
BLANK	0
Megido	1
Megidola	1
Megidolaon	1
BLANK	0
Black Viper	1
Morning Star	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Hama	1
Hamaon	1
Mahama	1
Mahamaon	1
BLANK	0
BLANK	0
Samsara	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Mudo	1
Mudoon	1
Mamudo	1
Mamudoon	1
BLANK	0
BLANK	0
Die For Me!	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Pulinpa	1
Tentarafoo	1
Poisma	1
Poison Breath	1
Gambit	0
Flashbang	0
Dormina	1
Lullaby Song	1
Evil Touch	1
Evil Smile	1
BLANK	0
BLANK	0
Heavy Gi	0
Bracer of Might	0
Sacrificial Idol	0
Rudra Ring	0
Chakra Ring	0
Willow Wing	0
Snowy Wing	0
Enduring Wing	0
Blazing Flame	0
Frozen Stone	0
Storm Ring	0
Lightning Gloves	0
Radiant Halo	0
Ring of Darkness	0
Bladed Plume	0
Iron Pendant	0
Helmet	0
Omnipotent Orb	0
BLANK	0
Germanium Ring	0
Scapegoat	0
Body-Soul Reverse	0
St-Ma Reverse	0
St-En Reverse	0
St-Ag Reverse	0
St-Lu Reverse	0
Ma-En Reverse	0
Ma-Ag Reverse	0
Ma-Lu Reverse	0
En-Ag Reverse	0
En-Lu Reverse	0
Ag-Lu Reverse	0
BLANK	0
Physical Start	0
Fang Smash	1
Kidney Smash	1
Cleave	1
Twin Slash	1
End Shot	1
Double Shot	1
Mighty Swing	1
Fatal End	1
Silent Thrust	1
Swift Strike	1
Frost Edge	1
Zanshinken	1
Zanshin Strike	0
Death Needle	0
Guillotine	1
Tempest Slash	1
Bolt Strike	1
Holy Touch	1
Revenge Blow	1
Revenge Strike	0
Gigantic Fist	1
Single Shot	1
Scarecrow	1
Disarm	1
Makajam	1
Assault Shot	1
Primal Force	1
Heavy Shot	1
Broadshot	1
Myriad Arrows	1
Punishment	0
Assault Dive	1
Sleeper Punch	1
Teardrop	1
Buchikamashi	1
Deathbound	1
Blade of Fury	1
Glacial Edge	1
Vorpal Blade	1
Danse Macabre	1
Skull Cracker	1
Fusion Blast	1
Heat Wave	1
Light Wave	1
Paralysis	0
Brutal Slash	1
Photon Edge	1
Prana	1
Heaven's Blade	1
God's Hand	1
Angelic Trumpet	1
Hassou Tobi	1
Hailstorm	1
Arrow Rain	1
Aeon Rain	1
Blinding Slice	0
Toxic Slice	1
Dream Slice	0
Stunning Slice	1
Bane Slice	0
Gurentou	1
Tousatsujin	1
Raikouzan	0
Jinpugeki	1
Shinkuuha	1
Resseiha	1
Pralaya	1
Shadow Run	1
World's End	1
Raimeizan	1
Raijinzan	1
Gokuentou	1
Hientou	1
Reppu Strike	1
Kamikaze Strike	1
Hex Slice	0
Soul Slice	0
BLANK	0
Physical End	0
Support Start	0
Dia	1
Diarama	1
Diarahan	1
Recovery 	0
Life Goblet	0
Media	1
Mediarama	1
Mediarahan	1
Recarm	1
Samarecarm	1
Treatment	0
Renewal	0
Patra	1
Refresh	0
Me Patra	1
Mutudi	1
Becalm	0
Mamutudi	0
Amrita	0
BLANK	0
BLANK	0
Bestial Roar	1
Dragon Cry	1
Improved Link	0
Master Link	0
Shadow Cloak	0
Rampart	0
Pain-Eater	1
Safeguard	1
Body Shield	1
Life Wall	1
True Warden	0
Holy Blessing	0
Guiding Sword	0
Guarding Staff	0
Spotter	0
Critical Eye	1
Makara Boost	0
Matarukaja	1
Marakukaja	1
Masukukaja	1
Power Charge	1
Mind Charge	1
Fire Blessing	0
Ice Blessing	0
Elec Blessing	0
Wind Blessing	0
Quick Order	0
Daunting Stare	0
Piercing Stare	0
Tetra Down	0
Makara Down	0
Matarunda	1
Marakunda	1
Masukunda	1
Rear Guard	0
BLANK	0
BLANK	0
BLANK	0
Stagnant Air	1
Salome's Kiss	1
BLANK	0
BLANK	0
BLANK	0
Dekaja	1
Dekunda	1
Heat Sink	0
Makatora	0
Decoy Sign	0
Fire Wall	1
Wind Wall	1
Ice Wall	1
Elec Wall	1
Light Wall	1
Dark Wall	1
Tarukaja	1
Rakukaja	1
Sukukaja	1
Tarunda	1
Rakunda	1
Sukunda	1
Debilitate	0
Heat Riser	0
Mind's Eye	1
Door of Hades	0
Call to Hades	0
Calamity Seed	0
Calamity Advent	0
Lunar Blessing	0
BLANK	0
Healing Harp	0
Healing Harp	0
Lightning Smash	1
Thunder Smash	1
Scorching Blast	1
Nuclear Blast	1
Sonic Punch	1
Brain Shake	1
Moondrop	1
Stardrop	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Support End	0
Leader Start	0
All-Out Attack	0
Sutakora Foot	1
Analyze	0
Full Analysis	0
Snake Glare	1
Heroic Wind	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Harvest Prayer	1
Cornucopia	1
Healing Tide	0
Healing Tide	0
Renewal Ray	1
Renewal Aura	1
Healing Breeze	0
Spotlight	0
Yomi Return	1
Third Eye	0
Orb of Resolve	1
Orb of Power	1
Orb of Haste	1
Life Aid	1
Victory Cry	1
Safety Prayer	1
Calming Lull	1
Spotter	1
Magic Mallet	1
Fanfare	0
Into the Void	0
Tidal Wave	0
Oracle	0
Oracle	0
Oracle	0
Oracle	0
Oracle	0
Oracle	0
Healing Breeze	0
Absolute Camera	0
Prayer	0
Vigilant Sonar	0
Treasure Hunter	1
Fortune Hunter	1
Faerie's Vigil	1
Tengu's Vigil	1
Clairvoyance	1
Farsight	1
Purifying Rain	1
Material Cache	0
Zero Set	0
Eternal Melody	1
Lavish Gift	0
Holy Gift	0
BLANK	0
BLANK	0
Hunting Prayer	1
Endless Bounty	1
BLANK	0
Alleys of Light	1
Paths of Light	1
Roads of Light	1
BLANK	0
Start	0
Stun Circle	1
Magic Circle	0
Sleep Circle	1
Magic Circle	0
Poison Circle	1
Magic Circle	0
Panic Circle	1
Magic Circle	0
Silence Circle	1
Magic Circle	0
Decay Circle	1
Magic Circle	0
Lethargy Circle	1
Magic Circle	0
Summon Ghost	1
Summon Demon	1
Shura Tensei	1
Shura Revert	1
Shura Instincts	1
Orgia Mode	0
Mode Disengage	0
Heal Memento	0
Heal Memento	0
Free Memento	1
Free Memento	0
Pure Memento	1
Pure Memento	0
Blessing of Relief	0
Death Counter	1
Death Counter	0
Death Chaser	1
Death Chaser	0
Fierce Stance	0
Fierce Stance	0
Ferocious Stance	0
Guard Stance	0
Healing Step	0
Wide Dance	0
Rush Dance	0
BLANK	0
Flame Link	1
Flame Link	0
Frost Link	1
Frost Link	0
Bolt Link	1
Bolt Link	0
Gale Link	1
Gale Link	0
Pain Watcher	1
Auto-Cloak	0
Rush Dance	0
Splash Blessing	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
End	0
Start	0
Orgia Mastery	0
Spy Arts	0
Spy Expertise	0
Pose	0
Heroic Pose	0
Hermit Arts	0
Hermit Mastery	0
Bloody Vanguard	1
Deadly Vanguard	0
Empress Arts	0
Empress Mastery	0
Squire Card	0
Knight Card	0
Soldier Arts	0
Soldier Mastery	0
Kung Fu Arts	0
Kung Fu Mastery	0
Wild Arts	0
Wild Arts +	0
Brave Soul	0
Brave Soul +	0
Rebel Spirit	1
Uprising	0
