en	0
BLANK	0
Cowardly Maya	1
Selfish Basalt	1
Rainy Sister 4	0
Slipping Hablerie	0
Magic Hand	0
Dancing Hand	0
Killing Hand	0
Almighty Hand	0
Laughing Table	1
Crying Table	0
Angry Table	0
Sleeping Table	1
Magical Magus	0
Wondrous Magus	1
Prime Magus	0
Grand Magus	0
Lying Hablerie	1
Forgotten Hablerie	1
Flattering Hablerie	1
Agitating Hablerie	0
Merciless Maya	0
Autonomic Basalt	1
Rainy Brother 4	0
Slipping Hablerie	1
Cloudgirl Pot	0
Rainy Pot	1
Yearning Pot	0
Mistress Pot	0
Spurious Book	1
Maniacal Book	1
Silent Book	0
Wrathful Book	0
Tranquil Idol	1
Liberating Idol	0
Primitive Idol	1
Vehement Idol	1
Leading Idol	0
Calm Pesce	1
Pursuing Pesce	1
Truth Pesce	0
Revelation Pesce	0
Frivolous Maya	1
Idle Basalt	1
Rainy Sister 3	0
blank	0
Venus Eagle	0
Dark Eagle	0
Jupiter Eagle	1
Eternal Eagle	1
Creation Relic	1
Constancy Relic	1
Growth Relic	1
Change Relic	1
Elegant Mother	1
Regal Mother	1
Pistil Mother	1
Divine Mother	1
Secret Bambino	1
Blooming Bambino	0
Avarice Bambino	0
Free Bambino	1
Haughty Maya	0
Large Basalt	0
Rainy Brother 3	0
blank	0
Grave Beetle	0
Adamant Beetle	0
Strength Beetle	0
Emperor Beetle	0
UNUSED_Burning Beetle	0
Avenger Knight	0
Champion Knight	0
Hell Knight	0
Intrepid Knight	1
Rainy Castle	0
Power Castle	1
Raindrop Castle	0
King Castle	1
Positive King	0
Egotistical King	0
Great King	0
Brilliant King	0
Indolent Maya	0
Dependent Basalt	0
Rainy Sister 2	0
blank	0
Trance Twins	1
Killer Twins	0
Rainbow Twins	0
Crazy Twins	0
Cultic Tower	1
Dogmatic Tower	0
Apostate Tower	1
Fanatic Tower	1
Grudge Tower	1
Blue Sigil	1
Red Sigil	0
Green Sigil	0
Purple Sigil	0
Bribed Fuzz	1
Persistent Fuzz	0
Monomaniac Fuzz	1
Chaos Fuzz	1
Insidious Maya	1
Anguish Basalt	0
Rainy Brother 2	1
blank	0
Possessive Cupid	0
Blind Cupid	1
Devoted Cupid	1
Gracious Cupid	0
Soul Dancer	1
Ardent Dancer	0
Royal Dancer	0
Natural Dancer	1
Harem Dancer	0
Lustful Snake	1
Immoral Snake	0
Carnal Snake	0
Amorous Snake	1
Stoic Snake	0
Whimsical Papillon	1
Finicky Papillon	0
Fickle Papillon	1
Pure Papillon	1
Ill-Fated Maya	0
Insolent Basalt	0
Rainy Sister 1	0
blank	0
Rain Wheel	0
Mach Wheel	1
Brave Wheel	0
Battle Wheel	1
Wild Drive	0
Killer Drive	0
Slaughter Drive	1
Rampage Drive	1
Arcane Turret	1
Scarlet Turret	1
Wicked Turret	1
Hallowed Turret	0
Roaring Turret	1
Berserk Turret	0
Dismayed Panzer	1
Rash Panzer	0
Conceited Panzer	0
Ptarmigan Panzer	0
Visceral Maya	0
Source Basalt	0
Rainy Brother 1	1
blank	0
Rain Leg Musha	1
Rain End Musha	0
Raindrop Musha	0
Rain Wind Musha	0
Daring Gigas	1
Beastly Gigas	0
Furious Gigas	0
Mythical Gigas	0
Immortal Gigas	1
Nizam Beast	0
Enslaved Beast	1
Mighty Beast	0
Nemean Beast	0
El Dorado Beast	0
Inviting Nyogo	1
Blossom Nyogo	0
Valuing Nyogo	1
Silent Nyogo	0
Desirous Maya	1
Submissive Basalt	0
Rainy Sister 2	0
blank	0
Black Raven	1
Vicious Raven	0
Sonic Raven	0
Amenti Raven	1
Phantom Mage	1
Phantom Master	1
Phantom Lord	0
Phantom King	0
Phantom Hero	0
Death Seeker	0
Fate Seeker	0
Noble Seeker	0
Acheron Seeker	0
Shallow Okina	1
Reckless Okina	1
Reformed Okina	0
Moon Okina	0
Imprudent Maya	0
Accidental Basalt	0
Rainy Brother 2	0
blank	0
Bronze Dice	0
Iron Dice	1
Silver Dice	0
Platinum Dice	1
Mind Dice	1
Curse Dice	0
Death Dice	0
Reckoning Dice	0
Flowing Sand	1
Perpetual Sand	0
Infinite Sand	0
Eternal Sand	0
Miss Gene	0
Fail Gene	1
Happy Gene	1
Next Gene	1
Bigoted Maya	0
Convicted Basalt	0
Rainy Sister 1	0
blank	0
Justice Sword	1
Conviction Sword	0
Judgment Sword	0
Doom Sword	1
Heat Balance	1
Sky Balance	1
World Balance	1
Light Balance	1
Order Giant	1
Stasis Giant	0
Harmony Giant	0
Void Giant	0
Steel Machine	0
Dominating Machine	0
Solemn Machine	0
Heartless Machine	0
Devious Maya	1
Oppressive Basalt	0
Rainy Brother 1	0
blank	0
Minotaur IV	0
Minotaur III	0
Minotaur II	1
Minotaur I	1
Neo Minotaur	0
Jotun of Power	1
Jotun of Blood	0
Jotun of Evil	0
Jotun of Grief	1
Mighty Cyclops	0
Mad Cyclops	0
Fierce Cyclops	1
Chaos Cyclops	0
Brilliant Cyclops	0
Rebellious Cyclops	1
Protective Lexy	1
Dry Dexy	0
Earnest Calocy	0
Successful Junecy	0
Test Rare	0
blank	0
Shadow Yosuke	0
Kamoshidaman	1
Super Kamoshidaman	1
Right Carrot	1
Left Carrot	1
Kamoshidaman	0
Yosukesaurus	1
Herbivorous Dino A	1
Herbivorous Dino B	1
Herbivorous Dino C	1
Mother Computer	1
Mother Computer	0
Overseer	1
Doe's Right Arm	0
Doe's Left Arm	0
Doe's Head	0
Doe	1
Doe's Eye	0
Margaret R	1
Elizabeth R	1
Golden Beetle	1
Engage King	0
Soul Seeker	1
Guardian Machine	1
Justine	1
Theodore	1
Margaret	1
Elizabeth	1
Theodore R	1
Justine R	1
Caroline R	1
Caroline	1
Buster Girl	1
Chicken Kid	1
Tyranniqueen	1
Seidoptera	1
Chicken Kid	0
KNS-1000	1
SCM-8801	1
SCM-9821	1
Mr. Bear	1
Dwarven Family	1
Mr. Lumberjack	1
Phunbaba	1
Namtaru	1
Mr. Lumberjack	0
The Reaper	1
UIY-XXXX	1
Kamoshidaman R	1
Yosukesaurus R	1
Mother Computer R	1
Mother Computer	0
Doe R	1
Enlil	1
Enlil R	1
Enlil	0
Golden Hablerie	0
Golden Lexy	0
Wealth Hand	0
Treasure Hand	0
Supreme Hand	0
Opulent Hand	0
Luxury Hand	0
Glorious Hand	0
Burning Beetle	0
blank	0
Gorgeous King	1
Baleful King	1
Horror L Shadow	0
Fate Seeker	0
Indignant Machine	0
blank	0
Order Gigant	1
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
Gauntlet Hand	0
Sword Soldier	0
Spear Soldier	0
Staff Soldier	0
Wand Soldier	0
Emaciated Garcy	0
Execution Sword	0
Cursed Woman's Pot	0
Stupendous Relic	0
Gorgeous King	0
Spectral Raven	0
Praying Nyogo	0
Superstitious Okina	0
Lawless Fuzz	0
Stone Panzer	0
Harmonious Giant	0
Snowfall Musha	0
Calm Machine	0
Clear Sky Musha	0
Indignant Machine	0
Heaven's Giant	0
blank	0
blank	0
Test S Size	0
Test M Size	0
Test L Size	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
Golden Wheel	0
Golden Balance	0
Golden Table	0
Golden Book	0
Golden Bambino	0
Golden Dice	0
Golden Sword	0
Golden Goliath	0
Golden Snake	0
Golden Beast	0
Golden Samurai	0
blank	0
blank	0
blank	0
Ravenous Beast	1
Proud Authority	1
Lonely Manipulator	1
Generic Conformist	1
Smothering Parent	1
blank	0
Cowardly Maya	0
Lying Hablerie	0
Laughing Table	0
Selfish Basalt	0
Spurious Book	0
Bribed Fuzz	0
Heat Balance	0
Creation Relic	0
Cowardly Maya	0
Lying Hablerie	0
Spurious Book	0
Creation Relic	0
Laughing Table	0
Selfish Basalt	0
Bribed Fuzz	0
Heat Balance	0
Lying Hablerie	0
Creation Relic	0
Bribed Fuzz	0
Heat Balance	0
Blind Cupid	0
Enslaved Beast	0
Inviting Nyogo	0
Jupiter Eagle	0
Lustful Snake	0
Whimsical Papillon	0
Calm Pesce	0
Secret Bambino	0
Rainy Brother 2	0
Black Raven	0
Happy Gene	0
Minotaur I	0
Enslaved Beast	0
Calm Pesce	0
Black Raven	0
Minotaur I	0
Mach Wheel	0
Rampage Drive	0
Phantom Mage	0
Flowing Sand	0
Rainy Pot	0
Trance Twins	0
Shallow Okina	0
Tranquil Idol	0
Protective Lexy	0
Wondrous Magus	0
Elegant Mother	0
Intrepid Knight	0
Soul Dancer	0
Rainy Pot	0
Protective Lexy	0
Intrepid Knight	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
Blessbane Lexy	1
Elecbane Lexy	1
Windbane Lexy	1
Icebane Lexy	1
Nukebane Lexy	1
Psybane Lexy	1
Icevolt Bane Wheel	1
Windfire Bane Wheel	1
Strikebane Hablerie	0
Firebane Balance	1
Icebane Balance	1
Elecbane Balance	1
Windbane Balance	1
Psybane Balance	1
Nukebane Balance	1
Blessbane Book	1
Cursebane Book	1
Strikebane Table	1
Icefire Bane Sword	1
Windvolt Bane Dice	1
Nukebane Bambino	1
Aetherbane Snake	1
Egobane Beast	1
Omnibane Doll	1
Bane Samurai	1
Bane Sentinel	1
Bane Reaver	1
Bane Warrior	1
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
