en	included
Izanagi	1
Izanagi-no-Okami	0
Orpheus	1
Orpheus Telos	0
Jiraiya	1
Susano-o	0
Tomoe	1
Suzuka Gongen	0
Konohana Sakuya	1
Amaterasu	0
Himiko	1
Kanzeon	0
Take-Mikazuchi	1
Rokuten Maou	0
Sukuna-Hikona	1
Yamato Takeru	0
Kintoki-Douji	1
Kamui	0
Io	1
Isis	0
Hermes	1
Trismegistus	0
Polydeuces	1
Caesar	0
Penthesilea	1
Artemisia	0
Lucia	1
Juno	0
Palladion	1
Athena	0
Nemesis	1
Kala-Nemi	0
Cerberus	1
Cerberus	0
Castor	1
Castor	0
Orpheus	1
Messiah	0
Arsene	1
Satanael	0
Captain Kidd	1
Seiten Taisei	0
Carmen	1
Hecate	0
Zorro	1
Mercurius	0
Goemon	1
Kamu Susano-o	0
Johanna	1
Anat	0
Necronomicon	1
Prometheus	0
Milady	1
Astarte	0
Robin Hood	1
Robin Hood	0
