en	included
BLANK	0
Attack	0
Agi	1
Agilao	1
Agidyne	1
Maragi	1
Maragion	1
Maragidyne	1
Fire Spray	0
Ragnarok	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Garu	1
Garula	1
Garudyne	1
Magaru	1
Magarula	1
Magarudyne	1
Cyclone	0
Panta Rhei	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Bufu	1
Bufula	1
Bufudyne	1
Mabufu	1
Mabufula	1
Mabufudyne	1
Icy Paradise	1
Niflheim	1
Frozen Spear	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Zio	1
Zionga	1
Ziodyne	1
Mazio	1
Mazionga	1
Maziodyne	1
BLANK	0
Thunder Reign	1
Keraunos	0
Thunder Clap	0
Empyrean Storm	1
Blank	0
Megido	1
Megidola	1
Megidolaon	1
BLANK	0
Black Viper	1
Morning Star	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Hama	1
Hamaon	1
Mahama	1
Mahamaon	1
BLANK	0
BLANK	0
Samsara	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Mudo	1
Mudoon	1
Mamudo	1
Mamudoon	1
BLANK	0
BLANK	0
Die For Me!	1
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Pulinpa	1
Tentarafoo	1
Poisma	1
Poison Breath	1
Blank	0
Blank	0
Dormina	1
Lullaby Song	1
Evil Touch	1
Evil Smile	1
BLANK	0
BLANK	0
Heavy Gi	0
Bracer of Might	0
Sacrificial Idol	0
Rudra Ring	0
Chakra Ring	0
Willow Wing	0
Snowy Wing	0
Enduring Wing	0
Blazing Flame	0
Frozen Stone	0
Storm Ring	0
Lightning Gloves	0
Radiant Halo	0
Ring of Darkness	0
Bladed Plume	0
Iron Pendant	0
Helmet	0
Omnipotent Orb	0
BLANK	0
Germanium Ring	0
Scapegoat	0
Body-Soul Ring	0
St-Ma Reverse	0
St-En Reverse	0
St-Ag Reverse	0
St-Lu Reverse	0
Ma-En Reverse	0
Ma-Ag Reverse	0
Ma-Lu Reverse	0
En-Ag Reverse	0
En-Lu Reverse	0
Ag-Lu Reverse	0
Blank	0
BLANK	0
Fang Smash	1
Kidney Smash	1
Giant Slice	1
Twin Slash	1
Leg Reaper	1
Triple Down	1
Mighty Swing	1
Achilles Reaper	1
Silent Thrust	1
Rampage	1
Frost Edge	1
Zanshinken	1
Zanshin Strike	0
Death Needle	1
Guillotine	1
Tempest Slash	1
Mind Strike	1
Holy Touch	1
Revenge Blow	1
Hammer Strike	0
Arm Chopper	1
Single Shot	1
Scarecrow	1
Disarm	1
Makajam	1
Assault Shot	1
Primal Force	1
Weapon Crusher	1
Broadshot	1
Myriad Arrows	1
Punishment	1
Assault Dive	1
Sleeper Punch	1
Armor Splitter	1
Lunge	1
Deathbound	1
Blade of Fury	1
Glacial Edge	1
Vorpal Blade	1
Danse Macabre	1
Headbutt	1
Fusion Blast	1
Heat Wave	1
Light Wave	1
Blank	0
Brutal Slash	1
Photon Edge	1
Prana	1
Heaven's Blade	1
God's Hand	1
Angelic Trumpet	1
Hassou Tobi	1
Hailstorm	1
Arrow Rain	1
Aeon Rain	1
Beheading Cut	0
Blank	0
BLANK	0
Blank	0
Poison Skewer	1
Gurentou	1
Tousatsujin	1
Raikouzan	1
Jinpugeki	1
Shinkuuha	1
Resseiha	1
Pralaya	1
Shadow Run	1
World's End	1
Raimeizan	1
Raijinzan	1
Gokuentou	1
Hientou	1
Reppu Strike	1
Kamikaze Strike	1
Blank	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Dia	1
Diarama	1
Diarahan	1
Line Heal	0
Life Goblet	0
Media	1
Mediarama	1
Mediarahan	1
Recarm	1
Samarecarm	1
Treatment	0
Renewal	0
Patra	1
Refresh	1
Me Patra	1
Mutudi	1
Becalm	0
Mamutudi	1
Amrita	1
BLANK	0
BLANK	0
Bestial Roar	1
Dragon Cry	1
Improved Link	0
Master Link	0
Blank	0
Blank	0
Pain-Eater	0
Safeguard	1
Line Guard	1
All Guard	1
Blank	0
Holy Blessing	0
Warrior Song	0
Strike Guard	0
Rebel Vanguard	1
Critical Eye	1
Revolt Vanguard	1
Matarukaja	1
Marakukaja	1
Masukukaja	1
Power Charge	1
Mind Charge	1
Fire Blessing	0
Ice Blessing	0
Elec Blessing	0
Wind Blessing	0
Blank	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Matarunda	1
Marakunda	1
Masukunda	1
Blank	0
Fury Order	1
Focus Order	1
Blank	0
Binding Aura	1
Salome's Kiss	1
BLANK	0
BLANK	0
BLANK	0
Dekaja	1
Dekunda	1
Blank	0
Psy Screen	1
Nuclear Screen	1
Fire Screen	1
Wind Screen	1
Ice Screen	1
Elec Screen	1
Bless Screen	1
Curse Screen	1
Tarukaja	1
Rakukaja	1
Sukukaja	1
Tarunda	1
Rakunda	1
Sukunda	1
Debilitate	1
Heat Riser	1
True Critical Eye	1
Door of Hades	1
Call to Hades	0
Calamity Seed	1
Calamity's Advent	0
Lunar Blessing	1
BLANK	0
Healing Harp	1
Blank	0
Mental Smash	1
Psycho Smash	1
Scorching Blast	1
Nuclear Blast	1
Sleep Strike	1
Brain Shake	1
Armor Breaker	1
Armor Destroyer	1
Blank	0
BLANK	0
BLANK	0
Blank	0
True Analysis	1
True Analysis	0
Zero Shift	1
Zero Shift	0
Encore	1
Encore	0
Unused SP Skill	0
Oracle	1
All-out Attack	0
Sutakora Foot	0
Analyze	0
Full Analysis	0
Snake Glare	1
Heroic Wind	1
Unyielding Heart	0
Let Me Reach Them	0
Hikari's Feelings	0
Healing Tide	1
Harvest Prayer	1
Cornucopia	0
Healing Tide	0
Blank	0
Renewal Ray	1
Renewal Aura	0
Mini Recovery	1
Spotlight	1
Yomi Return	1
Third Eye	0
Orb of Resolve	1
Orb of Power	1
Orb of Haste	1
Life Aid	1
Victory Cry	1
Safety Prayer	1
Calming Lull	1
Spotter	1
Magic Mallet	1
Final Guard	1
Final Guard	0
Tidal Wave	0
Oracle	0
Oracle	0
Oracle	0
Oracle	0
Oracle	0
Oracle	0
Mini Recovery	0
UNUSED_Absolute Camera	0
Prayer	0
Sneak Guide	1
Treasure Hunter	1
Fortune Hunter	1
Faerie's Vigil	1
Tengu's Vigil	1
Clairvoyance	1
Farsight	1
Purifying Rain	1
Treasure Skimmer	1
Zero Set	0
Eternal Melody	1
On Stage	1
Escape Route	1
Hikari's Cheer	0
Risk Management	1
Hunting Prayer	1
Endless Bounty	0
Third Eye	1
Cheer March	1
Paths of Light	1
Roads of Light	1
Blank	0
Blank	0
Stun Circle	1
Magic Circle	0
Sleep Circle	1
Magic Circle	0
Poison Circle	1
Magic Circle	0
Confusion Circle	1
Magic Circle	0
Silence Circle	1
Magic Circle	0
Decay Circle	1
Magic Circle	0
Lethargy Circle	1
Magic Circle	0
Beast Summon	1
Spirit Summon	1
Shura Tensei	1
Shura Revert	1
Shura Instincts	1
Orgia Mode	0
Mode Disengage	0
Heal Memento	0
Heal Memento	0
Free Memento	1
Free Memento	1
Pure Memento	1
Pure Memento	1
Blessing of Relief	0
Death Counter	1
Death Counter	1
Death Chaser	1
Death Chaser	1
Fierce Stance	0
Fierce Stance	0
Ferocious Stance	0
Guard Stance	0
Blank	0
BLANK	0
BLANK	0
Blank	0
Firestrike Link	1
Fire Link	0
Icestrike Link	1
Ice Link	0
Elecstrike Link	1
Elec Link	0
Windstrike Link	1
Wind Link	0
Pain Watcher	0
Strike Link	1
Smash Link	0
Psystrike Link	1
Psy Link	0
Nucleostrike Link	1
Nuclear Link	0
Blank	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
BLANK	0
Blank	0
Orgia Mastery	0
Spy Arts	0
Spy Expertise	0
Pose	0
Heroic Pose	0
Hermit Arts	0
Hermit Mastery	0
Double Attack	0
Deadly Vanguard	0
Empress Arts	0
Empress Mastery	0
Squire Card	0
Fool Card	1
Soldier Arts	0
Soldier Mastery	0
Kung Fu Arts	0
Kung Fu Mastery	0
Wild Arts	0
Wild Arts+	0
Brave Soul	0
Brave Soul+	0
Royal Song	0
Circle Mastery	0
