stflg	exsts	level	minorno	minorno_d	bunriid	aishou	kuda_id	seikaku	magcost	atkpower	actcounter	hp	maxhp	mp	maxmp	str	vit	tec	luck	skill0	skill1	skill2	skill3	skill4	skill5	skill6	skill7	skill8	skill9	skill10	skill11	skill12	skill13	skill14	skill15	memskilllevel0	memskilllevel1	memskillid0	memskillid1	setmotionno	keisyo_type	keisyo_form	getexp	getmoney	getmag	getchuusei	itemid0	itemid1	itemid2	itemid3	itempara0	itempara1	itempara2	itempara3	itemper0	itemper1	itemper2	itemper3	frid_area_r	enmy_area_r	kucyo	huumaID	level_sa	damage_per	talkskill	character	mskskill	boudbgn	attrinvtime	vice_val	weak_shild_count	weak_shild_config	atk_raito	s_wince	l_wince
8192	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	-1	30	0	0	255	0	0	2400	0	0	100	0	0
8192	0	12	1	0	0	1	1	0	20	20	180	209	209	162	162	5	7	12	7	1	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	265	0	0	3	3	9	0	0	6	0	0	0	0	0	0	0	0	99	0	0	0	0	0	10	0	-1	30	1	2	8	0	0	2400	0	0	100	55	105
8192	0	24	2	0	0	2	1	0	46	10	180	319	319	261	261	10	6	16	11	1	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	259	0	0	3	3	84	0	0	4	0	0	0	0	0	0	0	0	99	0	0	0	0	0	3	0	-1	30	2	3	16	0	0	2400	0	0	100	58	108
8192	0	34	3	0	0	3	1	0	78	20	90	469	469	213	213	24	13	8	8	2	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	252	0	0	1	7	176	0	0	5	0	0	0	0	0	0	0	0	99	0	0	0	0	0	7	0	-1	30	8	2	255	0	0	2400	0	0	100	62	112
8192	0	54	4	0	0	4	1	0	104	20	270	628	628	342	342	34	15	15	9	2	152	6	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	240	0	0	1	3	222	0	0	3	0	0	0	0	0	0	0	0	99	0	0	0	0	0	6	0	-1	30	9	2	255	0	0	2400	0	0	100	66	116
8192	0	29	5	0	0	5	1	0	58	20	90	423	423	340	340	7	12	20	9	529	118	3	8	0	0	0	0	0	0	0	0	0	0	0	0	100	100	250	250	0	2	1	117	0	0	3	0	0	0	0	0	0	0	0	99	0	0	0	0	0	5	0	-1	30	7	1	8	0	0	2400	0	0	100	61	111
8192	0	39	6	0	0	6	1	0	88	20	90	481	481	420	420	14	11	23	10	5	529	99	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	819	0	0	8	7	134	0	0	4	0	0	0	0	0	0	0	0	99	0	0	0	0	0	14	0	-1	30	1	2	8	0	0	2400	0	0	100	62	112
8192	0	45	7	0	0	7	4	0	90	20	270	572	572	375	375	17	15	21	12	49	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	830	0	0	9	1	221	0	0	3	0	0	0	0	0	0	0	0	99	0	0	0	0	0	8	0	-1	30	9	1	8	0	0	2400	0	0	100	64	114
8192	0	66	8	0	0	8	1	0	132	10	90	742	742	372	372	32	22	18	14	4	114	152	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	253	0	0	7	7	225	0	0	2	0	0	0	0	0	0	0	0	99	0	0	0	0	0	4	0	-1	30	9	3	16	0	0	2400	0	0	100	69	119
8192	0	28	9	0	0	9	2	0	56	20	90	390	390	288	288	11	9	17	10	154	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	814	0	0	4	1	0	0	0	5	0	0	0	0	0	0	0	0	99	0	0	0	0	0	6	0	-1	30	3	3	255	0	0	2400	0	0	100	60	110
8192	0	7	10	0	0	10	2	0	12	10	90	141	141	114	114	6	5	9	6	16	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	845	0	0	2	7	14	0	0	6	0	0	0	0	0	0	0	0	99	0	0	0	0	0	5	0	-1	30	3	2	8	0	0	2400	0	0	100	54	104
8192	0	16	11	0	0	11	2	2	32	20	90	245	245	210	210	7	8	13	7	18	97	545	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	260	0	0	4	3	0	0	0	6	0	0	0	0	0	0	0	0	99	0	0	0	400	1000	10	0	-1	30	1	2	255	0	0	2400	0	0	100	56	106
8192	0	46	12	0	0	12	2	0	86	20	270	622	622	261	261	19	24	12	10	152	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	260	0	0	1	3	0	0	0	5	0	0	0	0	0	0	0	0	99	0	0	0	0	0	6	0	-1	30	8	3	255	0	0	2400	0	0	100	66	116
8192	0	2	13	0	0	13	1	0	6	20	90	80	80	78	78	5	5	6	5	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	246	0	0	3	3	0	0	0	7	0	0	0	0	0	0	0	0	99	0	0	0	0	0	2	0	-1	30	4	3	255	0	0	2400	0	0	100	52	102
8192	0	53	14	0	0	14	2	0	106	20	90	662	662	459	459	16	20	25	11	100	128	20	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	830	0	0	4	7	0	0	0	2	0	0	0	0	0	0	0	0	99	0	0	0	0	0	8	0	-1	30	4	3	255	0	0	2400	0	0	100	67	117
