usetype	flg	side	type	sklid	gold	max_num	iconType	sortid	sortSub	sortKon	sortMasyou
1	0	1	0	0	0	99	0	0	999	999	999
6	2	16385	1	320	150	99	8	1	1	2	999
6	2	16385	1	321	800	12	8	2	1	2	999
6	2	16385	1	322	250	24	8	3	1	2	999
2	2	16385	1	323	1800	12	8	4	1	2	999
6	2	16385	1	324	4000	9	8	5	1	2	999
6	2	16388	1	325	10000	9	8	6	1	2	999
6	2	4097	1	326	300	30	8	8	1	2	999
6	2	4097	1	327	800	30	8	9	1	2	999
22	0	4097	1	0	8000	99	8	7	1	2	999
6	2	16388	1	329	25000	9	8	10	1	2	999
6	2	16385	1	330	15000	9	8	11	1	2	999
6	2	4097	1	331	10000	9	8	12	1	2	999
6	2	16385	1	332	250	9	8	13	1	2	999
6	2	16385	1	333	250	9	8	14	1	2	999
6	2	16385	1	334	250	9	8	15	1	2	999
6	2	16385	1	335	650	9	8	16	1	2	999
6	2	16385	1	336	800	9	8	17	1	2	999
6	2	16385	1	337	5000	9	8	18	1	2	999
20	2	16385	1	338	10	99	9	19	2	3	999
20	2	16385	1	339	10	99	9	20	2	3	999
20	2	16385	1	340	10	99	9	21	2	3	999
20	2	16385	1	341	10	99	9	22	2	3	999
20	2	18433	257	342	300	99	11	30	4	5	999
20	2	18433	257	343	400	99	11	23	4	5	999
20	2	18433	257	344	400	99	11	24	4	5	999
20	2	18433	257	345	400	99	11	25	4	5	999
20	2	18433	257	346	400	99	11	26	4	5	999
20	2	18433	257	347	400	99	11	27	4	5	999
20	2	18433	257	348	400	99	11	28	4	5	999
20	2	18433	257	349	400	99	11	29	4	5	999
20	2	18433	257	350	700	99	11	31	4	5	999
20	2	18433	257	351	1500	99	11	32	4	5	999
1	2	4097	1	352	2000	9	1	33	999	999	999
4	2	4097	1	353	1000	99	12	34	5	6	999
4	2	4097	1	354	1000	99	12	35	5	6	999
4	2	4097	1	355	10	99	12	36	5	6	999
4	2	18433	1	356	10	9	12	37	999	999	999
6	3	16385	1	357	2000	9	12	39	5	6	999
4	0	1	0	0	1000	9	12	38	5	6	999
1	0	1	0	0	0	99	12	40	999	999	999
1	0	1	0	0	0	99	12	41	999	999	999
1	0	1	0	0	0	99	12	42	999	999	999
1	0	1	0	0	0	99	12	43	999	999	999
1	0	1	0	0	0	99	12	44	999	999	999
4	0	1	128	0	30000	1	14	45	8	999	999
4	0	1	128	0	40000	1	14	46	8	999	999
