s_type	para	attr	attrtime	transfer	type	area	useflg	count	flg	n0	n1	max_damage	muteki_time	badst	percentage	para2	equipID	hitbk_cnt	hitbk_rate	flg2	weapontype	fuyoeff	shild_dmg	light_attack_mag	sortId	sortType	coolTime	wincePow
1	0	0	300	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	999	-1	1
16	12	4	300	33	3	32769	1	1	1	12	0	9999	0	16	100	0	0	10	12	33619968	0	0	3	0	1	3	-1	13
16	24	4	300	33	3	32770	1	1	1	18	0	9999	0	16	100	0	0	10	12	33619968	0	0	10	0	2	3	-1	18
16	18	4	300	33	3	32962	1	1	1	15	0	9999	0	16	100	0	0	10	12	65536	0	0	3	0	3	3	-1	15
16	40	4	300	33	3	32962	1	1	1	24	0	9999	0	16	100	0	20480	10	12	65536	0	0	10	0	4	3	-1	24
16	30	4	300	33	3	32769	1	1	134217729	17	15	9999	0	16	100	0	0	10	12	33619968	0	0	5	0	6	3	-1	17
16	40	4	300	33	3	32769	1	1	134217729	23	15	9999	0	16	100	3	0	10	12	33619968	0	0	5	0	7	3	-1	23
16	50	4	300	34	3	32770	1	3	1	12	0	9999	5	16	100	0	0	10	12	65536	0	0	3	0	8	3	-1	6
32	3	4	300	33	15	32770	1	1	81921	20	0	9999	0	16	100	0	0	10	12	65536	0	0	14	0	163	3	20	30
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	9	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	10	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	11	999	-1	1
16	0	0	0	0	3	32770	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	12	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	13	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	14	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	15	999	-1	1
16	12	8	300	65	3	32769	1	1	1	12	0	9999	0	2	100	0	0	15	20	33619968	0	0	3	0	16	4	-1	13
16	24	8	300	65	3	32770	1	1	1	18	0	9999	0	2	100	0	0	15	20	33619968	0	0	10	0	17	4	-1	18
16	18	8	300	65	3	32898	1	1	1	15	0	9999	0	2	100	0	0	15	20	65536	0	0	3	0	18	4	-1	15
