m_atk	m_type	hp	maxhp	mp	maxmp	str	vit	tec	luck	m_hojo	BaseItem0	BaseItem1	BaseItem2	BaseItem3	BaseItem4	BaseItem5	BaseItem6	MaterialID0	MaterialID1	MaterialID2	MaterialID3	MaterialNum0	MaterialNum1	MaterialNum2	MaterialNum3	gold	effectcolor	treeStage	branchNo
0	1	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	1	0	0	0	0	0	0	1	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1	0	1
150	2	0	0	0	0	0	1	0	1	191	145	0	0	0	0	0	0	293	314	0	0	2	1	0	0	1500	2	1	2
150	1	0	0	0	0	0	0	1	1	158	145	0	0	0	0	0	0	272	279	0	0	2	1	0	0	1500	3	1	3
150	3	0	0	0	0	2	0	0	0	312	145	0	0	0	0	0	0	300	286	0	0	2	1	0	0	1500	8	1	4
180	2	0	0	0	0	0	1	1	1	1386	146	0	0	0	0	0	0	294	314	0	0	1	2	0	0	3200	2	2	5
180	1	0	0	0	0	0	0	2	1	1388	147	0	0	0	0	0	0	273	279	0	0	1	2	0	0	3200	3	2	6
180	3	0	0	0	0	3	0	0	0	1384	148	0	0	0	0	0	0	301	286	0	0	1	2	0	0	3200	8	2	7
210	2	0	0	0	0	0	2	1	1	163	149	0	0	0	0	0	0	294	315	0	0	2	2	0	0	5600	2	3	8
210	1	0	0	0	0	0	0	2	2	156	150	0	0	0	0	0	0	273	280	0	0	2	2	0	0	5600	3	3	9
210	3	10	0	0	0	3	0	0	0	313	151	0	0	0	0	0	0	301	287	0	0	2	1	0	0	5600	8	3	10
240	2	0	0	0	0	0	2	2	1	1443	152	0	0	0	0	0	0	294	315	293	0	1	2	2	0	8700	2	4	12
240	2	0	0	0	0	0	3	1	1	1444	152	0	0	0	0	0	0	315	308	321	0	2	2	1	0	8700	2	4	11
240	1	0	0	0	0	0	0	2	3	1445	153	0	0	0	0	0	0	273	280	272	0	2	1	2	0	8700	3	4	13
255	1	0	0	0	0	0	0	3	2	1051	153	0	0	0	0	0	0	280	279	321	0	2	3	1	0	9400	3	4	14
240	3	20	0	0	0	3	0	0	0	1442	154	0	0	0	0	0	0	301	287	307	0	2	2	2	0	8700	8	4	15
