ItemID	Rate	Level	NumMax
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
272	15	1	1
519	10	1	1
707	10	1	1
0	0	0	0
273	15	1	1
597	10	1	1
700	10	1	1
0	0	0	0
273	15	1	1
583	10	1	1
698	10	1	1
0	0	0	0
274	15	1	1
513	10	1	1
722	10	1	1
0	0	0	0
273	15	1	1
599	10	1	1
742	10	1	1
0	0	0	0
273	15	1	1
516	10	1	1
714	10	1	1
0	0	0	0
295	15	1	1
552	10	1	1
733	10	1	1
0	0	0	0
275	15	1	1
515	10	1	1
699	10	1	1
0	0	0	0
280	15	1	1
583	10	1	1
719	10	1	1
0	0	0	0
279	15	1	1
597	10	1	1
721	10	1	1
0	0	0	0
279	15	1	1
527	10	1	1
701	10	1	1
0	0	0	0
281	15	1	1
526	10	1	1
701	10	1	1
0	0	0	0
272	15	1	1
512	10	1	1
735	10	1	1
0	0	0	0
281	15	1	1
576	10	1	1
733	10	1	1
0	0	0	0
280	15	1	1
526	10	1	1
725	10	1	1
0	0	0	0
281	15	1	1
528	10	1	1
698	10	1	1
0	0	0	0
280	15	1	1
527	10	1	1
727	10	1	1
0	0	0	0
282	15	1	1
587	10	1	1
711	10	1	1
0	0	0	0
286	15	1	1
582	10	1	1
709	10	1	1
0	0	0	0
287	15	1	1
610	10	1	1
702	10	1	1
0	0	0	0
288	15	1	1
539	10	1	1
740	10	1	1
0	0	0	0
286	15	1	1
583	10	1	1
716	10	1	1
0	0	0	0
288	15	1	1
541	10	1	1
718	10	1	1
0	0	0	0
288	15	1	1
542	10	1	1
717	10	1	1
0	0	0	0
288	15	1	1
600	10	1	1
741	10	1	1
0	0	0	0
289	15	1	1
541	10	1	1
720	10	1	1
0	0	0	0
286	15	1	1
538	10	1	1
702	10	1	1
0	0	0	0
293	15	1	1
593	10	1	1
703	10	1	1
0	0	0	0
293	15	1	1
551	10	1	1
710	10	1	1
0	0	0	0
294	15	1	1
553	10	1	1
719	10	1	1
0	0	0	0
295	15	1	1
557	10	1	1
710	10	1	1
0	0	0	0
295	15	1	1
554	10	1	1
741	10	1	1
0	0	0	0
314	15	1	1
582	10	1	1
734	10	1	1
0	0	0	0
294	15	1	1
586	10	1	1
742	10	1	1
0	0	0	0
294	15	1	1
612	10	1	1
740	10	1	1
0	0	0	0
296	15	1	1
617	10	1	1
703	10	1	1
0	0	0	0
300	15	1	1
582	10	1	1
