name	devilId	nameId0	nameId1	nameId2	nameId3	nameId4	nameId5	nameId6	nameId7	nameId8	nameId9	nameId10	nameId11	nameId12
ライドウ	0	1040	790	780	790	780	790	560	1110	7	8	9	10	11
ジャックランタン	1	500	360	350	360	350	360	480	860	7	8	9	10	11
オシチ	2	300	720	710	720	720	720	60	510	7	8	9	10	11
ドゥン	3	650	260	250	260	250	270	960	1090	7	8	9	10	11
ムスッペル	4	970	550	540	540	550	540	730	160	7	8	9	10	11
サティ	5	440	850	850	850	840	850	1030	690	7	8	9	10	11
ソロネ	6	560	960	990	980	950	980	1340	700	7	8	9	10	11
ヒトコトヌシ	7	830	290	280	290	280	290	1260	30	7	8	9	10	11
ベリアル	8	860	140	130	140	130	150	180	390	7	8	9	10	11
ジュボッコ	9	510	370	360	370	360	370	1000	1240	7	8	9	10	11
アズミ	10	30	120	120	120	110	120	110	300	7	8	9	10	11
ジャックフロスト	11	490	350	340	350	340	350	490	870	7	8	9	10	11
タラスク	12	600	930	940	940	920	940	1040	1020	7	8	9	10	11
ウコバク	13	200	1010	1020	1020	1000	1020	1150	710	7	8	9	10	11
アラハバキ	14	60	90	90	90	80	90	410	760	7	8	9	10	11
ナーガラジャ	15	690	570	810	560	570	570	740	410	7	8	9	10	11
オオヤマツミ	16	280	730	720	730	730	730	230	70	7	8	9	10	11
オオクニヌシ	17	260	680	660	670	680	670	220	90	7	8	9	10	11
ヤマタノオロチ	18	1000	1050	1050	1050	1040	1050	140	50	7	8	9	10	11
ライジュウ	19	1030	810	800	810	800	810	570	1120	7	8	9	10	11
オボログルマ	20	330	660	640	650	660	650	620	1300	7	8	9	10	11
ヌエ	21	740	640	620	630	640	630	810	220	7	8	9	10	11
ツチグモ	22	620	980	1000	990	970	990	1110	60	7	8	9	10	11
オオミツヌ	23	270	690	670	680	690	680	1280	800	7	8	9	10	11
パールヴァティー	24	780	740	730	740	740	740	840	480	7	8	9	10	11
ミシャクジサマ	25	960	530	520	520	530	520	1290	790	7	8	9	10	11
トール	26	670	940	960	950	930	950	1120	310	7	8	9	10	11
アガシオン	27	10	20	20	20	20	20	30	570	7	8	9	10	11
モー･ショボー	28	980	560	550	550	560	550	700	840	7	8	9	10	11
ポルターガイスト	29	910	760	750	760	760	760	940	1310	7	8	9	10	11
ホウオウ	30	900	220	210	220	210	230	350	1150	7	8	9	10	11
クラマテング	31	410	390	380	390	390	390	90	1210	7	8	9	10	11
パワー	32	800	770	770	770	370	770	790	740	7	8	9	10	11
レギオン	33	1120	430	420	430	430	430	270	900	7	8	9	10	11
イチモクレン	34	140	300	290	300	290	300	1250	20	7	8	9	10	11
アンズー	35	110	60	60	60	50	60	120	290	7	8	9	10	11
サンダルフォン	36	450	840	840	840	830	840	950	1080	7	8	9	10	11
オバリヨン	37	320	650	630	640	650	640	160	650	7	8	9	10	11
オニ	38	310	700	690	700	700	700	390	780	7	8	9	10	11
トゥルダク	39	640	1000	1010	1010	990	1010	1090	270	7	8	9	10	11
ラミア	40	1070	410	400	410	410	410	550	500	7	8	9	10	11
ヨモツイクサ	41	1020	1060	1060	1060	1050	1060	440	1000	7	8	9	10	11
ラクシャーサ	42	1060	820	820	820	810	820	630	1280	7	8	9	10	11
トリグラフ	43	680	970	980	970	960	970	1070	720	7	8	9	10	11
チェルノボグ	44	610	170	950	170	150	170	890	100	7	8	9	10	11
ケルベロ	45	420	160	160	160	1070	160	520	350	7	8	9	10	11
セイテン	46	550	880	880	880	870	880	970	1070	7	8	9	10	11
ジークフリート	47	460	890	890	890	880	890	870	1160	7	8	9	10	11
スサノオ	48	540	900	910	920	890	920	1190	990	7	8	9	10	11
ガシャドクロ	49	360	250	240	250	240	260	320	1220	7	8	9	10	11
グール	50	380	270	260	270	260	200	990	670	7	8	9	10	11
ウタイガイコツ	51	210	1030	1030	1030	1020	1030	200	1140	7	8	9	10	11
