ID	type	stFlag0	stFlag1	stFlag2	stFlag3	edFlag0	edFlag1	edFlag2	edFlag3	nItemID0	nItemID1	nItemID2	nItemID3	nItemID4	nItemNum0	nItemNum1	nItemNum2	nItemNum3	nItemNum4	nDevilID0	nDevilID1	nDevilID2	nKatana0	nKatana1	nKatana2	nKatana3	nKatana4	nKatana5	encountID0	encountID1	encountID2	rItemID0	rItemID1	rItemID2	rItemID3	rItemID4	rItemNum0	rItemNum1	rItemNum2	rItemNum3	rItemNum4	rDevilFlag0	rDevilFlag1	rMoney	rKatana	category
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	12289	12291	12293	12295	12290	12292	12294	12296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	1
2	6	12297	12299	12301	12303	12298	12300	12302	12304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	1	0	0	0	0	0	0	0	0	1
3	2	12305	12307	12309	12311	12306	12308	12310	12312	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	1
4	6	12313	12315	12317	12319	12314	12316	12318	12320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	1	0	0	0	0	0	0	0	0	1
5	1	12321	12323	12325	12327	12322	12324	12326	12328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	4	0	0	0	0	0	0	0	0	1
6	6	12329	12331	12333	12335	12330	12332	12334	12336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	272	279	286	293	0	1	1	1	1	0	0	0	0	0	2
7	5	12337	12339	12341	12343	12338	12340	12342	12344	0	0	0	0	0	0	0	0	0	0	0	0	0	147	146	148	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	0	0	0	0	2
8	0	12345	12347	12349	12351	12346	12348	12350	12352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	1	0	0	0	0	0	0	0	0	2
9	0	12353	12355	12357	12359	12354	12356	12358	12360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	307	314	0	0	1	1	1	0	0	0	0	0	0	2
