id	EN	JA	ZH	CH	DE	ES	FR	IT
BADST_L0000	Burn	金縛	燃烧	燃燒	Verbrennen	Quemadura	Brûlure	Ustione
BADST_L0001	Freeze	氷結	冻结	冰凍	Einfrieren	Congelación	Gel	Congelamento
BADST_L0002	Shock	感電	触电	觸電	Schock	Descarga	Électrocution	Folgorazione
BADST_L0003	Impede	風圧	风压	風壓	Behindern	Impedimento	Gêne	Impedimento
BADST_L0004	Dizzy	炎上	昏厥	昏厥	Schwindel	Mareo	Vertige	Vertigine
BADST_L0005	Bind	興奮	束缚	禁錮	Gebunden	Atadura	Paralysie	Vincola
BADST_L0006	Poison	石化	剧毒	猛毒	Gift	Veneno	Poison	Veleno
BADST_L0007	Sleep	魅了	睡眠	睡眠	Schlaf	Sueño	Sommeil	Sonno
BADST_L0008	Stone	混乱	石化	石化	Stein	Petrificación	Pétrification	Pietrificazione
BADST_L0009	Confuse	暴怒	混乱	混亂	Verwirrt	Confusión	Confusion	Confusione
BADST_L0010	Charm	魔封	魅惑	魅惑	Verzaubert	Encanto	Charme	Malia
BADST_L0011	Mute	猛毒	魔封	魔封	Stumm	Mudez	Mutisme	Silenziamento
BADST_L0012	Rage	睡眠	暴怒	暴怒	Wut	Furia	Rage	Rabbia
BADST_L0013	Curse	気絶	诅咒	詛咒	Fluch	Maldición	Malédiction	Maledizione
BADST_L0014	Seal	銃硬直	封印	封印	Siegel	Sellado	Sceau	Sigillo
BADST_L0015	Death	呪詛	死亡	死亡	Tod	Muerte	Mort	Morte
BADST_L0016	Random	封印	随机	隨機	Zufällig	Aleatorio	Aléatoire	Casuale
BADST_L0017	ER100	死亡	ER100	ER100	ER100	ER100	ER100	ER100
BADST_L0018	ER100	ランダム	ER100	ER100	ER100	ER100	ER100	ER100
