id	EN
DEVIL_GUIDE_001_001	An Irish spirit, seen as wayward flames during the night.\n Said to be the spirit of a man cursed to wander the earth with a lantern to see in the dark.
DEVIL_GUIDE_002_002	The spirit of Oshichi, an Edo-era produce store owner's daughter who was burnt at the stake.\n She met her lover at a fire and tried to start another blaze to see him again, but was caught.
DEVIL_GUIDE_003_003	The tiger mount of the goddess Durga, of Hindu mythology.\n Durga was born to defeat the Asura Mahisha, and Gdon was granted to her to help complete the task.
DEVIL_GUIDE_004_004	A fire giant of Norse mythology. Said to live in the flaming land of Muspellheim.\n He stays away from the humans and the gods, but during Ragnarok, he will invade the human world.
DEVIL_GUIDE_005_005	In Hindu mythology, she was Shiva's first wife.\n She threw herself into the fire during a feud between Daksha and Shiva, but was reborn as Parvati.
DEVIL_GUIDE_006_006	3rd in the hierarchy of angels, residing in the 1st sphere.\n Their Hebrew name, Ophan, carries the meaning of "wheel," and they are tasked with carrying the seat of God.
DEVIL_GUIDE_007_007	Japanese god of words, thought to be the deification of echoes.\n Said to proclaim good and bad in a single word, and all words uttered by him come true.
DEVIL_GUIDE_008_008	One of the 72 demons invoked by King Solomon. He leads 50 legions of demons as their chief.\n Said to appear before his conjurer as two beautiful angels in a chariot of fire.
DEVIL_GUIDE_009_009	An evil tree that thrives in death grounds, such as battlefields or execution sites.\n Those who pass by are caught by its branches, and their blood is sucked out for its nourishment.
DEVIL_GUIDE_00a_010	A water deity of the Azumi, a Japanese fishing tribe. She can control water.\n The three gods born from Izanagi after he returned from Yomi are said to be the tribe's ancestors.
DEVIL_GUIDE_00b_011	A winter fairy of European descent.\n Normally an innocent creature, but if provoked, he will kill his victims by covering them in snow.
DEVIL_GUIDE_00c_012	A dragon-like monster said to have lived in the Rhone, near central France.\n He has six legs and a large mouth with long fangs so as to easily swallow humans whole.
DEVIL_GUIDE_00d_013	A lesser demon of Hell. Maintains the infernal boilers at Beelzebub's command.\n Torments the humans in Hell by throwing burning coal onto them.
DEVIL_GUIDE_00e_014	One of the main deities of ancient Japan. Its appearance is modeled after clay statues.\n Worship of it was taboo for long periods, as it was seen as treacherous to the Emperor.
DEVIL_GUIDE_00f_015	The king of the Naga, a half-man, half-snake tribe in Hindu mythology.\n The dragon kings Nanda and Takshaka of Buddhist myth fall into this royal category.
DEVIL_GUIDE_010_016	One of the Kunitsukami in Japanese mythology. He is the grandfather of Susano-o's wife, Kushinada-Hime.\n He is known as the god of the mountains but is also considered the god of water and rice fields as he ruled over water sources and harvests.
DEVIL_GUIDE_011_017	A Kunitsu deity of Japanese mythology that governs agriculture and medicine.\n Said to have built the country of Izumo with Susano-o's daughter, Suseri-Hime.
DEVIL_GUIDE_012_018	A giant snake with eight heads that fell at Susano-o's hands.\n The legendary sword Ame-no-Murakumo-no-Tsurugi, also known as the "Sword of Kusanagi," was said to have emerged from its belly.
DEVIL_GUIDE_013_019	A beast of Japanese folklore, said to come down to earth on a bolt of lightning.\n It usually runs through the thunder clouds, but it will also ride bolts of lightning down to the ground.
DEVIL_GUIDE_014_020	A monster-wheeled vehicle carrying the grudges and negative energy of people inside it.\n Originally a woman who was killed over an ox-carriage, but her ghost took over the carriage.
DEVIL_GUIDE_015_021	A creature of Japanese legend. It has the head of a monkey, the legs of a tiger, and the tail of a snake.\n The Tale of the Heike says that it hid behind black clouds each night to attack the Emperor.
DEVIL_GUIDE_016_022	A wild god shaped like a giant spider, which was said to have lived in Mt. Katsuragi.\n Originally a native of the land who lived in a hole after its tribe was defeated by the Imperial Court.
DEVIL_GUIDE_017_023	The giant of the Izumo-no-kuni Fudoki, or the Records of Izumo.\n Performed the Kuni-biki, roping in land from the opposing Silla, in an effort to expand Izumo.
DEVIL_GUIDE_018_024	An extremely beautiful consort of Shiva's in Hindu mythology, she symbolizes many virtues.\n She is always by Shiva's side and plunged the world into darkness by closing his two eyes.
DEVIL_GUIDE_019_025	A native god worshiped in the Shinano region before the Yamato took power.\n Said to be a god born from the ancient belief that rocks and stones sheltered divine spirits.
